Продукт;Калорийность кКал;Белки г;Жиры г;Углеводы г
KRAFT BREAKSTONE'S FREE Обезжиренная сметана;91;4,7;1,3;15,1
KRAFT BREYERS LIGHT N' LIVELY Клубничний йогурт 1% с низким содержанием жира;108;3,2;0,8;21,9
KRAFT BREYERS LIGHT Обезжиренный клубничный йогурт (с заменителями сахара аспартам и фруктозой);55;3,4;0,2;9,9
KRAFT BREYERS Smooth  Creamy Клубничний йогурт 1% с низким содержанием жира;102;3,8;0,9;19,9
KRAFT BREYERS Клубничний йогурт 1% с низким содержанием жира;96;3,8;0,8;18,2
KRAFT CHEEZ WHIZ LIGHT, Пастеризованый плавленый сыр;215;16,3;9,5;16,2
KRAFT CHEEZ WHIZ, Пастеризованый плавленый сырный соус;276;12;21;9,2
KRAFT FREE, Обезжиренный пастеризованый плавленый сыр;148;22,7;1;11,7
KRAFT VELVEETA LIGHT Пастеризованый плавленый сыр с низким модержанием жира;222;19,6;10,6;11,8
Ацидофилин 1%;40;3;1;4
Ацидофилин 3,2% жирности;59;2,9;3,2;3,8
Ацидофилин 3,2% жирности сладкий;77;2,8;3,2;8,6
Ацидофилин обезжиренный;31;3;0,05;3,9
Белковая добавка, на основе молока, Muscle Milk Light, порошок;396;50;12;20
Белковая добавка, на основе молока, Muscle Milk, порошок;411;45,71;17,14;11,4
Брынза из коровьего молока, м.д.ж. 40% в сух. в-ве;262;22,1;19,2;0,4
Брынза овечья, м.д.ж. 40% в сух. в-ве;260;21,1;18,8;0,3
Варенец  2,5% жирности;53;2,9;2,5;4,1
Дульсе де лече, варёное сгущенное молоко (латиноамериканский десерт);315;6,84;7,35;55,35
Заменитель взбитых сливок, приготовленный из порошка, 6% жирности;100;0,9;6;10,6
Заменитель молока с маслами лауриновой кислоты;61;1,75;3,41;6,16
Заменитель молока, без сои;46;1,6;2;5,3
Заменитель молока, порошок;529;2,48;32,92;59,29
Заменитель сливок 10% жирности с гидрогенизированным растительным маслом и протеинами сои;136;1;9,97;11,38
Заменитель сливок 10% жирности с маслами лауриновой кислоты и казеинатом натрия;136;1;9,97;11,38
Заменитель сливок 13,5% жирности ароматизированный;251;0,69;13,5;33,97
Заменитель сливок 3,5% жирности;71;0,8;3,5;9,1
Заменитель сливок сухой 15,7% жироности;431;1,9;15,7;73,4
Заменитель сливок сухой 21,5% жироности ароматизированный;482;0,68;21,47;74,22
Заменитель сливочного масла, обезжиренный, порошок;373;2;1;89
Заменитель сметаны 19,5% жирности;208;2,4;19,52;6,63
Заменитель сыра (иммитация), американский или чеддер, с низким содержанием холестерина;390;25;32;1
Заменитель сыра (иммитация), американский чеддер;239;16,7;14;11,6
Заменитель сыра, моцарелла;248;11,47;12,22;23,67
Заправка для десерта, в аэрозольной упаковке;264;0,98;22,3;16,07
Заправка для десерта, полужидкая, замороженная;318;1,25;25,31;23,05
Заправка для десерта, порошок;577;4,9;39,92;52,54
Заправка для десерта, порошок, 1,5 унции приготовлены на пол стакана молока;194;3,61;12,72;17,13
Йогурт 1,15% жирности, 4% белка, фруктовый;99;3,98;1,15;18,64
Йогурт 1,15% жирности, 4% белка, фруктовый, с витамином D;99;3,98;1,15;18,64
Йогурт 1,25% жирности, 5% белка, ванильный;85;4,93;1,25;13,8
Йогурт 1,25% жирности, 5% белка, с витамином D, ванильный;85;4,93;1,25;13,8
Йогурт 1,25% жирности, ванильный, с низкокалорийным подсластителем;86;4,93;1,25;13,8
Йогурт 1,4% жирности, 4,9% белка, фруктовый;105;4,86;1,41;18,6
Йогурт 1,4% жирности, фруктовый, с низкокалорийным подсластителем;105;4,86;1,41;18,6
Йогурт 1,4% жирности, фруктовый, с низкокалорийным подсластителем, с витамином D;105;4,86;1,41;18,6
Йогурт 1,5% жирности, 4,1% белка, натуральный;57;4,1;1,5;5,9
Йогурт 1,5% жирности, 4% белка, плодово-ягодный;90;4;1,5;14,3
Йогурт 1,5% жирности, 5,25% белка, натуральный;63;5,25;1,55;7,04
Йогурт 1,5% жирности, 5% белка, сладкий;70;5;1,5;8,5
Йогурт 1% жирности, 4,4% белка, фруктовый;102;4,37;1,08;19,05
Йогурт 1% жирности, 4,4% белка, фруктовый, с витамином D;102;4,37;1,08;19,05
Йогурт 3,2% жирности, 5% белка, натуральный;68;5;3,2;3,5
Йогурт 3,2% жирности, 5% белка, сладкий;87;5;3,2;8,5
Йогурт 3,25% жирности, 3,5% белка, натуральный;61;3,47;3,25;4,66
Йогурт 6% жирности, 5% белка, натуральный;92;5;6;3,5
Йогурт 6% жирности, 5% белка, сладкий;112;5;6;8,5
Йогурт греческий 1,5% жирности, лимонный, CHOBANI;92;7,75;1,47;11,41
Йогурт греческий 1,7% жирности, клубнично-банановый, CHOBANI;88;8;1,71;9,54
Йогурт греческий 1,7% жирности, кокосовый, CHOBANI;92;8,11;1,71;10,54
Йогурт греческий 1,8% жирности, ананасовый, CHOBANI;94;7,05;1,82;11,57
Йогурт греческий 1,8% жирности, ягодный, CHOBANI;93;8,26;1,83;10,34
Йогурт греческий 1,9% жирности, натуральный;73;9,95;1,92;3,94
Йогурт греческий 1.7% жирности, абрикосовый, CHOBANI;93;7,22;1,71;11,55
Йогурт греческий 2,5% жирности, ванильный;95;8,64;2,5;9,54
Йогурт греческий 2,6% жирности , клубничный;105;8,17;2,57;11,29
Йогурт греческий 2,9% жирности, клубничный, DANNON OIKOS;106;8,25;2,92;10,67
Йогурт греческий 3% жирности, фруктовый;106;7,33;3;12,29
Йогурт греческий 4% жирности, натуральный, CHOBANI;82;8,24;4,01;2,44
Йогурт греческий 5% жирности, натуральный;97;9;5;3,98
Йогурт греческий обезжиренный клубничный;82;8,05;0,15;11,47
Йогурт греческий обезжиренный малиновый;78;8,64;0,18;9,87
Йогурт греческий обезжиренный натуральный;59;10,19;0,39;3,6
Йогурт греческий обезжиренный, ванильный, CHOBANI;71;9,07;0,22;7,79
Йогурт греческий обезжиренный, ванильный, DANNON OIKOS;85;8,12;0,14;12,22
Йогурт греческий обезжиренный, клубничный, DANNON OIKOS;84;8,03;0,22;12,13
Йогурт греческий обезжиренный, лимонный, CHOBANI;78;8,62;0,15;10,16
Йогурт греческий обезжиренный, малиновый, CHOBANI;81;7,65;0,22;11,48
Йогурт греческий обезжиренный, натуральный, CHOBANI;54;9,53;0,24;3,23
Йогурт греческий обезжиренный, персиковый, CHOBANI;80;7,76;0,11;11,2
Йогурт греческий обезжиренный, с гранатом, CHOBANI;80;7,45;0,18;11,33
Йогурт греческий обезжиренный, с ежевикой, CHOBANI;95;7,54;0,37;15,03
Йогурт греческий обезжиренный, с клубникой, CHOBANI;79;7,28;0,23;11,46
Йогурт греческий обезжиренный, черничный, CHOBANI;82;7,23;0,24;12,28
Йогурт замороженный, 2,5% жирности (вкусы кроме шоколадного);139;8;2,5;21
Йогурт замороженный, обезжиренный, с низкокалорийным подсластителем  (вкусы кроме шоколадного);104;4,4;0,8;17,7
Йогурт обезжиренный, 5,7% белка, натуральный;56;5,73;0,18;7,68
Йогурт обезжиренный, ванильный;78;2,94;0;17,04
Йогурт обезжиренный, ванильный или лимонный , с низкокалорийным подсластителем, с витамином D;43;3,86;0,18;7,5
Йогурт обезжиренный, ванильный или лимонный, с низкокалорийным подсластителем;43;3,86;0,18;7,5
Йогурт обезжиренный, фруктовый;95;4,4;0,2;19
Йогурт обезжиренный, фруктовый, с витамином D;95;4,4;0,2;19
Йогурт обезжиренный, шоколадный;112;3,53;0;22,33
Йогурт обезжиренный, шоколадный, с витамином D;112;3,53;0;22,33
Йогурт питьевой  2,5% жирности, с фруктовым наполнителем;86;2,8;2,5;13
Йогурт питьевой 1,5% жирности, с фруктовым наполнителем;78;3;1,5;13
Йогурт питьевой 1% жирности, с фруктовым наполнителем;71;2,7;1;12,2
Йогурт питьевой клубничный 0,9% жирности, витаминизированный, LIFEWAY;62;3,39;0,9;10,2
Йогурт сублимационной сушки;534;16;36;38,1
Йогурт сублимационной сушки, плодово-ягодный;484;16;26;48,5
Йогурт сублимационной сушки, сладкий;491;16;27,5;47,3
Какао с молоком, напиток;77;3,52;2,34;9,74
Какао со сгущенным молоком и сахаром, консервы;321;8,2;7,5;51,6
Какао со сгущенными сливками, консервы;356;8,2;15,5;48,3
Кефир 1% жирности;40;3;1;4
Кефир 1% жирности, витаминизированный, LIFEWAY;43;3,79;1,02;4,77
Кефир 2,5% жирности;53;2,9;2,5;4
Кефир 3,2% жирности;59;2,9;3,2;4
Кефир обезжиренный;31;3;0,05;4
Кислая сквашенная кремовая заправка, без молочного жира;178;3,25;16,57;4,68
Кофе натуральный со сгущенным молоком, консервы;312;8,4;8,6;53
Кумыс из кобыльего молока;50;2,1;1,9;5
Кумыс коровий, нежирный;41;3;0,05;6,3
Масло сливочное «Вологодское»;748;0,5;82,5;0,8
Масло сливочное 55% жирности;499;3,3;55,1;0
Масло сливочное 55% жирности, соленое;499;3,3;55,1;0
Масло сливочное 60% жирности, высокобелковое;567;5,1;60;1,8
Масло сливочное 61,5% жирности, бутербродное;566;1,3;61,5;1,7
Масло сливочное 71,5% жирности, крестьянское соленое;647;0,8;71,5;1,3
Масло сливочное 72,5% жирности, крестьянское;661;0,8;72,5;1,3
Масло сливочное 75% жирности, обогащённое витамином Е;683;0,7;75;1,3
Масло сливочное 77% жирности, любительское соленое;700;0,7;77;1
Масло сливочное 78% жирности, любительское;709;0,7;78;1
Масло сливочное 81% жирности;717;0,85;81,11;0,06
Масло сливочное 81% жирности, соленое;717;0,85;81,11;0,06
Масло сливочное 82,5% жирности, традиционное (в т.ч. Вологодское);748;0,5;82,5;0,8
Масло сливочное взбитое 78,3% жирности, соленое;731;0,49;78,3;0
Масло сливочное топлёное;900;0;100;0
Масло сливочное топленое, 99% жирности;892;0,2;99;0
Молоко 1,5% жирности, пастеризованное;45;3;1,5;4,8
Молоко 1,5% жирности, стерилизованное;45;3;1,5;4,8
Молоко 1%  жирности, с добавлением сухого обезжиренного молока, с витаминами A и D;43;3,48;0,97;4,97
Молоко 1% жирности;42;3,37;0,97;4,99
Молоко 1% жирности высокобелковое;52;4,3;1;6,4
Молоко 1% жирности высокобелковое, с витаминами A и D;48;3,93;1,17;5,52
Молоко 1% жирности, с витаминами A и D;42;3,37;0,97;4,99
Молоко 1% жирности, топленое;40;3;1;4,8
Молоко 2,5% жирности, пастеризованное;54;2,9;2,5;4,8
Молоко 2,5% жирности, стерилизованное;54;2,9;2,5;4,8
Молоко 2% жирности;50;3,3;1,98;4,8
Молоко 2% жирности, высокобелковое;56;3,95;1,98;5,49
Молоко 2% жирности, высокобелковое, с витаминами A и D;56;3,95;1,98;5,49
Молоко 2% жирности, с витаминами A и D;50;3,3;1,98;4,8
Молоко 2% жирности, с добавлением сухого обезжиренного молока, с витаминами A и D;51;3,48;1,92;4,97
Молоко 3,2% жирности, пастеризованное;60;2,9;3,2;4,7
Молоко 3,2% жирности, стерилизованное;60;3;3,2;4,7
Молоко 3,25% жирности;61;3,15;3,27;4,78
Молоко 3,25% жирности, с витамином D;61;3,15;3,25;4,8
Молоко 3,5% жирности, пастеризованное;62;2,9;3,5;4,7
Молоко 3,5% жирности, со сниженным содержанием натрия;61;3,1;3,46;4,46
Молоко 3,5% жирности, стерилизованное;63;3;3,5;4,7
Молоко 3% жирности, стерилизованное;58;2,9;3;4,7
Молоко 4% жирности, топленое;67;2,9;4;4,7
Молоко 6% жирности, топленое;84;3;6;4,7
Молоко буйволиное;106;4;7,8;4,9
Молоко верблюжье;81,5;4;5,1;4,9
Молоко грудное;70;1,03;4,38;6,89
Молоко индийского буйвола;97;3,75;6,89;5,18
Молоко кобылье;41;2,2;1;5,8
Молоко козье;68;3;4,2;4,5
Молоко козье, с витамином D;69;3,56;4,14;4,45
Молоко коровье сырое 3,6% жирности, фермерское (непастеризованное, нестрерилизованное, некипяченое);65;3,2;3,6;4,8
Молоко коровье сырое 3,7% жирности, фермерское;64;3,28;3,66;4,65
Молоко обезжиренное;35;3,37;0,18;4,86
Молоко обезжиренное, высокобелковое, с витаминами A и D;41;3,96;0,25;5,56
Молоко обезжиренное, обогащенное кальцием;35;3,4;0,18;4,85
Молоко обезжиренное, пастеризованное;32;3;0,05;4,9
Молоко обезжиренное, с витаминами A и D;34;3,37;0,08;4,96
Молоко обезжиренное, с добавлением сухого обезжиренного молока, с витаминами A и D;37;3,57;0,25;5,02
Молоко обезжиренное, топленое;32;3;0,05;5
Молоко овечье;108;5,98;7;5,36
Молоко овечье;111;5,6;7,7;4,8
Молоко с гидрогенизированным растительным маслом;63;3,33;3,46;4,74
Молоко с маслами лауриновой кислоты;63;3,33;3,4;4,74
Молоко сгущенное без сахара 2% жирности с витаминами A и D;107;6,67;2;15,74
Молоко сгущенное без сахара 7,5% жирности, с витамином D;134;6,81;7,56;10,04
Молоко сгущенное без сахара 7,5% жирности, с витамином А;134;6,81;7,56;10,04
Молоко сгущенное без сахара 7,8% жирности, стерилизованное;138;6,4;7,8;10,3
Молоко сгущенное без сахара 8,3% жирности, стерилизованное;144;7;8,3;9,5
Молоко сгущенное без сахара 9,5% жирности, стерилизованное;162;8,3;9,5;11,3
Молоко сгущенное без сахара обезжиренное, с витаминами A и D;78;7,55;0,2;11,35
Молоко сгущенное без сахара обезжиренное, стерилизованное;71;6,6;0,2;10,8
Молоко сгущенное с сахаром 2,5% жирности;271;7,4;2,5;54,6
Молоко сгущенное с сахаром 5% жирности;295;7,1;5;55,2
Молоко сгущенное с сахаром 8,5% жирности, цельное;328;7,2;8,5;55,5
Молоко сгущенное с сахаром 8,7% жирности;321;7,91;8,7;54,4
"Молоко сгущенное с сахаром, ""Славянское""";261;7,4;0,2;57,1
Молоко сгущенное с сахаром, обезжиренное;259;7,5;0,2;56,8
Молоко сухое 15% жирности, полуобезжиренное;432;28,5;15;44,7
Молоко сухое 25% жирности, цельное;483;24,2;25;39,3
Молоко сухое 26,7% жирности, цельное;496;26,32;26,71;38,42
Молоко сухое 26,7% жирности, цельное, с витамином D;496;26,32;26,71;38,42
Молоко сухое обезжиренное;362;33,2;1;52,6
Молоко сухое обезжиренное;362;36,16;0,77;51,98
Молоко сухое обезжиренное со сниженным содержанием кальцием;354;35,5;0,2;51,8
Молоко сухое обезжиренное, быстрорастворимое;358;35,1;0,72;52,19
Молоко сухое обезжиренное, быстрорастворимое, с витаминами A и D;358;35,1;0,72;52,19
Молоко сухое обезжиренное, с витаминами A и D;362;36,16;0,77;51,98
Молоко, сгущеное цельное, без доб. витаминов A и D, 8%, консерв.;135;6,81;7,56;10,04
Молочный батончик 1,5% жирности, сладкий;147;4,41;1,47;25,4
Молочный коктейль, густой ванильный;112;3,86;3,03;17,75
Молочный коктейль, густой шоколадный;119;3,05;2,7;20,85
Молочный напиток шоколадный 1,1% жирности с витаминами A и D;64;3,46;1,11;10,05
Молочный напиток шоколадный 1,9% жирности, с витаминами A и D;76;2,99;1,9;11,43
Молочный напиток шоколадный 1% жирности, со сниженным содержанием сахара;57;3,43;1,04;7,68
Молочный напиток шоколадный 3,4% жирности, с витаминами A и D;83;3,17;3,39;9,54
Молочный напиток шоколадный обезжиренный, с витаминами A и D;67;3,39;0;13,46
Молочный напиток шоколадный обезжиренный, с добавлением кальция;78;2,99;1,9;11,43
Мороженое в вафельном рожке покрытое шоколадом с орехами, 22% жирности;354;5,21;21,88;33,38
