Продукт;Калорийность кКал;Белки г;Жиры г;Углеводы г
Вина десертные;172;0,5;0;20
Вина крепкие;163;0,4;0;12
Вина ликерные;212;0,5;0;30
Вина полудесертные;140;0,4;0;12
Вина полусладкие белые и красные (в т. ч. шампанское);88;0,2;0;5
Вина полусухие белые и красные (в т. ч. шампанское);78;0,3;0;2,5
Вина сладкие белые и красные (в т. ч. шампанское);100;0,2;0;8
Вина сухие белые и красные (в т. ч. шампанское);64;0,2;0;0,3
Вино,  десертное, сухое;152;0,2;0;11,67
Вино, безалкогольное;6;0,5;0;1,1
Вино, десертное, сладкое;160;0,2;0;13,69
Вино, кулинарное;50;0,5;0;6,3
Вино, легкое;49;0,07;0;1,17
Вино, столовое, белое;82;0,07;0;2,6
Вино, столовое, белое, Гевюрцтраминер (Gewurztraminer);81;0,07;0;2,6
Вино, столовое, белое, Лэйт Харвест (late harvest);112;0,07;0;13,39
Вино, столовое, белое, Мускат (Muscat);82;0,07;0;5,23
Вино, столовое, белое, Мюллер-Тургау (Muller Thurgau);76;0,07;0;3,48
Вино, столовое, белое, Пино Блан (Pinot Blanc);81;0,07;0;1,94
Вино, столовое, белое, Пино Гри (Pinot Gris (Grigio));83;0,07;0;2,06
Вино, столовое, белое, Рислинг (Riesling);80;0,07;0;3,74
Вино, столовое, белое, Семильон (Semillon);82;0,07;0;3,12
Вино, столовое, белое, Совиньон Блан (Sauvignon Blanc);81;0,07;0;2,05
Вино, столовое, белое, Фюмэ Блан (Fume Blanc);82;0,07;0;2,27
Вино, столовое, белое, Шенен Блан (Chenin Blanc);80;0,07;0;3,31
Вино, столовое, все виды;83;0,07;0;2,72
Вино, столовое, красное;85;0,07;0;2,61
Вино, столовое, красное, Барбера (Barbera);85;0,07;0;2,79
Вино, столовое, красное, Бургундское (Burgundy);86;0,07;0;3,69
Вино, столовое, красное, Гаме (Gamay);78;0,07;0;2,38
Вино, столовое, красное, Зинфандель (Zinfandel);88;0,07;0;2,86
Вино, столовое, красное, Каберне Фран (Cabernet Franc);83;0,07;0;2,45
Вино, столовое, красное, Кариньян (Carignane);74;0,07;0;2,4
Вино, столовое, красное, Кларет (Claret);83;0,07;0;3,01
Вино, столовое, красное, Лембергер (Lemberger);80;0,07;0;2,46
Вино, столовое, красное, Мерло (Merlot);83;0,07;0;2,51
Вино, столовое, красное, Мурведр (Mouvedre);88;0,07;0;2,64
Вино, столовое, красное, Пино Нуар (Pinot Noir);82;0,07;0;2,31
Вино, столовое, красное, Пти Шираз (Petite Sirah);85;0,07;0;2,68
Вино, столовое, красное, Санджовезе (Sangiovese);86;0,07;0;2,62
Вино, столовое, красное, Шираз (Syrah);83;0,07;0;2,58
Водка;235;0;0;0,4
Водка, дистиллированная, 80 градусов (40 проц. спирта);231;0;0;0
Дайкири, консервированный;125;0;0;15,7
Дайкири, приготовленный по рецепту;186;0,06;0,06;6,84
Джин, ром, водка, виски, дистиллированные, 100 градусов (50 проц. спирта);295;0;0;0
Джин, ром, водка, виски, дистиллированные, 80 градусов (40 проц. спирта);231;0;0;0
Джин, ром, водка, виски, дистиллированные, 86 градусов (43 проц. спирта);250;0;0;0,1
Джин, ром, водка, виски, дистиллированные, 90 градусов (45 проц. спирта);263;0;0;0
Джин, ром, водка, виски, дистиллированные, 94 градуса (47 проц. спирта);275;0;0;0
Коктейль, Виски Сауэр, консервированный;119;0;0;13,3
Коктейль, Виски Сауэр, приготовленный из виски и воды;164;0,1;0,02;15,85
Коктейль, Виски Сауэр, приготовленный из продукта N14028;153;0,06;0,06;12,82
Коктейль, Виски Сауэр, приготовленный из продукта N14530;149;0;0,03;13,17
Коньяк ординарный «три звездочки»;239;0;0;1,5
Ликер Вишневый;299;0;0;40
Ликер, Creme de Menthe (Мятный Крем Зеленый), 72 градуса (36 проц спирта);371;0;0,3;41,6
Ликер, кофе со сливками, 34 градуса (17 проц. спирта);327;2,8;15,7;20,9
Ликер, кофейный, 53 градусов (26,5 проц. спирта);336;0,1;0,3;46,8
Ликер, кофейный, 63 градуса (31,5 проц. спирта);308;0,1;0,3;32,2
Наливка «Сливянка»;215;0;0;28
"Настойка горькая ""Русский сувенир""";248;0;0;6,4
Пиво Жигулёвское;37;0,6;0;4,8
Пиво светлое, с долей сухих в-в в исходном сусле 11%;42;0,3;0;4,6
Пиво светлое, с долей сухих в-в в исходном сусле 20%;75;0,4;0;7,6
Пиво темное, с долей сухих в-в в исходном сусле 13%;48;0,3;0;5,7
Пиво темное, с долей сухих в-в в исходном сусле 20%;74;0,4;0;8,7
Пиво, обычное, BUDWEISER;41;0,36;0;2,97
Пиво, обычное, все виды;43;0,46;0;3,55
Пиво, светлое;29;0,24;0;1,64
Пиво, светлое, BUD LIGHT;29;0,25;0;1,3
Пиво, светлое, BUDWEISER SELECT;28;0,2;0;0,87
Пиво, светлое, MICHELOB ULTRA;27;0,17;0;0,73
Пинаколада, консервированная;237;0,6;7,6;27,5
Пинаколада, приготовленная по рецепту;174;0,42;1,88;22,36
Ром, дистиллированный, 80 градусов (40 проц. спирта);231;0;0;0
Саке, рисовая водка;134;0,5;0;5
Текила Санрайз, консервированная;110;0,3;0,1;11,3
