Продукт;Калорийность кКал;Белки г;Жиры г;Углеводы г
Авокадо;160;2;14,66;1,83
Авокадо, Калифорнийские, сырые;167;1,96;15,41;1,84
Авокадо, Флоридские, сырые;120;2,23;10,06;2,22
Агава приготовленная;135;0,99;0,29;21,4
Агава сушеная;341;1,71;0,69;66,38
Агава сырая;68;0,52;0,15;9,63
Айсберг (салат кочанный);14;0,9;0,14;1,77
Амарант листья, вареные, без соли;21;2,11;0,18;4,11
Амарант листья, сырые;23;2,46;0,33;4,02
Амарант, листья, вареные, с солью;21;2,11;0,18;4,11
Артишок;47;3,27;0,15;5,11
Артишок вареный с солью;51;2,89;0,34;5,69
Артишок вареный, без соли;53;2,89;0,34;6,25
Артишок вареный, замороженные, без соли;45;3,11;0,5;4,58
Артишок замороженные, вареные, с солью;45;3,11;0,5;4,58
Артишок замороженный неприготовленный;38;2,63;0,43;3,85
Артишок испанский, вареный, без соли;22;0,76;0,11;3,63
Артишок испанский, вареный, с солью;20;0,76;0,11;3,04
Артишок испанский, сырой;17;0,7;0,1;2,47
Аурикулярия густоволосистая, сушеная;284;9,25;0,73;2,91
Аурикулярия уховидная, сушеная;298;4,82;0,44;81,03
Аурикулярия уховидная, сырая;25;0,48;0,04;6,75
Базелла белая, приготовленная;23;2,98;0,78;0,61
Баклажан;24;1,2;0,1;4,5
Баклажан, вареный, без соли;35;0,83;0,23;6,23
Баклажан, вареный, с солью;33;0,83;0,23;5,64
Баклажан, сырой;25;0,98;0,18;2,88
Баклажаны маринованные;49;0,9;0,7;7,27
Баклажаны фаршированные овощами по 1-266;83;2,9;4,5;7,4
Бамбук, побеги вареные, с солью;11;1,53;0,22;0,52
Бамбук, побеги, вареные, без соли;12;1,53;0,22;0,92
Бамбук, побеги, консервированные, сухой продукт без маринада;19;1,72;0,4;1,82
Бамбук, побеги, сырые;27;2,6;0,3;3
Батат, картофель сладкий;60;2;0,05;13,3
Батат, картофель сладкий;86;1,57;0,05;17,12
Батат, картофель сладкий запеченный в кожуре, без соли;90;2,01;0,15;17,41
Батат, картофель сладкий, вареный без соли;76;1,37;0,14;15,22
Батат, картофель сладкий, вареный с солью;76;1,37;0,14;15,22
Батат, картофель сладкий, замороженный, запеченный без соли;100;1,71;0,12;21,6
Батат, картофель сладкий, замороженный, запеченный с солью;100;1,71;0,12;21,6
Батат, картофель сладкий, замороженный, неприготовленный;96;1,71;0,18;20,52
Батат, картофель сладкий, запеченный в кожуре, с солью;90;2,01;0,15;17,41
Батат, картофель сладкий, засахаренный, домашнего приготовления;164;0,89;3,54;30,02
Батат, картофель сладкий, консервированный и вакуумной упаковке;91;1,65;0,2;19,32
Батат, картофель сладкий, консервированный с сиропом;89;0,98;0,2;18,43
Батат, картофель сладкий, консервированный с сиропом, сухой продукт без маринада;108;1,28;0,32;22,36
Батат, картофель сладкий, листья, приготовленные на пару, без соли;35;2,18;0,34;5,48
Батат, картофель сладкий, листья, приготовленные на пару, с солью;35;2,18;0,34;5,48
Батат, картофель сладкий, листья, сырые;42;2,49;0,51;3,52
Батат, картофель сладкий, пюре, консервированный;101;1,98;0,2;21,49
Белокопытник , вареный, без соли;8;0,23;0,02;2,16
Белокопытник японский, сырой;14;0,39;0,04;3,61
Белокопытник, вареный, с солью;8;0,23;0,02;2,16
Белокопытник, консервированный;3;0,11;0,13;0,38
Бок-чой (пак-чой, китайская капуста);13;1,5;0,2;1,18
Бок-чой (пак-чой, китайская капуста) вареная, без соли;12;1,56;0,16;0,78
Бок-чой (пак-чой, китайская капуста) вареная, с солью;12;1,56;0,16;0,78
Брокколи;34;2,82;0,37;4,04
Брокколи китайская, приготовленная;22;1,14;0,72;1,31
Брокколи, вареная, без соли;35;2,38;0,41;3,88
Брокколи, вареная, с солью;35;2,38;0,41;3,88
Брокколи, ветви, замороженная, вареная, с солью;28;3,1;0,11;2,35
Брокколи, замороженная, вареная с солью;28;3,1;0,12;2,35
Брокколи, замороженная, вареная, без соли;28;3,1;0,12;2,35
Брокколи, замороженная, неприготовленная;26;2,81;0,29;1,78
Брокколи, листья, сырая;28;2,98;0,35;2,76
