Продукт;Калорийность кКал;Белки г;Жиры г;Углеводы г
Абрикос, семя костянки;520;25;45,4;2,8
Арбуз, ядра семян, сушеные;557;28,33;47,37;15,31
Бразильский орех;659;14,32;67,1;4,24
Буковый орешек, сушеный;576;6,2;50;33,5
Вишня, семя костянки;362;21,9;30,5;0
Горчица, семя;474;25,8;30,8;23,4
Горчичный порошок;378;37,1;11,1;32,6
Грецкий орех;654;15,23;65,21;7,01
Грецкий орех;656;16,2;60,8;11,1
Грецкий орех черный, сушеный;619;24,06;59,33;2,78
Грецкий орех, глазированный;500;8,28;35,71;43,99
Грецкий орех, сухая обжарка, с солью;643;14,29;60,71;10,76
Желудевая мука;501;7,49;30,17;54,65
Желуди сушеные;509;8,1;31,41;53,66
Желуди сырые;387;6,15;23,86;40,75
Какао тертое;559;13,5;49,4;13,6
Какао-бобы;530;12,8;53,2;9,4
Каштан европейский вареный и тушеный;131;2;1,38;27,76
Каштан европейский не чищеный, сушеный;374;6,39;4,45;65,61
Каштан европейский не чищеный, сырой;213;2,42;2,26;37,44
Каштан европейский чищеный, сушеный;369;5,01;3,91;78,43
Каштан европейский чищеный, сырой;196;1,63;1,25;44,17
Каштан европейский, запечённый;245;3,17;2,2;47,86
Каштан китайский, вареный и тушеный;153;2,88;0,76;33,64
Каштан китайский, запечённый;239;4,48;1,19;52,36
Каштан китайский, сушеный;363;6,82;1,81;79,76
Каштан китайский, сырой;224;4,2;1,11;49,07
Каштан японский;154;2,25;0,53;34,91
Каштан японский, запечённый;201;2,97;0,8;45,13
Каштан японский, приготовленный на пару;56;0,82;0,19;12,64
Каштан японский, сушеный;360;5,25;1,24;81,43
Кедровый орех пиния, сушеный;629;11,57;60,98;8,6
Кедровый орех, поджаренный, (Навахо);541;7,41;34,08;7,66
Кедровый орех, сушеный;673;13,69;68,37;9,38
Кешью;600;18,5;48,5;22,5
Кешью, жареный в масле без соли;580;16,84;47,77;26,57
Кешью, жареный в масле, с солью;581;16,84;47,77;26,86
Кешью, сухая обжарка без соли;574;15,31;46,35;29,69
Кешью, сухая обжарка, с солью;574;15,31;46,35;29,69
Кешью, сырой;553;18,22;43,85;26,89
Кокос, мякоть сушеная, дробленая, подслащенная;501;2,88;35,49;43,17
Кокос, мякоть сушеная, не подслащенная;660;6,88;64,53;7,35
Кокос, мякоть сушеная, поджаренная;592;5,3;47;44,4
Кокос, мякоть, сырая;354;3,33;33,49;6,23
Кокосовая вода;19;0,72;0,2;2,61
Кокосовая паста из свежей мякоти, подслащенная, консервированная;357;1,17;16,31;53,01
Кокосовая паста из свежей мякоти, сырая;330;3,63;34,68;4,45
Кокосовая паста-спред из высушенной мякоти;684;5,3;69,08;21,52
Кокосовая стружка, подслащенная;456;3,13;27,99;41,95
Кокосовая стружка, подслащенная, консервированная;443;3,35;31,69;36,41
Кокосовое молоко (отжатое из мякоти), консервированное;197;2,02;21,33;2,81
Кокосовое молоко (отжатое из мякоти), сырое;230;2,29;23,84;3,34
Кокосовое молоко (полученное из отжатых мякоти и млечного сока), замороженное;202;1,61;20,8;5,58
Конопля, семя;373;20,1;32,5;0
Конопля, семя сушеное лущёное;553;31,56;48,75;4,67
Кунжут;565;19,4;48,7;12,2
Кунжут, поджаренный без соли;567;16,96;48;9,14
Кунжут, поджаренный, с солью;567;16,96;48;9,14
Кунжут, семена нешелушеные, обжареные;565;16,96;48;11,74
Кунжут, семена нешелушеные, сушеные;573;17,73;49,67;11,65
Кунжут, сушеный;631;20,45;61,21;0,13
Кунжут, Тахинная паста из необжаренных зерен кунжута (без химического разрушения оболочки семян);607;17,95;56,44;8,59
Кунжут, Тахинная паста из обжаренных и подсушеных зерен;595;17;53,76;11,89
Кунжут, Тахинная паста из сырых и перемеленых зерен кунжута;570;17,81;48;16,89
Кунжут, Тахинная паста, тип зерен не определен;592;17,4;53,01;16,8
Кунжутная крупка;567;16,96;48;26,04
Кунжутная мука, необезжиренная;526;30,78;37,1;26,62
Кунжутная мука, обезжиренная;333;50,14;1,75;35,51
Кунжутная мука, полуобезжиренная;382;40,32;11,89;35,14
Кунжутная паста (тахинная паста, тхина);586;18,08;50,87;18,55
Лещина (лесной орех);653;13;62,6;9,3
Мак, семена;525;17,99;41,56;8,63
Мак, семя;556;17,5;47,5;14,5
Макадамия, орех;718;7,91;75,77;5,22
Макадамия, орех жареный;718;7,79;76,08;5,38
Макадамия, орех жареный, с солью;716;7,79;76,08;4,83
Миндаль;579;21,15;49,93;9,05
Миндаль;609;18,6;53,7;13
Миндаль бланшированный;590;21,4;52,52;8,77
Миндаль жареный;642;22,4;55,9;12,3
Миндаль, жареный в масле без соли;607;21,23;55,17;7,18
Миндаль, жареный в масле с солью;607;21,23;55,17;7,18
Миндаль, жареный в масле с солью, с копчёным ароматом;607;21,43;55,89;7,16
Миндаль, жареный в масле слабосолёный;607;21,23;55,17;7,18
Миндаль, обжареный в меде, небланшированный;594;18,17;49,9;14,2
Миндаль, сухая обжарка, без соли;598;20,96;52,54;10,11
Миндаль, сухая обжарка, с солью;598;20,96;52,54;10,11
Миндальная паста;458;9;27,74;43,01
Миндальный спред, без соли;614;20,96;55,5;8,52
Миндальный спред, с добавлением соли;614;20,96;55,5;8,52
Мука подсолнечная, обезжиренная;326;48,06;1,61;30,63
Орех гикори (кария пекан), сушеный;657;12,72;64,37;11,85
Орех гинкго, консервированный;111;2,29;1,62;12,8
Орех гинкго, сушеный;348;10,35;2;72,45
Орех гинкго, сырой;182;4,32;1,68;37,6
Орех калифорнийский, сушеный;612;24,9;56,98;7,35
Орехи, смесь без арахиса, жареные в масле без соли;615;15,52;56,17;16,77
Орехи, смесь без арахиса, жареные в масле, с солью;615;15,52;56,17;16,77
Орехи, смесь без арахиса, жареные в масле, слабосолёные;607;17,86;50;17,9
Орехи, смесь с арахисом, жареные в масле без соли;607;20,04;53,95;14,05
Орехи, смесь с арахисом, жареные в масле с солью;607;20,04;53,95;14,05
Орехи, смесь с арахисом, сухая обжарка, без соли;607;19,5;53,5;16,02
Орехи, смесь с арахисом, сухая обжарка, с солью;594;17,3;51,45;16,35
Пальмовое ядро;0;8,4;49,6;0
Паста из кешью, без соли;587;17,56;49,41;25,57
Паста из кешью, с солью;609;12,12;53,03;27,3
Паста из семян подсолнечника;617;17,28;55,2;17,62
Паста из семян подсолнечника, с солью;617;17,28;55,2;17,62
Пекан, орех;691;9,17;71,97;4,26
Пекан, орех жареный без масла, без соли;710;9,5;74,27;4,15
Пекан, орех жареный без масла, с солью;710;9,5;74,27;4,15
Пекан, орех жареный в масле, без соли;715;9,2;75,23;3,51
Пекан, орех жареный в масле, с солью;715;9,2;75,23;3,51
Персик (семя костянки);0;0;43;0
Пили, орех сушеный;719;10,8;79,55;3,98
Подсолнечник, семечки;601;20,7;52,9;10,5
Подсолнечник, семечки, жареные в масле без добавления соли;592;20,06;51,3;12,29
Подсолнечник, семечки, жареные в масле, с добавлением соли;592;20,06;51,3;12,29
Подсолнечник, семечки, поджареные, без соли;619;17,21;56,8;9,09
Подсолнечник, семечки, сухая обжарка, без соли;582;19,33;49,8;12,97
Подсолнечник, семечки, сухая обжарка, с солью;582;19,33;49,8;15,07
Подсолнечник, семечки, сушеные;584;20,78;51,46;11,4
Подсолнечник, семечки, сушеные, солёные;619;17,21;56,8;9,09
Рапс, семя;544;30,8;37,6;7,2
Сафлоровая крупка, частично обезжиренная;342;35,62;2,39;48,73
Сафлоровое семя, сушеное;517;16,18;38,45;34,29
Семена бросимума напиткового, сушеные;367;8,62;1,68;64,49
Семена бросимума напиткового, сырые;217;5,97;0,99;46,28
Семена гулявника прямого целиком, сушеные;318;12,14;4,6;58,26
Семена лотоса, сушеные;332;15,41;1,97;64,47
Семена лотоса, сырые;89;4,13;0,53;17,28
Семена льна;534;18,29;42,16;1,58
Семена хлебного дерева, вареные;168;5,3;2,3;27,2
Семена хлебного дерева, жареные;207;6,2;2,7;34,1
Семена хлебного дерева, сырые;191;7,4;5,59;24,04
Семена чиа, сушеные;486;16,54;30,74;7,72
Слива, семя костянки;394,3;28,5;40,2;0
Тыквенные семечки, жареные без соли;574;29,84;49,05;8,21
Тыквенные семечки, жареные с солью;574;29,84;49,05;8,21
Тыквенные семечки, неочищенные, обжаренные без соли;446;18,55;19,4;35,35
Тыквенные семечки, неочищенные, обжаренные с солью;446;18,55;19,4;35,35
Тыквенные семечки, сушеные;559;30,23;49,05;4,71
Фисташки несолёные, сухая обжарка;572;21,05;45,82;17,98
Фисташки солёные, сухая обжарка;569;21,05;45,82;17,25
Фисташки, сырые;560;20,16;45,32;16,57
Фундук;628;14,95;60,75;7
Фундук;651;15;61,5;9,4
Фундук жареный;703;17,8;66,1;9,4
Фундук, бланшированный;629;13,7;61,15;6
Фундук, сухая обжарка, без соли;646;15,03;62,4;8,2
Хлопчатник, крупка, частично обезжиренная (без госсипола);367;49,1;4,77;38,43
Хлопчатник, мука, обезжиренная (без госсипола);332;49,83;1,41;36,1
Хлопчатник, мука, частично обезжиренная (без госсипола);359;40,96;6,2;37,54
Хлопчатник, семена, жареные (без госсипола);506;32,59;36,29;16,4
Хлопчатник, семя;499;34,5;36,5;8,1
