Продукт;Калорийность кКал;Белки г;Жиры г;Углеводы г
Фарш грибной;353,1;34;20,3;9,1
Фарш из зеленого лука с яйцом;89,1;3,1;7,1;3,5
Фарш из картофеля и свинины;260,3;9,7;18,5;14,7
Фарш из квашеной капусты;53,8;1,8;3,2;4,7
Фарш из рыбы и капусты;181,2;17,7;11,1;2,7
Фарш из рыбы и картофеля;176,3;18,4;8,8;6,2
Фарш из рыбы и яиц;206,2;20,9;12,9;1,7
Фарш из свежей капусты;97,8;3,8;7,2;4,8
Фарш картофельный с грибами или луком (1-й вариант);148,6;9,2;6,7;13,8
Фарш ливерный с кашей;380,5;22,9;13,3;45,3
Фарш морковный;91,3;2;4,8;10,7
Фарш морковный с рисом;188;3,4;7,2;29,1
Фарш морковный с яйцом;128,9;3,7;8,9;9,1
Фарш мясной с рисом и яйцом;362,7;26,5;20,1;20,1
Фарш рисовый с грибами;366,2;10,5;8;67,3
Фарш рисовый с яйцом;352,9;8;8,5;65,1
Фарш рыбный;286,2;35,4;15,1;2,2
Фарш рыбный с рисом;291,7;27,2;8,1;29,3
Фарш рыбный с рисом и визигой;241,4;29,8;8,7;11,6
Фарш творожный (для ватрушек, пирожков и вареников);266,4;13,1;18,1;13,8
Фарш яблочный;149,1;0,4;0,4;38,3
