Продукт;Калорийность кКал;Белки г;Жиры г;Углеводы г
Биточки паровые из курицы, по 2-24;176;18,6;7,2;9,3
Брикет из куриного мяса, замороженный, неприготовленный;292;14,33;20,04;12,41
Брикет из куриного мяса, замороженный, приготовленный;287;14,85;19,58;12,54
Бульон куриный;36;2,52;1,2;3,53
Ветчина из индейки, темное мясо, копченая, замороженная;118;16,3;4;3,1
Голубь, приготовленный (включая голубят);213;23,9;13;0
Голубь, птенцы;294;18,47;23,8;0
Голубь, птенцы, белое мясо без кожи;134;21,76;4,52;0
Голубь, птенцы, только мясо;142;17,5;7,5;0
Грудка цыпленка-бройлера (филе);116;19,6;4,1;0,3
Гусь 1 кат.;412;15,2;39;0
Гусь 2 кат.;317;17;27,7;0
Гусь домашний;371;15,86;33,62;0
Гусь домашний, запечённый;305;25,16;21,92;0
Гусь домашний, только мясо;161;22,75;7,13;0
Гусь домашний, только мясо, запечённый;238;28,97;12,67;0
Гусята 1 кат.;326;16,6;28,8;0
Гусята 2 кат.;208;19,1;14,6;0
Домашняя птица, мясо  механической обвалки со спинок и шеек без кожи, сырое;199;13,79;15,48;0
Домашняя птица, мясо зрелых индеек, без костей, сырое;243;14,72;19,98;0
Домашняя птица, мясо механической обвалки со спинок и шеек с кожей, сырое;272;11,39;24,73;0
Желудки индейки;111;18,8;3,37;0
Желудки индейки, вареные на медленном огне;155;26,45;4,64;0
Желудки куриные;94;17,66;2,06;0
Желудки куриные, вареные на медленном огне;154;30,39;2,68;0
Желудок куриный;130;21;6,4;0,6
Желудок цыпленка бройлера;122;20,7;4;0,8
Индейка;144;21,64;5,64;0,14
Индейка 1 кат.;276;19,5;22;0
Индейка 2 кат.;194;21,6;12;0
Индейка для тако, замороженная, приготовленная;148;16,8;7,58;3,03
Индейка с подливкой, замороженная;67;5,88;2,63;4,61
Индейка, бедра, предварительно замаринованные, запечённые;157;18,8;8,54;0
Индейка, бедро, мясо с кожей;161;19,54;9,16;0
Индейка, бедро, мясо с кожей, запечённое;183;23,95;9,5;0,41
Индейка, бедро, только мясо;116;20,6;3,69;0
Индейка, бедро, только мясо, запечённое;159;25,14;6,25;0,46
Индейка, белое и темное мясо нарезанное, приправленное;138;18,7;6;1
Индейка, белое или темное мясо без кожи, копченое;162;29,3;5;0
Индейка, белое или темное мясо с кожей, копченое;208;28,1;9,7;0
Индейка, белое мясо;114;23,66;1,48;0,14
Индейка, белое мясо с кожей;161;21,96;7,43;0,15
Индейка, белое мясо с кожей, запечённая;177;29,55;5,57;0,05
Индейка, белое мясо, запечённая;147;30,13;2,08;0
Индейка, голень копчёная;200;27,9;9,8;0
Индейка, голень, мясо с кожей;141;19,96;6,84;0
Индейка, голень, мясо с кожей, запечённая;197;28,21;9,37;0
Индейка, голень, только мясо;118;20,52;3,97;0
Индейка, голень, только мясо, запечённая;173;28,61;6,52;0
Индейка, грудка с кожей;157;21,89;7,02;0
Индейка, грудка с кожей, запечённая;189;28,71;7,41;0
Индейка, грудка с кожей, предварительно замаринованная, запечённая;126;22,16;3,46;0
Индейка, грудка, только мясо;114;23,66;1,48;0,14
Индейка, грудка, только мясо, запечённая;147;30,13;2,08;0
Индейка, жареная, по 2-16;280;23,4;20,7;0,1
Индейка, жаркое, белое и темное мясо без костей, приправленное, замороженное;120;17,6;2,2;6,4
Индейка, жаркое, белое и темное мясо без костей, приправленное, замороженное, запечённое;155;21,32;5,78;3,07
Индейка, запечённая;189;28,55;7,39;0,06
Индейка, крылышки;197;20,22;12,32;0
Индейка, крылышки, запечённые;229;27,38;12,43;0
Индейка, крылышки, копченые;221;27,4;12,41;0
Индейка, крылышки, только мясо;115;23,66;1,48;0,14
Индейка, крылышки, только мясо, запечённые;147;30,13;2,08;0
Индейка, мясо механически отделённое от костей;201;13,29;15,96;0
Индейка, окорочка;144;19,54;6,72;0
Индейка, окорочка, запечённые;208;27,87;9,82;0
Индейка, отварная, по 2-6;273;23,6;19,8;0
Индейка, потроха;124;18,18;5,09;0,07
Индейка, потроха и шейки;157;20,37;7,77;0,08
Индейка, потроха и шейки,  запечённые;205;27,98;9,45;0,07
Индейка, потроха, вареные на медленном огне;173;26,44;6,61;0
Индейка, спинка;196;18,11;13,11;0
Индейка, спинка, запечённая;244;26,59;14,38;0,16
Индейка, спинки, только мясо;113;21,28;2,5;0,15
Индейка, спинки, только мясо, запечённые;173;27,71;6,04;0
Индейка, темное мясо;108;21,28;2,5;0,15
Индейка, темное мясо с кожей;166;19,81;8,97;0,15
Индейка, темное мясо с кожей,  запечённое;206;27,27;9,95;0,07
Индейка, темное мясо, запечённое;173;27,71;6,04;0
Индейка, только кожа;407;12,96;38,93;0,16
Индейка, только кожа, запечённая;459;23,94;39,31;0,57
Индейка, только мясо;115;22,64;1,93;0,14
Индейка, только мясо, запечённая;159;29,06;3,84;0
Индейка, только мясо, консервированное в бульоне;169;23,68;6,86;1,47
Индейка, цыплята;134;22,37;4,25;0
Индейка, цыплята, белое мясо;108;24,18;0,49;0
Индейка, цыплята, белое мясо с кожей;133;23,09;3,81;0
Индейка, цыплята, белое мясо с кожей, запечённые;164;28,77;4,58;0
Индейка, цыплята, белое мясо, запечённые;140;30,19;1,18;0
Индейка, цыплята, грудка с кожей;125;23,76;2,65;0
Индейка, цыплята, грудка с кожей, запечённая;153;29,07;3,2;0
Индейка, цыплята, запечённые;172;28,26;5,72;0
Индейка, цыплята, крылышки;159;20,85;7,72;0
Индейка, цыплята, крылышки, запечённые;207;27,65;9,87;0
Индейка, цыплята, окорочка, мясо и кожа, приготовленные, жареные на открытом огне;170;28,49;5,41;0
Индейка, цыплята, окорочка, мясо и кожа, сырые;118;20,13;3,57;0
Индейка, цыплята, окорочка, только мясо, приготовленное, жареное на открытом огне;159;29,19;3,77;0
Индейка, цыплята, окорочка, только мясо, сырое;108;20,35;2,37;0
Индейка, цыплята, потроха и шейки;133;22,15;4,25;0,05
Индейка, цыплята, потроха и шейки, запечённые;171;28,08;5,64;0,04
Индейка, цыплята, спинки;151;19,89;7,27;0
Индейка, цыплята, спинки, запечённые;204;26,15;10,24;0
Индейка, цыплята, темное мясо;111;20,46;2,67;0
Индейка, цыплята, темное мясо с кожей;129;20,06;4,79;0
Индейка, цыплята, темное мясо с кожей, запечённые;182;27,69;7,06;0
Индейка, цыплята, темное мясо, запечённые;162;28,84;4,31;0
Индейка, цыплята, только кожа;283;16,6;23,54;0
Индейка, цыплята, только кожа, запечённая;299;20,94;23,28;0
Индейка, цыплята, только мясо;110;22,32;1,58;0
Индейка, цыплята, только мясо, запечённое;150;29,56;2,63;0
Индейка, шейки, только мясо;125;16,51;6,04;0
Индейка, шейки, только мясо, вареное на медленном огне;162;22,48;7,36;0
Индюшата 1 кат.;182;18,5;11,7;0,6
Индюшата 2 кат.;134;21,7;5;0,6
Канадский гусь, грудка, только мясо;133;24,31;4,02;0
Котлеты (патти) из мяса индейки, обжаренныев панировке и кляре;283;14;18;15,7
Котлеты рубленые, цыплята, по 2-22;238;15,2;13,6;13,5
Котлеты, индейка, по 2-22;220;18,6;12,2;8,7
Котлеты, курица, по 2-20;222;18,2;10,4;13,8
Куриная грудка (филе);113;23,6;1,9;0,4
Куриная грудка для фахито, замороженная;135;18,56;5,73;2,23
Куриное филе (грудка), приготовленное в микроволновой печи;252;16,35;12,89;17,56
Куриные лапки, вареные;215;19,4;14,6;0,2
Куриные нагетсы;276;13,89;18,06;14,38
Куриные нагетсы, приготовленные;296;15,27;19,82;14,09
Куриный окорочок;185;21,3;11;0,1
Куриный фарш;143;17,44;8,1;0,04
Куриный фарш, рубленный, подрумяненый на сковороде;189;23,28;10,92;0
Курица 1 кат.;238;18,2;18,4;0
Курица 2 кат.;159;21,2;8,2;0
Курица бройлерная;200;17,15;14,02;0
Курица бройлерная, запечённая;259;22,27;18,21;0
Курица бройлерная, только мясо;116;20,04;3,33;0
Курица бройлерная, только мясо, запечённая;134;23,3;3,87;0
Курица в собственном соку, консервы;183;23,2;9,9;0,4
Курица жареная, по 2-16;272;23,3;19,8;0,1
Курица жаренная во фритюре, по 2-20;251;24,5;11,2;13,3
Курица отварная, по 2-4;244;22,6;17;0
Курица тушенная с овощами, по 2-14;125;5,5;7,1;9,6
Курица-гриль в оригинальной приправке, бройлеры или цыплята, грудка, приправленные, приготовленные на гриле, только мясо;137;28;2,79;0
Курица-гриль, бедро, мясо с кожей;226;22,51;15,08;0,12
Курица-гриль, бедро, только мясо;193;24,09;10,74;0
Курица-гриль, голень с кожей;206;25,65;11,46;0,12
Курица-гриль, голень, только мясо;172;27,71;6,76;0
Курица-гриль, грудка с кожей;175;26,37;7,67;0,09
Курица-гриль, грудка, только мясо;144;28,04;3,57;0
Курица-гриль, кожа;378;15,19;35,15;0,7
Курица-гриль, крылышки с кожей;257;23,42;18,04;0,6
Курица-гриль, крылышки, только мясо;186;28,34;7,79;0,54
Курица-гриль, спинка с кожей;251;20,29;18,86;0,4
Курица-гриль, спинка, только мясо;212;21,85;13,87;0,31
Курица, белое мясо, запечённое;153;27,13;4,07;0
Курица, белое мясо, тушеное;213;33,04;7,98;0
Курица, запечённая;223;23,97;13,39;0
Курица, кожа с окорочка, запечённая;462;16,57;43,99;0
Курица, кожа с окорочка, сырая;440;9,58;44,23;0,79
Курица, кожа с окорочка, тушеная;443;14,61;42,76;0
Курица, консервированная, без бульона;185;25,3;8,1;0,9
Курица, консервированная, только мясо, в бульоне;133;22,41;4,69;0,23
Курица, консервированная, только мясо, в воде;129;22,02;4,58;0
Курица, консервированная, только мясо, сухой продукт;162;27,52;5,72;0
Курица, крылышки, замороженные, глазированные, с ароматизатором барбекью;211;19,67;12,67;2,74
Курица, крылышки, замороженные, глазированные, с ароматизатором барбекью, разогретые в конвекционной печи;242;22,24;14,87;2,86
Курица, крылышки, замороженные, глазированные, с ароматизатором барбекью, разогретые в микроволновой печи;248;25,34;13,9;2,94
Курица, подготовленная к жарке, мясо, кожа, потроха и шейки, сырые;213;17,09;15,46;0,09
Курица, подготовленная к жарке, потроха, сырые;127;18,14;5,04;1,14
Курица, подготовленная к жарке, только мясо, сырое;111;20,33;2,7;0
Курица, подготовленная к тушению, мясо и кожа, сырые;258;17,55;20,33;0
Курица, подготовленная к тушению, мясо, кожа, потроха и шейки, сырые;251;17,48;19,52;0,19
Курица, подготовленная к тушению, потроха, сырые;168;17,89;9,21;2,13
Курица, подготовленная к тушению, только мясо, сырое;148;21,26;6,32;0
Курица, потроха и шейки, запечённые;220;23,96;13,07;0,05
