Продукт;Калорийность кКал;Белки г;Жиры г;Углеводы г
DENNY'S, стейк-филе;182;28,9;7,34;0,14
Говядина, с овощами, Китайский ресторан;105;7,08;5,3;5,79
Курица в лимоне, Китайский ресторан;252;11,87;13,55;19,61
"Курица, Цыпленок, ""Кунг-Пао"", Китайский ресторан";129;9,76;6,98;5,37
Ресторан-магазин Cracker Barrel, картофель фри;255;3,26;13,18;27,37
Ресторан-магазин Cracker Barrel, креветки, жаренные по деревенски, тарелка;287;12,62;16,77;21,1
Ресторан-магазин Cracker Barrel, куриное филе, тарелка, жареное, детское меню;294;18,67;15,41;19,24
Ресторан-магазин Cracker Barrel, макароны с сыром, тарелка, детское меню;192;6,46;11,51;14,88
Ресторан-магазин Cracker Barrel, сом, разводимый, тарелка;266;22,94;17,05;3,71
Ресторан-магазин Cracker Barrel, стейк-филе, (бифштекс), гриль;203;31,52;8,52;0
Ресторан,  семейный стиль, стейк-филе;186;28,78;7,88;0,07
Ресторан, APPLEBEE'S, 9 унцевый домашний стейк-филе;189;26,85;9,08;0
Ресторан, APPLEBEE'S, KRAFT, макароны с сыром, детское меню;143;5,01;4,34;19,78
Ресторан, APPLEBEE'S, дважды хрустящие креветки ( Double Crunch Shrimp);323;12,31;18,9;23,36
Ресторан, APPLEBEE'S, картофель фри;290;3,31;13,17;35,6
Ресторан, APPLEBEE'S, куриные палочки, детское меню;296;19,25;16,15;17,16
Ресторан, APPLEBEE'S, сырные палочки (моцарелла);316;14,87;18,37;20,77
Ресторан, DENNY'S, MOONS & STARS куриные наггетсы, детское меню;377;16,27;28,57;12,79
Ресторан, DENNY'S, золотые жареные креветки;277;11,51;16,67;20,21
Ресторан, DENNY'S, картофель фри;282;3,41;14,13;31,7
Ресторан, DENNY'S, макароны с сыром, детское меню;150;5,19;4,92;19,96
Ресторан, DENNY'S, сырные палочки (моцарелла);324;13,56;17,87;25,62
Ресторан, Латино, Аррос Кон Грэндулс, (рис и горох);182;3,5;4,98;29,35
Ресторан, Латино, Аррос Кон Лече, (рисовый пуддинг);146;3,2;3,69;24,42
Ресторан, Латино, Аррос Кон Фрайджолс Негро, (рис и черная фасоль);151;4,64;3,85;21
Ресторан, Латино, Аррос Кон Хэбичуелас Колорадо, (рис и красная фасоль);142;3,96;3,46;21,14
Ресторан, Латино, курица с рисом, блюдо, приготовленные;174;12,02;5,06;18,83
Ресторан, Латино, эмпанадас, говядина, приготовленные;335;11,31;18,37;29,19
Ресторан, семейный стиль, жаренные сырные палочки (моцарелла);325;14,75;18,33;23,14
Ресторан, семейный стиль, картофель фри;289;3,49;14,04;33,3
Ресторан, семейный стиль, креветки, жареные в панировке;308;12,67;18,67;20,79
Ресторан, семейный стиль, куриные палочки, детское меню;307;18,68;17,45;17,67
Ресторан, семейный стиль, макароны с сыром, детское меню;151;5,42;6,06;17,7
Рис, жареный, Китайский ресторан;174;4,05;2,96;31,69
Рулеты яичные, ассорти, Китайский ресторан;250;8,28;11,94;24,69
