Продукт;Калорийность кКал;Белки г;Жиры г;Углеводы г
Акула катран;143;19,9;7;0
Акула, все виды, приготовленная, обжаренная в панировке;228;18,62;13,82;6,39
Акула, все виды, сырая;130;20,98;4,51;0
Альбула;106;23;1,5;0
Анчоус атлантический;135;20,1;6,1;0
Анчоус европейский, консервированный в масле, сухой продукт без маринада;210;28,89;9,71;0
Анчоус европейский, сырой;131;20,35;4,84;0
Аргентина;88;17,6;2;0
Асцидия, (tunughnak), (Аляска);20;3,8;0,5;0
Балык осетровый вяленый;177;21,6;10,1;0
Балык осетровый холодного копчения;194;20,4;12,5;0
Барабулька, приготовленная на жару;150;24,81;4,86;0
Барабулька, сырая;117;19,35;3,79;0
Баттерфиш, весенне-летняя;140;17,3;7,9;0
Баттерфиш, осенне-зимняя;201;17,3;14,6;0
Белая рыба, все виды;134;19,09;5,86;0
Белая рыба, все виды, копченая;108;23,4;0,93;0
Белая рыба, все виды, приготовленная на жару;172;24,47;7,51;0
Белоглазка аральская холодного копчения;244;27,5;14,9;0
Белоглазка, аральская;144;17,9;8;0
Белоглазка, волго-каспийская;92;18,8;1,9;0
Белорыбица;274;20,1;21,5;0
Белуга бланшированная консервированная;234;23,3;15,6;0
Белуга, глаза (Аляска);291;19,6;23,3;0
Бельдюга американская, приготовленная на жару;102;21,33;1,17;0
Бельдюга американская, сырая;79;16,64;0,91;0
Бельдюга океаническая;89;17,6;2,1;0
Берикс;88;20,3;0,8;0
Бесуго;145;20;7,2;0
Боковник белужий холодного копчения;228;18,2;17,2;0
Большеголов;94;11,4;5,4;0
Большеголов атлантический;76;16,41;0,7;0
Большеголов атлантический, приготовленный на жару;105;22,64;0,9;0
Бульон рыбный;17;2,26;0,81;0
Бычки в томатном соусе, консервы;145;12,8;8,1;5,2
Бычок-песочник;70;15,8;0,8;0
Вобла;95;18;2,8;0
Вобла каспийская вяленая;235;46,4;5,5;0
Вобла холодного копчения;181;31,1;6,3;0
Галиотис, все виды, жареный;189;19,63;6,78;11,05
Галиотис, все виды, сырой;105;17,1;0,76;6,01
Галки из трески, по 1-388;87;12;1,1;7,3
Гирелла, черный каменный окунь, сырой, (Аляска);82;15,5;1,75;0
Гладкоголов;49;8;1,9;0
