Продукт;Калорийность кКал;Белки г;Жиры г;Углеводы г
HORMEL ALWAYS TENDER, свинина, верхняя часть филе(без костей) с лимонно-чесночным ароматом;118;17,83;4,16;1,79
HORMEL ALWAYS TENDER, свинина, свежая, верхняя часть филе с костью;167;18,74;9,62;0,84
HORMEL ALWAYS TENDER, свинина, свежая, филе без костей;145;19,02;7,18;0,76
HORMEL ALWAYS TENDER, свинина, средняя часть филе с араматом черного перца;110;17,21;3,8;1,82
HORMEL ALWAYS TENDER, свинина, филе с ароматом терияки.;119;18,2;3,07;4,63
"HORMEL, бекон ""по- канадски""";122;16,88;4,94;1,87
HORMEL, свинина мокрого посола, ветчина;106;18,43;3,59;0,21
Бекон;393;13,66;37,13;0
Бекон слабосолёный, приготовленный;541;37,04;41,78;1,43
Бекон, жареный на сковороде;468;33,92;35,09;1,7
Бекон, канадский;110;20,31;2,62;1,34
Бекон, печеный;548;35,73;43,27;1,35
Бекон, разогретый в микроволновой печи;476;39,01;34,12;0,48
Ветчина в собственном соку, верхняя часть окорока на кости;200;19,7;13,26;0,43
Ветчина в собственном соку, верхняя часть окорока на кости, запечённая;177;22,47;9,39;0,6
Ветчина в собственном соку, верхняя часть окорока на кости, постное мясо;122;22,71;3,47;0,43
Ветчина в собственном соку, верхняя часть окорока на кости, постное мясо, запечённая;137;24,14;4,25;0,48
Ветчина в собственном соку, нарезаная по спирали, постное мясо;109;19,25;3,26;1,22
Ветчина в собственном соку, нарезанная по спирали;129;18,66;5,75;1,18
Ветчина в собственном соку, нарезанная по спирали, запечённая;139;22,18;5,1;1,06
Ветчина в собственном соку, нарезанная по спирали, постное мясо, запечённая;126;22,56;3,78;1,08
Ветчина в собственном соку, нарезка на кости;159;22,82;7,4;0,17
Ветчина в собственном соку, нарезка на кости, жареная на сковороде;118;20,89;3,4;1,04
Ветчина в собственном соку, нарезка на кости, постное мясо;123;24,34;2,87;0
Ветчина в собственном соку, нарезка на кости, постное мясо, жареная на сковороде;150;27,75;4,38;0
Ветчина в собственном соку, нарезка на кости,, обжаренная;180;26,18;8,28;0,17
Ветчина в собственном соку, нарезка, постное мясо,  жареная на сковороде;116;20,95;3,16;1,05
Ветчина в собственном соку, окорок в целом;112;19,38;3,43;1,02
Ветчина в собственном соку, окорок в целом, запечённая;114;20,54;3,13;0,84
Ветчина в собственном соку, окорок в целом, постное мясо;111;19,44;3,21;1,03
Ветчина в собственном соку, окорок в целом, постное мясо, запечённая;113;20,57;3,01;0,84
Ветчина в собственном соку, рулька;191;22,35;11,11;0,32
Ветчина в собственном соку, рулька, запечённая;191;22,88;10,93;0,33
Ветчина в собственном соку, рулька, постное мясо;130;25,11;3,33;0,3
Ветчина в собственном соку, рулька, постное мясо, запечённая;145;24,95;4,97;0,34
Ветчина консервированная;144;17,97;7,46;0
Ветчина консервированная, запечённая;167;20,94;8,43;0,49
Ветчина маложирная;162;18,26;8,39;2,28
Ветчина постная, нарезка на кости, жареная на сковороде;148;27,18;4,09;0,74
Ветчина постная, около  4% жира, консервированная;120;18,49;4,56;0
Ветчина постная, около  4% жира, консервированная, обжаренная;136;21,16;4,88;0,52
Ветчина постная, около 5% жира, запечённая;145;20,93;5,53;1,5
Ветчина постная, стейк;122;19,56;4,25;0
Ветчина приготовленная с добавлением воды (более 10%), верхняя часть окорока на кости;179;16,09;12,13;1,35
Ветчина приготовленная с добавлением воды (более 10%), верхняя часть окорока на кости, обжареная;186;19,46;11,48;1,15
Ветчина приготовленная с добавлением воды (более 10%), верхняя часть окорока на кости, постное мясо;107;17,93;3,38;1,24
Ветчина приготовленная с добавлением воды (более 10%), верхняя часть окорока на кости, постное мясо, обжаренная;131;21,28;4,7;1,15
Ветчина приготовленная с добавлением воды (более 10%), нарезка без кости, жареная на сковороде;124;15,08;5,13;4,69
