Продукт;Калорийность кКал;Белки г;Жиры г;Углеводы г
M&M MARS, KUDOS Цельнозерные батончики, арахисовое масло;463;5,88;20,78;62,09
M&M MARS, KUDOS Цельнозерный батончик, M&M's молочный шоколад;415;3,78;11,95;70,61
Батончик со злаками и молоком;413;6,47;10,98;71,65
Воздушная кукуруза;354;9,4;3,3;76,5
Воздушная пшеница;354;11,9;1,7;77,5
Воздушный рис;349;6,2;0,3;85,7
Говяжьи палочки, копченые;550;21,5;49,6;5,4
Закуски, банановые чипсы;519;2,3;33,6;50,7
Закуски, кукурузное пирожное, Na 488 мг;387;8,1;2,4;81,5
Закуски, кукурузное пирожное, очень низкое содержание натрия, Na 28 мг;387;8,1;2,4;83,4
Картофельные палочки;522;6,7;34,4;49,9
Картофельные чипсы, из сухого картофеля, обезжиренного, с доб. олестры (синтетический заменитель жира);253;5,06;0,93;48,7
Картофельные чипсы, из сухого картофеля, со вкусом сметаны и лука;547;6,6;37;50,1
Картофельные чипсы, из сухого картофеля, со вкусом сыра;551;7;37;47,2
Картофельные чипсы, обезжиренные, с доб. олестры (синтетический заменитель жира);274;7,74;0,7;58,2
Картофельные чипсы, обезжиренные, с солью;379;9,64;0,6;76,26
Картофельные чипсы, обычные, на частично гидрогенизированном соевом масле, несоленые;536;7;34,6;48,1
Картофельные чипсы, обычные, на частично гидрогенизированном соевом масле, соленые;536;7;34,6;48,1
Картофельные чипсы, обычные, несоленые;536;7;34,6;48,1
Картофельные чипсы, обычные, соленые;532;6,39;33,98;50,73
Картофельные чипсы, с пониж. содерж. жира, 20.8%;471;7,1;20,8;61
Картофельные чипсы, с солью, с пониж. содерж. жира, 20.8%;487;7,1;20,8;61,7
Картофельные чипсы, со вкусом барбекю;487;6,51;31,06;52,12
Картофельные чипсы, со вкусом сметаны и лука;531;8,1;33,9;46,3
Картофельные чипсы, со вкусом сыра;496;8,5;27,2;52,5
Крендельки, мягкие, не соленые;345;8,2;3,1;69,34
Кукурузные палочки;359;10,3;1,6;81
Кукурузные хлопья;347;15,1;1,3;73,3
Кукурузные чипсы;539;6,17;33,36;53,27
Кукурузные чипсы, несоленые;557;6,6;33,4;53
Кукурузные чипсы, со вкусом барбекю;523;7;32,7;51
Кукурузные чипсы, со вкусом барбекю, из обогащенной муки маса;523;7;32,7;56,2
Попкорн, маложирный, 9.5% жира, приготовленный в микроволновке;424;12,6;9,5;57,8
Попкорн, маложирный, 9.5% жира, с низким содерж. натрия, приготовленный в микроволновке;429;12,6;9,5;59,19
Попкорн, приготовленный горячим воздухом;387;12,94;4,54;63,28
Попкорн, приготовленный горячим воздухом, белый;382;12;4,2;62,8
Попкорн, приготовленный с использованием масла, в микроволновке;583;7,29;43,55;36,96
Попкорн, приготовленный с использованием масла, несоленый;500;9;28,1;48,1
Попкорн, приготовленный с использованием масла, с солью;500;9;28,1;47,2
Попкорн, с карамелью, без орехов;431;3,8;12,8;73,9
Попкорн, с карамелью, нежирный, 1.4% жира;381;2;1,4;87,56
Попкорн, с карамелью, с орехами;400;6,4;7,8;76,9
Попкорн, с пальмовым маслом, приготовленный в микроволновке;535;8,38;30,22;47,26
Попкорн, со вкусом сыра;526;9,3;33,2;41,7
Пшеничные хлопья;337;12,3;1,4;73,5
Рисово-пшеничный батончик;409;9,09;9,09;70,93
Соевые чипсы, соленые;385;26,5;7,35;49,65
Хрустящий картофель;543;3,4;38,8;48,1
Чипсы из батата;532;2,94;32,35;48,02
Шоколадный батончик POWER BAR;363;14,15;3,11;63,93
