Продукт;Калорийность кКал;Белки г;Жиры г;Углеводы г
Антилопа;114;22,38;2,03;0
Антилопа, запеченная;150;29,45;2,67;0
Баранина 1 кат.;209;15,6;16,3;0
Баранина 2 кат.;166;19,8;9,6;0
Баранина австралийская ,голяшка, мясо и жир, обрезь до 1/8'' жира, жаренная;231;25,25;13,69;0
Баранина австралийская ,голяшка, мясо и жир, обрезь до 1/8'' жира, сырая;201;18,59;13,48;0
Баранина австралийская ,голяшка, только мясо, обрезь до 1/8'' жира, жаренная;182;27,18;7,27;0
Баранина австралийская ,голяшка, только мясо, обрезь до 1/8'' жира, сырая;133;20,45;5,1;0
Баранина австралийская, Мясной набор, мясо и жир, обрезь до 1/8'' жира, вареная;256;24,52;16,82;0
Баранина австралийская, мясной набор, мясо и жир, обрезь до 1/8'' жира, сырая;229;17,84;16,97;0
Баранина австралийская, Мясной набор, только мясо, обрезь до 1/8'' жира, вареная;201;26,71;9,63;0
Баранина австралийская, Мясной набор, только мясо, обрезь до 1/8'' жира, сырая;142;20,25;6,18;0
Баранина австралийская, нога передняя с лопаткой, мясо и жир, обрезь до 1/8'' жира, вареная;296;23,58;21,65;0
Баранина австралийская, нога передняя с лопаткой, только мясо, обрезь до 1/8'' жира, вареная;233;26,18;13,44;0
Баранина австралийская, Нога передняя, с лопаткой, мясо и жир, обрезь до 1/8'' жира, сырая;256;16,68;20,47;0
Баранина австралийская, нога целая,  только мясо, обрезь до 1/8'' жира, жаренная;190;27,31;8,1;0
Баранина австралийская, нога целая, мясо и жир, обрезь до 1/8'' жира, сырая;215;18,24;15,19;0
Баранина австралийская, нога, целая, мясо и жир, обрезь до 1/8'' жира, жаренная;244;25,16;15,13;0
Баранина австралийская, нога, целая, только мясо, обрезь до 1/8'' жира, сырая;135;20,46;5,23;0
Баранина австралийская, нога, центральная часть на кости, мясо и жир, обрезь до 1/8'' жира, жаренная на открытом огне;215;25,54;11,78;0
Баранина австралийская, нога, центральная часть на кости, мясо и жир, обрезь до 1/8'' жира, сырая;195;19,17;12,56;0
Баранина австралийская, нога, центральная часть на кости, только мясо, обрезь до 1/8'' жира, жаренная на открытом огне;183;26,75;7,68;0
