Продукт;Калорийность кКал;Белки г;Жиры г;Углеводы г
Абрикосовый нектар, консервированный без добавления аскорбиновой кислоты;56;0,17;0,45;13,53
Абрикосы в кожуре, консервированные в собственном соку;48;0,63;0,04;10,74
Ананас, консервированный в собственном соку;60;0,42;0,08;14,9
Ананасовый сок, замороженный концентрат, неподслащенный, неразбавленный;179;1,3;0,1;43,6
Ананасовый сок, замороженный концентрат, неподслащенный, разбавленный водой 1 к 3;51;0,4;0,03;12,47
Ананасовый сок, консервированный, неподслащенный, без добавления аскорбиновой кислоты;53;0,36;0,12;12,67
Ананасовый сок, консервированный, неподслащенный, с добавлением аскорбиновой кислоты;53;0,36;0,12;12,67
Апельсиново-ананасовый сок;51;0,41;0,08;12
Апельсиново-грейпфрутовый сок, консервированный, неподслащенный;43;0,6;0,1;10,18
Апельсиновый сок из концентрата, обогащённый кальцием;47;0,68;0,12;10,97
Апельсиновый сок, замороженный концентрат, неподслащенный, неразбавленный;148;2,4;0,25;34,19
Апельсиновый сок, замороженный концентрат, неподслащенный, разбавленный водой 1 к 3;37;0,6;0,06;8,6
Апельсиновый сок, консервированный, неподслащенный;47;0,68;0,15;10,71
Апельсиновый сок, необработанный;45;0,7;0,2;10,2
Апельсиновый сок, охлажденный, полученный из концентрата;49;0,68;0,12;11,24
Апельсиновый сок, охлажденный, полученный из концентрата, обогащенный кальцием и витамином Д;47;0,68;0,12;10,97
Виноградно-яблочный сок, с добавлением аскорбиновой кислоты;50;0,16;0,12;12,26
Виноградно-яблочный сок, с добавлением аскорбиновой кислоты и кальция;52;0,17;0,12;12,76
Виноградный сок, консервированный или в бутылках, неподслащенный, с добавлением аскорбиновой кислоты;60;0,37;0,13;14,57
Гранатовый сок, необработанный;54;0,15;0,29;13,03
Грейпфрутовый сок, белый, замороженный концентрат, неподслащенный, неразбавленный;146;1,97;0,48;34,16
Грейпфрутовый сок, белый, замороженный концентрат, неподслащенный, разбавленный водой 1 к 3;41;0,55;0,13;9,63
Грейпфрутовый сок, белый, консервированный, неподслащенный;37;0,55;0,66;6,94
Грейпфрутовый сок, белый, консервированный, подслащенный;46;0,58;0,09;11,03
Грейпфрутовый сок, белый, необработанный;39;0,5;0,1;9,1
Грейпфрутовый сок, консервированный или  в банках, неподслащенный, с добавлением аскорбиновой кислоты;60;0,37;0,13;14,57
Грейпфрутовый сок, розовый, необработанный;39;0,5;0,1;9,2
Грушевый нектар, консервированный, без добавления аскорбиновой кослоты;60;0,11;0,01;15,16
Грушевый нектар, консервированный, с добавлением аскорбиновой кослоты;60;0,11;0,01;15,16
Клюквенный сок, неподслащенный;46;0,39;0,13;12,1
Лаймовый сок, консервированный или в бутылках, неподслащенный;21;0,25;0,23;6,29
Лаймовый сок, необработанный;25;0,42;0,07;8,02
Лимонный сок, консервированный или в бутылках;17;0,45;0,07;4,92
Лимонный сок, необработанный;22;0,35;0,24;6,6
Мандариновый сок, необработанный;43;0,5;0,2;9,9
Морковный сок, консервированный;40;0,95;0,15;8,48
Нектар гуавы, консервированный;63;0,09;0,06;15,25
Нектар гуанабаны, консервированный;59;0,11;0,17;14,83
Нектар манго, консервированный;51;0,11;0,06;12,82
Нектар папайи, консервированный;57;0,17;0,15;13,91
Нектар тамаринда, консервированный;57;0,09;0,12;14,23
Персиковый нектар, консервированный, без добавления аскорбиновой кослоты;49;0,1;0,57;11,51
Персиковый нектар, консервированный, с добавлением аскорбиновой кослоты;54;0,27;0,02;13,92
Сок ацеролы, необработаный;23;0,4;0,3;4,5
Сок ежевики, консервированный;38;0,3;0,6;7,7
Сок из папайи лавролистной, необработанный;60;0,67;0,18;14,25
Сок из папайи съедобной, необработанный;51;0,39;0,05;13,4
Сок из чернослива, консервированный;71;0,61;0,03;16,45
Сок мультиовощной, консервированный;22;0,93;0,31;3,37
Томатный и овощной сок, с пониженым содержанием соли;22;0,6;0,1;3,79
Томатный сок без соли, консервированный;17;0,85;0,29;3,13
Томатный сок с солью, консервированный;17;0,85;0,29;3,13
Яблочный сок, замороженный концентрат, неподслащенный, неразбавленный, с добавлением аскорбиновой кислоты;166;0,51;0,37;41
Яблочный сок, замороженный концентрат, неподслащенный, разбавленный водой 1 к 3, с добавлением аскорбиновой кислоты;47;0,14;0,1;11,44
Яблочный сок, замороженный концетрат, неподслащенный, неразбавленый, без добавления аскорбиновой кислоты;166;0,51;0,37;40,6
Яблочный сок, замороженный концетрат, неподслащенный, разбавленый водой 1 к 3, без добавления аскорбиновой кислоты;47;0,14;0,1;11,44
Яблочный сок, консервированный или в бутылках, неподслащенный, без добавления аскорбиновой кислоты;46;0,1;0,13;11,1
Яблочный сок, консервированный или в бутылках, неподслащенный, с добавлением аскорбиновой кислоты;46;0,1;0,13;11,1
