Продукт;Калорийность кКал;Белки г;Жиры г;Углеводы г
Oscar Mayer (Оскар Майер), ветчина, медовая, с добавлением воды;111;16,7;3,5;3,1
Боквурст, (кнакер, варёно-копчёная сарделька), свинина, телятина, сырая;301;14,03;25,87;1,95
Болонская колбаса, говядина;299;10,91;26,13;4,29
Болонская колбаса, говядина и свинина;308;15,2;24,59;5,49
Болонская колбаса, говядина и свинина, с низким содерж. жира, 19% жира;230;11,5;19,3;2,6
Болонская колбаса, говядина, с низким содерж. жира, 15% жира;204;11,8;14,8;5,2
Болонская колбаса, индейка;209;11,42;16,05;4,18
Болонская колбаса, курица, индейка, свинина;298;9,88;26,18;5,65
Болонская колбаса, курица, свинина;336;10,31;30,61;4,19
Болонская колбаса, курица, свинина, говядина;272;11,33;22,73;5,61
Болонская колбаса, свинина;247;15,3;19,87;0,73
Болонская колбаса, свинина и индейка, легкая, 16% жира;211;13,06;16,06;3,45
Болонская колбаса, свинина, индейка, говядина;336;11,56;29,25;6,66
Братвурст, сарделька, из говядины и свинины;323;14,3;27,8;2,98
Братвурст, сарделька, из говядины и свинины, копченая;297;12,2;26,34;2
Братвурст, сарделька, из курицы, приготовленная;176;19,44;10,35;0
Братвурст, сарделька, из свинины, говядины и индейки, легкая, копченая (14% жира);186;14,45;13,53;1,62
Братвурст, сарделька, из свинины, приготовленная;333;13,72;29,18;2,85
Братвурст, сарделька, из телятины, приготовленная;341;13,99;31,7;0
Ветчина в форме;279;22,6;20,9;0
Ветчина особая;126;17,6;6,2;0
Ветчина, медовая, копчено-вареная;122;17,93;2,37;7,27
Ветчина, нарезанная ломтиками, сверх постная;107;16,85;4,04;0,7
Ветчина, рубленая;263;16,28;20,68;1,84
Ветчина, рубленная, консервированная;239;16,06;18,83;0,26
Ветчина, рубленная, неконсервированная;221;16,5;16,7;0
Говядина, солонина, буханка, заливное;153;22,9;6,1;0
Говядина, солонина, колбаска, приготовленная, копченая;312;14,11;26,91;2,42
Говядина, солонина, консервированная;250;27,1;14,93;0
Говядина, солонина, копченая, нарубленная;133;20,19;4,42;1,86
Говядина, солонина, мясо для ланча, заливное;111;19;3,3;0
Говядина, солонина, Пастрома;147;21,8;5,82;0,36
Говядина, солонина, сушеная;153;31,1;1,94;2,76
Говядина, сосиски, заранее приготовленные;405;15,5;37,57;0,03
Говядина, сосиски, свежие, приготовленные;332;18,21;27,98;0,35
Грудинка копчено-запеченная (свинина);514;10;52,7;0
Грудинка сырокопченая (свинина);605;8,9;63,3;0
гусь, Паштет, из печени, копченый, консерв.;462;11,4;43,84;4,67
Зельц, из свинины;157;13,83;10,9;0
Колбаса вареная говяжья;165;15;11,7;0,2
Колбаса вареная для завтрака;187;13;13,9;2,4
Колбаса вареная русская;302;11,5;27,9;1,7
Колбаса вареная, диабетическая;254;12,1;22,8;0
Колбаса вареная, диетическая;170;12,1;13,5;0
Колбаса вареная, докторская;257;12,8;22,2;1,5
Колбаса вареная, зеленоградская (с мясом утки);187;17,2;12,1;2,2
Колбаса вареная, любительская;301;12,2;28;0,1
Колбаса вареная, любительская свиная;312;12,5;29,1;0
Колбаса вареная, молочная;252;11,7;22,8;0,2
Колбаса вареная, отдельная;240;11;21;1,7
Колбаса вареная, подмосковная (с куриным мясом);180;17,2;11,6;1,7
Колбаса вареная, свиная;277;10,8;25,8;0,5
Колбаса вареная, столовая;234;11,1;20,2;1,8
Колбаса вареная, телячья;308;13,2;28,3;0,3
Колбаса вареная, чайная;216;11,7;18,4;1,7
Колбаса варено-копченая московская;406;19,1;36,6;0,2
Колбаса варено-копченая, любительская;420;17,2;39;0,2
Колбаса полукопченая одесская;402;14,8;38,1;0,3
Колбаса полукопченая, армавирская;423;15,1;40,1;0,3
Колбаса полукопченая, краковская;466;16,2;44,6;0
Колбаса полукопченая, минская;287;17,4;23;2,7
Колбаса полукопченая, полтавская;417;16,4;39;0
Колбаса полукопченая, таллинская;373;17,1;33,8;0,2
Колбаса полукопченая, украинская;376;16,5;34,4;0
Колбаса сырокопченая дорожная;498;17;47,7;0,4
Колбаса сырокопченая зернистая;606;9,9;62,8;0,3
Колбаса сырокопченая олимпийская;436;21,1;39,1;0,4
Колбаса сырокопченая свиная;566;13;57;0,2
Колбаса сырокопченая, брауншвейгская;491;27,7;42,2;0,2
Колбаса сырокопченая, любительская;514;20,9;47,8;0
Колбаса сырокопченая, московская;473;24,8;41,5;0
Колбаса сырокопченая, столичная;487;24;43,4;0
Колбаса, Берлинская, свинина, говядина;230;15,27;17,2;2,59
Колбаса, Болонская, говядина, с пониж. содер. натрия;310;11,7;28,4;2
Колбаса, Брауншвейгская, свинина;327;14,5;28,5;3,1
Колбаса, из свинины и говядины, с сыром чеддер, копченая;296;12,89;25,84;2,13
Колбаса, итальянская, свинина, вареная;324;18,4;26,4;1,86
Колбаса, Итальянская, свинина, сырая;290;13,9;24,26;2,97
Колбаса, итальянская, сладкая, сосиски или сардельки;149;16,13;8,42;2,1
Колбаса, Кровяная;379;14,6;34,5;1,29
Колбаса, Ливерная, свинина;326;14,1;28,5;2,2
Колбаса, польская, говядина с курицей, острая;259;17,6;19,4;3,6
Колбаса, польская, из индейки и говядины, копченая;226;13,1;17,6;3,9
Колбаса, польская, из свинины;326;14,1;28,72;1,63
Колбаса, польская, из свинины и говядины, копченая;301;12,07;26,56;1,98
Колбаса, свинина, вареная;339;19,43;28,36;0
Колбаса, свинина, говядина, вареная;396;13,8;36,25;2,7
Колбаса, свинина, сырая;288;15,39;24,8;0,93
Колбасы, копченые сардельки, из свинины и говядины;320;12;28,73;2,42
Копченые сардельки, из свинины;309;11,98;28,23;0,94
Копченые сардельки, из свинины и говядины, …;268;13,97;21,43;3,96
Копченые сардельки, из свинины и говядины, с добавлением обезжиренного сухого молока;313;13,28;27,61;1,92
Корейка копчено-запеченная (свинина);475;10,2;48,2;0
Корейка сырокопченая (свинина);469;10,5;47,4;0
Куриные грудки, запеченные в духовке, обезжиренные, нарезка;79;16,79;0,39;2,17
курица, Паштет, из печени, консерв.;201;13,45;13,1;6,55
Ливанская болонья, говядина;172;19,03;10,44;0,44
Мясной хлеб ветчинный;256;12,9;21,8;1,9
Мясной хлеб говяжий;263;10,5;23,9;1,4
Мясной хлеб отдельный;246;12;21;2,1
Окорок тамбовский вареный;288;14,3;25,6;0
Охотничьи колбаски;463;25,3;40;0,3
Палочки из бекона и говядины;517;29,1;44,2;0,8
Пастрома, из индейки;139;16,3;6,21;3,24
Паштет, из ливерной колбасы;305;12,38;25,45;3,39
Паштет, с ароматом трюфелей;327;11,2;28,5;6,3
Пепперони (острое салями), свинина, говядина;504;19,25;46,28;1,18
Рулет из индейки, белое и темное мясо;149;18,14;6,99;2,12
Рулет из индейки, белое мясо;106;14,81;3,77;2,2
Рулет из куриных грудок, запеченный в духовке;134;14,59;7,65;1,79
Салями, воздушной варки, из говядины;261;12,6;22,2;1,9
Салями, воздушной варки, из говядины и свинины;336;21,85;25,9;2,4
Салями, воздушной варки, индюшатина;172;19,2;9,21;1,45
Салями, из свинины, и говядины, меньше натрия;396;15,01;30,5;15,18
Салями, итальянская, свинина;425;21,7;37;1,2
Салями, сухая или твердая, свинина;407;22,58;33,72;1,6
Салями, сухая или твердая, свинина, говядина;378;21,07;31,65;0,72
Сарделька (сосиска), говядина;315;11,69;28,1;2,97
Сарделька (сосиска), говядина и свинина;305;11,53;27,64;1,72
Сарделька (сосиска), говядина, свинина, индейка, обезжиринная, 1.6% жира;109;12,5;1,59;11,21
Сарделька (сосиска), говяжья, разогретая;322;11,69;29,36;2,66
Сарделька (сосиска), индейка;223;12,23;17,29;3,81
Сарделька (сосиска), куриная;223;15,51;16,19;2,74
Сарделька (сосиска), мясная;290;10,26;25,76;4,17
Сарделька (сосиска), мясная и домашняя птица, маложирная, 2.8% жира;121;15,5;2,8;8,3
Сарделька (сосиска), мясная, маложирная, 10% жира;140;12;9,5;1,6
Сарделька (сосиска), мясная, разогретая;278;9,77;24,31;4,9
Сарделька (сосиска), с низким содерж. Натрия;312;12;28,51;1,8
Сардельки 1 сорта;202;10,3;17,2;1,5
Сардельки говяжьи;215;11,4;18,2;1,3
Сардельки говяжьи отварные, по 1-394;215;11,4;18,2;1,2
Сардельки свиные;322;10,1;31,6;1,8
Свинина, Паштет, из ветчины;216;8,68;15,53;10,64
Свинина, Паштет, ливерный;304;15,2;25,6;2,1
Свинина, Паштет, с сыром и беконом;245;16,18;18,53;2,28
Сервелат;461;24;40,5;0,2
Сосиски говяжьи;226;10,4;20,1;0,8
Сосиски говяжьи отварные, по 1-394;225;10,4;20;0,8
Сосиски столичные;234;12,2;20,3;0,5
Сосиски, венские, консервированные, из курицы, говядины, и свинины;230;10,5;19,4;2,6
Сосиски, молочные;261;11;23,9;0,4
Сосиски, русские;250;11,3;22;1,7
Сосиски, свиные;324;11,8;30,8;0
Спред для сэндвичей, паштет, из свинины и говядины;235;7,66;17,34;11,74
Спред-салат, для сэндвичей, домашняя птица;200;11,64;13,52;7,41
Чоризо (чорисо), из свинины и говядины;296;13,63;25,1;3,78
