Продукт;Калорийность кКал;Белки г;Жиры г;Углеводы г
Аджика;59,3;1;3,7;5,8
Анис, семена;337;17,6;15,9;35,42
Базилик, свежий;23;3,15;0,64;1,05
Базилик, сушеный;233;22,98;4,07;10,05
Ванилин;351;0,1;0,1;87,6
Ванильный экстракт;288;0,06;0,06;12,65
Ванильный экстракт, искуственный, без алкоголя;56;0,03;0;14,4
Ванильный экстракт, искуственный, с алкоголем;237;0,05;0;2,41
Васаби;292;2,23;10,9;40,03
Гвоздика, молотая;274;5,97;13;31,63
Горчица желтая, приготовленная;60;3,74;3,34;1,83
Горчица желтая, семена;508;26,08;36,24;15,89
Горчица сарептская, соленая;28;1,1;0,1;2,53
Горчица столовая;143;9,9;5,3;12,7
Дрожжевой экстракт;185;23,88;0,9;13,92
Заменитель майонеза, молочные сливки;97;2,1;5,1;11,1
Заменитель майонеза, соевый;232;0,3;19,2;16
Заменитель майонеза, соевый без холестерина;482;0,1;47,7;15,8
Заправка для салата Зеленая богиня;427;1,9;43,33;7,26
Заправка для салата из шинкованной капусты;404;0,85;34,53;22,4
Заправка для салата из шинкованной капусты, обезжиренная;329;0;20;39,6
Заправка для салата итальянская, без соли, покупная;292;0,38;28,37;10,43
Заправка для салата итальянская, низкокалорийная;200;0,3;20;6,5
Заправка для салата итальянская, обезжиренная;102;0,39;6,68;9,99
Заправка для салата итальянская, обезжиренная;47;0,97;0,87;8,15
Заправка для салата итальянская, обезжиренная, без соли;76;0,47;6,38;4,57
Заправка для салата итальянская, покупная;240;0,41;21,12;12,12
Заправка для салата кунжутная;443;3,1;45,2;7,6
Заправка для салата с беконом и помидорами;326;1,8;35;1,8
Заправка для салата с уксусом и маслом домашнего приготовления;449;0;50,1;2,5
Заправка для салата Тысяча островов, обезжиренная;195;0,83;11,32;22,86
Заправка для салата Тысяча островов, покупная;379;1,09;35,06;13,84
Заправка для салата французская, обезжиренная;132;0,2;0,27;29,94
Заправка для салата французская, по домашнему рецепту;631;0,1;70,2;3,4
Заправка для салата Цезарь;542;2,17;57,85;2,8
Заправка для салата Цезарь, низкокалорийная;110;0,3;4,4;18,5
Заправка для салата Цезарь, обезжиренная;131;1,47;0,23;30,53
Заправка для салата, медово-горчичная, низкокалорийная;207;0,98;10;27,46
"Заправка для салата, обезжиренная, ""MIRACLE WHIP LIGHT"" компании KRAFT";84;0,2;2,7;13,6
"Заправка для салата, обезжиренный майонез ""Mayo"" компании KRAFT";64;0,2;0;13,8
Заправка для салата, пахта, легкая;202;1,25;12,42;20,23
Заправка для салата, перечная, покупная;564;1,2;61,4;3,5
Заправка для салата, Ранчо (фермерская), обезжиренная;119;0,25;1,92;26,41
Заправка для салата, Ранчо (фермерская), обезжиренная;196;1,25;12,42;20,23
Заправка для салата, Ранчо (фермерская), покупная;430;1,32;44,54;5,9
Заправка для салата, русская;355;0,69;26,18;31,2
Заправка для салата, русская, низкокалорийная;141;0,5;4;27,3
Заправка для салата, с голубым сыром или сыром рокфор, низкокалорийная;99;5,1;7,2;2,9
Заправка для салата, с голубым сыром или сыром рокфор, низкокалорийная;86;2,1;2,7;13,2
Заправка для салата, с голубым сыром или сыром рокфор, обезжиренная;115;1,52;1,01;23,8
Заправка для салата, с голубым сыром или сыром рокфор, покупная;484;1,37;51,1;4,37
Заправка для салата, с различными запахами в ассортименте, в спрее;165;0,16;10,75;16,3
Заправка для салата, Тысяча островов, обезжиренная;132;0,55;1,45;25,97
Заправка для салата, французская, без соли, покупная;459;0,77;44,81;15,58
Заправка для салата, французская, низкокалорийная;227;0,4;13;27
Заправка для салата, французская, обезжиренная;222;0,58;11,52;29,72
Заправка для салата, французская, обезжиренная, без соли;233;0,58;13,46;28,18
Заправка для салата, французская, покупная;419;0,87;39,07;16,39
Заправка для салата, французская, с хлопковым маслом по домашнему рецепту;631;0,1;70,2;3,4
Зира, семена;375;17,81;22,27;33,74
Ива, молодые листья, нарубленные, (Аляска);122;6,1;1,6;20,7
Иван-чай узколистный, листья, сырой;103;4,71;2,75;8,62
Имбирь, крень сушеный молотый;335;8,98;4,24;57,52
Кардамон;311;10,76;6,7;40,47
Карри, порошок;325;14,29;14,01;2,63
Кервель, сушеный;237;23,2;3,9;37,8
Кетчуп;101;1,04;0,1;27,1
Кетчуп с пониженым содержанием соли;101;1,04;0,1;27,1
Кориандр (кинза), листья, сушеные;279;21,93;4,78;41,7
Кориандр, семена;298;12,37;17,77;13,09
Корица, молотая;247;3,99;1,24;27,49
Куркума, молотая;312;9,68;3,25;44,44
Лавровый лист;313;7,61;8,36;48,67
Лемонграсс (цимбопогон), сырой;99;1,82;0,49;25,31
Лимонная кислота;250;0;0;0
Лук-шалот, сублимированный;348;12,3;0,5;65
Луковый порошок;341;10,41;1,04;63,92
Майонез «Провансаль», 67% жирности;629;2,8;67;3,7
"Майонез легкий  ""Mayo Light"" компании KRAFT";334;0,6;32,9;8,4
Майонез легкий, 22% жирности;238;0,37;22,22;9,23
Майонез на основе соевого масла, без соли;717;1,1;79,4;2,7
Майонез низкокалорийный;263;0,9;19;23,9
Майонез с тофу;322;5,95;31,79;1,96
Майонез столовый молочный, 67% жирности;627;2,4;67;3,9
Майонез, 33% жирности, без холестерина;333;0,9;33,3;6,7
Майонез, 40% жирности, с оливковым маслом;361;0,37;40;0
Майонез, 78% жирности, без холестерина;688;0;77,8;0,3
Майонез, лекгий, SMART BALANCE, Omega Plus light, 34% жира;333;1,53;34,18;9,19
Майонез, обезжиренный;84;0,2;2,7;13,6
Майонез, с соевым и сафлоровым маслом и солью;717;1,1;79,4;2,7
Майонез, с соевым маслом и солью;680;0,96;74,85;0,57
Майонез, с солью;250;0,65;21,6;14,78
Майонез,19% жирности, безсолевой, низкокалорийный или диетический;231;0,3;19,2;16
Майоран, сушеный;271;12,66;7,04;20,26
Маннит;376;0;0;98,9
Маринад овощной без томата по 2-106;134;1,2;9,1;10,5
Мускатный орех, молотый;525;5,84;36,31;28,49
Мускатный цвет, молотый;475;6,71;32,38;30,3
Мята колосистая, свежая;44;3,29;0,73;1,61
Мята колосистая, сушеная;285;19,93;6,03;22,24
Мята перечная, свежая;70;3,75;0,94;6,89
Орегано, сушеный;265;9;4,28;26,42
Пажитник, семена;323;23;6,41;33,75
Паприка, перец сладкий молотый;282;14,14;12,89;19,09
Паста для сэндвичей с порезанными маринованными огурцами на масляной основе;389;0,9;34;22
Перец белый;296;10,4;2,12;42,41
Перец душистый, молотый;263;6,09;8,69;50,52
Перец красный молотый острый;318;12,01;17,27;29,43
Перец черный,  молотый или горошек;251;10,39;3,26;38,65
Петрушка сушеная;292;26,63;5,48;23,94
Пищевая сода;0;0;0;0
Приправа для птицы;307;9,59;7,53;54,29
Приправа для тыквенного пирога;342;5,76;12,6;54,48
Рассол соли;0;0;0;0
Розмарин, свежий;131;3,31;5,86;6,6
Розмарин, сушеный;331;4,88;15,22;21,46
Сельдерей корень сушеный;191;7,8;2;36,6
Сельдерей, семя;392;18,07;25,27;29,55
Сливочная заправка, приготовленная из сметаны и/или пахты и масла, низкокалорийная;160;1,5;14;7
Сливочная заправка, приготовленная из сметаны и/или пахты и масла, низкокалорийная, без холестерина;140;1;8;16
Сливочная заправка, приготовленная из сметаны и/или пахты и масла, низкокалорийная, обезжиренная;107;1,4;2,7;20
Соевый соус;53;8,14;0,57;4,13
Соевый соус, из гидролизованного овощного белка;60;7;0,51;7,34
Соевый соус, из гидролизованного овощного белка, с пониженным содержанием нартия;90;8,19;0,31;14,14
