Продукт;Калорийность кКал;Белки г;Жиры г;Углеводы г
BURGER KING, ванильный коктейль;168;3,19;8,74;19,03
BURGER KING, гамбургер;261;14,85;10,55;25,76
"BURGER KING, двойной ""WHOPPER"", без сыра";252;13,94;15,66;12,34
"BURGER KING, двойной ""WHOPPER"", с сыром";266;14,47;17,06;11,92
BURGER KING, драники;302;2,8;19,3;27,07
BURGER KING, картошка фри;280;3,23;12,48;35,8
"BURGER KING, круассан ""CROISSAN'WICH"" с сосиской и сыром";376;13,73;25,45;22,3
"BURGER KING, круассан ""CROISSAN'WICH"" с сосиской, яйцом и сыром";308;12,09;21,78;14,1
"BURGER KING, круассан ""CROISSAN'WICH"" с яйцом и сыром";283;10,35;15,78;24,09
"BURGER KING, куриное филе ""CHICKEN TENDERS""";292;18,2;15,25;19,19
"BURGER KING, куриный сэндвич ""Original Chicken Sandwich""";286;12,14;14,69;23,82
"BURGER KING, сэндвич ""WHOPPER"", без сыра";233;10,74;12,84;16,75
"BURGER KING, сэндвич ""WHOPPER"", с сыром";250;11,19;15,33;15,7
BURGER KING, французские гренки;349;6;17,74;39,81
BURGER KING, чизбургер;286;14,57;14,81;22,71
"DOMINO'S, пицца ""EXTRAVAGANZZA FEAST"", на классическом корже, сформированном вручную, 14 дюймов";244;10,33;11,1;23,72
"DOMINO'S, пицца с паперони ""Pepperoni Pizza"", на замороженном корже, 14 дюймов";283;11,52;12,1;29,49
"DOMINO'S, пицца с паперони ""Pepperoni Pizza"", на классическом корже, сформированном вручную, 14 дюймов";273;11,25;11,18;29,76
"DOMINO'S, сырная пицца ""Cheese Pizza"", на замороженном корже, 14 дюймов";265;10,76;9,83;31,08
"DOMINO'S, сырная пицца ""Cheese Pizza"", на классическом корже, сформированном вручную, 14 дюймов";257;10,8;8,97;31,04
"DOMINO'S, сырная пицца ""Cheese Pizza"", на тонком корже с кусочками арахиса";298;12,33;15,1;25,68
KENTUCKY FRIED CHICKEN, бисквит, информация состоянием на январь 2007;358;7,5;17,05;41,55
"KENTUCKY FRIED CHICKEN, жареная в панировке курица ""EXTRA CRISPY"", бедра, мясо и шкурка, информация состоянием на январь 2007";309;17,17;22,14;10,3
"KENTUCKY FRIED CHICKEN, жареная в панировке курица ""EXTRA CRISPY"", крылышки, мясо и шкурка, информация состоянием на  январе 2007";337;20,8;23;11,66
"KENTUCKY FRIED CHICKEN, жареная в панировке курица ""EXTRA CRISPY"", ножки, мясо и шкурка, информация состоянием на январь 2007";274;20,62;17,73;7,96
"KENTUCKY FRIED CHICKEN, жареная в панировке курица ""EXTRA CRISPY"", шкурка, информация состоянием на январь 2007";464;10,96;36,61;21,04
"KENTUCKY FRIED CHICKEN, жареная в панировке курица ""ORIGINAL RECIPE"", бедра, мясо и шкурка, информация состоянием на январь 2007";269;18,9;17,73;8,46
"KENTUCKY FRIED CHICKEN, жареная в панировке курица ""ORIGINAL RECIPE"", грудка, мясо и шкурка, информация состоянием на январь 2007";231;21,94;13,11;6,28
"KENTUCKY FRIED CHICKEN, жареная в панировке курица ""ORIGINAL RECIPE"", крылышки, мясо и шкурка, информация состоянием на  январь 2007";297;21,7;18,9;9,93
"KENTUCKY FRIED CHICKEN, жареная в панировке курица ""ORIGINAL RECIPE"", ножки, мясо и шкурка, информация состоянием на  январь 2007";239;22,3;14,22;5,39
"KENTUCKY FRIED CHICKEN, жареная в панировке курица ""ORIGINAL RECIPE"", шкурка, информация состоянием на  январь 2007";384;14,17;28,01;18,79
"KENTUCKY FRIED CHICKEN, жареная курица ""EXTRA CRISPY"", бедра, только мясо,  информация состоянием на  январь 2007";179;22,41;9,96;0
"KENTUCKY FRIED CHICKEN, жареная курица ""EXTRA CRISPY"", грудка, только мясо, информация состоянием на январь 2007";153;27,25;4,82;0,25
"KENTUCKY FRIED CHICKEN, жареная курица ""EXTRA CRISPY"", крылышки, только мясо, информация состоянием на  январь 2007";236;28,67;12,13;2,97
"KENTUCKY FRIED CHICKEN, жареная курица ""EXTRA CRISPY"", ножки, только мясо, информация состоянием на  январь 2007";170;25,9;7,43;0
"KENTUCKY FRIED CHICKEN, жареная курица ""ORIGINAL RECIPE"" ножки, только мясо, информация состоянием на  январь 2007";175;26,3;7,66;0,11
"KENTUCKY FRIED CHICKEN, жареная курица ""ORIGINAL RECIPE"", бедра, только мясо, информация состоянием на  январь 2007";175;22,78;9,31;0,01
"KENTUCKY FRIED CHICKEN, жареная курица ""ORIGINAL RECIPE"", грудка, только мясо, информация состоянием на  январь 2007";149;26,89;4,56;0
"KENTUCKY FRIED CHICKEN, жареная курица ""ORIGINAL RECIPE"", крылышки, только мясо, информация состоянием на  январь 2007";216;28,65;10,49;1,76
"KENTUCKY FRIED CHICKEN, жаренаяв панировке курица ""EXTRA CRISPY"", грудка, мясо и шкурка, информация состоянием на янваье 2007";268;21,24;16,55;8,47
KENTUCKY FRIED CHICKEN, куринный попкорн, информация состоянием на январь 2007;351;17,67;21,74;20,18
KENTUCKY FRIED CHICKEN, салат из капусты;144;0,91;8,64;13,65
KENTUCKY FRIED CHICKEN, хрустящие куринные полосочки, информация состоянием на  январь 2007;274;20,25;15,42;12,26
LITTLE CAESARS, пицца с мясом и овощами, на оригинальном корже, 14 дюймов;243;12,12;11,35;21
"LITTLE CAESARS, пицца с паперони ""Original Round Pepperoni Pizza"", на стандартном корже, 14 дюймов";273;13,59;10,5;29,31
"LITTLE CAESARS, пицца с паперони ""Pepperoni Pizza"", на большом замороженном корже, 14 дюймов";265;12,93;10,81;27,53
"LITTLE CAESARS, сырная пицца ""Cheese Pizza"", на большом замороженном корже, 14 дюймов";263;12,63;10,22;28,8
"LITTLE CAESARS, сырная пицца ""Cheese Pizza"", на тонком корже, 14 дюймов";309;16,23;16,99;21,25
"LITTLE CAESARS, сырная пицца ""Original Round Cheese Pizza"", на стандартном корже, 14 дюймов";265;13,39;9,54;29,8
"McDONALD'S, ""BIG MAC""";257;11,82;14,96;18,48
"McDONALD'S, ""BIG MAC"" (без соуса Big Mac)";234;12,79;11,57;19,31
"McDONALD'S, ""Chicken McNUGGETS""";302;15,79;19,81;15,09
McDONALD'S, бисквит с беконом, яйцом и сыром;304;13,45;18,77;21,36
McDONALD'S, бисквит с котлетой;376;9,62;25,4;26
McDONALD'S, бисквит с котлетой и яйцом;311;11,27;22,26;18,48
McDONALD'S, буррито с котлетой;262;11,54;15,15;21,39
McDONALD'S, гамбургер;264;12,92;10,09;28,98
"McDONALD'S, готовые завтраки ""BIG BREAKFAST""";285;10,16;19,37;16,4
"McDONALD'S, двойной сэндвич ""QUARTER POUNDER"" с сыром";262;16,96;16,22;13,43
McDONALD'S, двойной чизбургер;282;15,5;16,09;17,99
McDONALD'S, драники;262;2,26;16,46;26,3
"McDONALD'S, завтрак ""Deluxe"", с сиропом и маргарином";285;7,56;15,23;28,48
McDONALD'S, йогуртово-фруктовое Парфе;105;2,73;1,3;19,72
McDONALD'S, йогуртово-фруктовое Парфе (без гранолы);90;2,47;1,13;16,77
McDONALD'S, картошка фри;323;3,41;15,47;38,68
McDONALD'S, котлета McGRIDDLES;312;8,41;17,76;30,25
McDONALD'S, котлета McMuffin;333;12,66;21,06;23,12
McDONALD'S, котлета McMuffin с яйцом;274;12,59;17,83;16,38
McDONALD'S, котлета McMuffin с яйцом и сыром;283;10,77;17,73;21,44
"McDONALD'S, мороженное ""McFLURRY"" с конфетами ""M and M'S""";177;4,02;6,46;26,62
"McDONALD'S, мороженное ""McFLURRY"" с печеньем ""OREO""";165;3,97;5,66;25,45
McDONALD'S, обезжиренное ванильное мороженое, рожок;162;4,24;4,86;26,26
McDONALD'S, оладьи;228;6;5,84;36,87
McDONALD'S, оладьи (с двумя шариками масла и сиропом);272;4,05;8,06;45,18
McDONALD'S, оладьи с сосисками;294;7,81;12,5;35,95
McDONALD'S, пломбир клубничный;158;3,19;3,95;28,09
McDONALD'S, пломбир с горячей карамелью;188;3,58;4,89;33,36
McDONALD'S, пломбир с горячей помадкой;186;4,14;5,91;29,65
"McDONALD'S, рыбный сэндвич ""FILET-O-FISH""";282;11,26;14,64;24,99
"McDONALD'S, рыбный сэндвич ""FILET-O-FISH"" (без соуса тартар)";243;12,47;7,62;30,08
"McDONALD'S, салат с беконом и хрустящей курятиной ""Bacon Ranch Salad""";122;8,82;6,3;5,08
"McDONALD'S, сэндвич ""McCHICKEN"" (без майонеза)";240;11,08;8,46;29,55
"McDONALD'S, сэндвич ""McMUFFIN"" с яйцом";228;13,64;9,66;20,57
"McDONALD'S, сэндвич ""QUARTER POUNDER""";244;14,1;11,55;20,57
"McDONALD'S, сэндвич ""QUARTER POUNDER"" (с сыром)";258;14,59;14,22;18,55
"McDONALD'S, сэндвич с беконом, яйцом и сыром ""McGRIDDLES""";272;12,03;13,19;25,39
McDONALD'S, чизбургер;263;12,97;11,79;26,71
"PAPA JOHN'S, пицца ""Works Pizza"", на фирменном корже, 14 дюймов";240;10,27;10,21;24,19
"PAPA JOHN'S, пицца с паперони ""Pepperoni Pizza"", на оригинальном корже, 14 дюймов";275;11,97;11,86;28,84
"PAPA JOHN'S, сырная пицца ""Cheese Pizza"", на оригинальмом корже, 14 дюймов";260;11,53;9,25;30,84
"PAPA JOHN'S, сырная пицца ""Cheese Pizza"", на тонком корже, 14 дюймов";295;12,29;15,66;23,96
"PIZZA HUT, пицца ""Super Supreme Pizza"", на стандартном корже, 12 дюймов";243;10,9;10,72;23,62
"PIZZA HUT, пицца ""Super Supreme Pizza"", на стандартном корже, 14 дюймов";248;11,34;10,95;23,71
"PIZZA HUT, пицца с паперони ""Pepperoni Pizza"", на стандартном корже, 12 дюймов";280;12,86;11,38;29,85
"PIZZA HUT, пицца с паперони ""Pepperoni Pizza"", на стандартном корже, 14 дюймов";291;12,23;12,63;29,51
"PIZZA HUT, пицца с паперони ""Pepperoni Pizza"", на толстом корже, 12 дюймов";298;11,97;14,21;28,69
"PIZZA HUT, пицца с паперони ""Pepperoni Pizza"", на толстом корже, 14 дюймов";291;11,47;13,07;29,79
"PIZZA HUT, сырная пицца ""Cheese Pizza"", на стандартном корже, 12 дюймов";271;11,93;10,89;29,42
"PIZZA HUT, сырная пицца ""Cheese Pizza"", на стандартном корже, 14 дюймов";275;11,98;10,42;31,02
"PIZZA HUT, сырная пицца ""Cheese Pizza"", на толстом корже, 12 дюймов";280;11,73;12,56;28,23
"PIZZA HUT, сырная пицца ""Cheese Pizza"", на толстом корже, 14 дюймов";276;10,85;11,25;30,75
"PIZZA HUT, сырная пицца ""Cheese Pizza"", на тонком хрустящем корже, 12 дюймов";303;15,29;14,1;27,04
"PIZZA HUT, сырная пицца ""Cheese Pizza"", на тонком хрустящем корже, 14 дюймов";306;13,37;12,8;31,82
POPEYES, бисквит, информация состоянием на ноябрь 2007;401;6;23,71;37,15
POPEYES, жареная в панировке курица, бедра, мясо и шкурка, информация состоянием на январь 2007;310;19,14;20,99;10,7
POPEYES, жареная в панировке курица, грудка, мясо и шкурка, информация состоянием на январь 2007;274;21,67;16,47;9,43
