Продукт;Калорийность кКал;Белки г;Жиры г;Углеводы г
Абрикосовое пюре;60;1,2;0;13,9
Абрикосовый джем;276;0,5;0;71,6
Абрикосовый компот. Консервы;89;0,2;0,08;21,7
Абрикосы;44;0,9;0,1;9
Абрикосы;48;1,4;0,39;9,12
Абрикосы без кожуры, консервированные в водной заливке;22;0,69;0,03;4,38
Абрикосы без кожуры, консервированные в насыщенном сахарном сиропе;83;0,51;0,09;19,85
Абрикосы без кожуры, консервированные в экстра-насыщенном сахарном сиропе;96;0,55;0,04;23,25
Абрикосы замороженные подслащенные;98;0,7;0,1;22,9
Абрикосы сушеные;241;3,39;0,51;55,34
Абрикосы сушеные (дегидрированные), сульфитированные, неприготовленные;320;4,9;0,62;82,89
Абрикосы сушеные (дегидрированные), сульфитированные, тушеные;126;1,93;0,24;32,62
Абрикосы сушеные (курага), тушеные без сахара;85;1,2;0,18;19,55
Абрикосы сушеные (курага), тушеные с сахаром;113;1,17;0,15;25,16
Абрикосы сушеные с косточкой (урюк);242;5;0,4;53
Абрикосы, консервированные (половинки или кусочки);85;0,5;0;21
Абрикосы, консервированные в водной заливке;27;0,71;0,16;4,79
Абрикосы, консервированные в легком сахарном сиропе;63;0,53;0,05;14,89
Абрикосы, консервированные в насыщенном сахарном сиропе;83;0,64;0,11;18,61
Абрикосы, консервированные в насыщенном сахарном сиропе;83;0,53;0,08;19,87
Абрикосы, консервированные в экстра-легком сахарном сиропе;49;0,6;0,1;10,9
Айва;48;0,6;0,5;9,6
Айва;57;0,4;0,1;13,4
Айвовый компот. Консервы;82;0,4;0,3;19,7
Актинидия  (дальневосточное киви);56;0;0;13
Ананас;52;0,3;0,1;11,8
Ананас замороженный, подслащенный;86;0,4;0,1;21,1
Ананас, все сорта;50;0,54;0,12;11,72
Ананас, консервированный в водной заливке;32;0,43;0,09;7,5
Ананас, консервированный в легком сахарном сиропе;52;0,36;0,12;12,65
Ананас, консервированный в насыщенном сахарном сиропе;78;0,35;0,11;19,4
Ананас, консервированный в собственном соку;60;0,51;0,11;14,26
Ананас, консервированный в экстра-насыщенном сахарном сиропе;83;0,34;0,11;20,7
Ананас, несладкие сорта;45;0,55;0,13;11,82
Ананас, сладкие сорта;51;0,53;0,11;12,1
