Продукт;Калорийность кКал;Белки г;Жиры г;Углеводы г
CONTINENTAL MILLS, KRUSTEAZ Миндальная смесь с маком, с исскуственными ароматизаторами, сухая;418;5,6;10,3;73,9
Английские маффины, из цельной пшеницы;203;8,8;2,1;33,7
Английские маффины, обычные, необогащенные, без пропионата кальция (E282 - вызывает рак), (включая, на хлебной закваске);235;7,7;1,8;43,3
Английские маффины, обычные, необогащенные, с пропионатом кальция (E282 - вызывает рак), (включая, на хлебной закваске);235;7,7;1,8;43,3
Английские маффины, обычные, обогащенные, без пропионата кальция (E282 - вызывает рак), (включая, на хлебной закваске);235;7,7;1,8;43,3
Английские маффины, обычные, приготовленные в тостере, обогащенные, с пропионатом кальция (E282 - вызывает рак), (включая, на хлебной закваске);270;10,32;2,02;49,85
Английские маффины, пшеничные;223;8,7;2;40,2
Баранки простые;311;10,4;1,3;64,2
Баранки сдобные;348;8,3;8;60,4
Батон нарезной из муки 1 сорта (хлеб);259;7,7;3;50,1
Батон нарезной из муки в/с (хлеб);262;7,5;2,9;51,4
Батон простой из муки 1 сорта (хлеб);238;8;1;49,1
Белковый хлеб (с клейковиной);245;12,1;2,2;40,8
Белый хлеб низкокалорийный;207;8,7;2,5;34,6
Бисквитный пирог, готовый;258;5,9;0,8;56,3
Бисквитный пирог, приготовленный из сухой смеси;257;6,1;0,3;58,5
Бисквиты из смеси злаков, замороженное тесто;263;6,1;5,6;47,4
Бисквиты, простые или с обезжиренными сливками (пахтой),  приготовленный из сухой смеси;335;7,3;12,1;46,6
Бисквиты, простые или с обезжиренными сливками (пахтой), готовые;338;6,2;11,03;52,57
Бисквиты, простые или с обезжиренными сливками (пахтой), замороженное тесто, жирные;307;6,66;10,58;45,62
Бисквиты, простые или с обезжиренными сливками (пахтой), замороженное тесто, жирные, испеченные;324;6,79;11,22;46,25
Бисквиты, простые или с обезжиренными сливками (пахтой), замороженное тесто, маложирные;270;6,7;7,83;41,7
Бисквиты, простые или с обезжиренными сливками (пахтой), замороженное тесто, маложирные, испеченный;319;7,8;9,1;49,3
Бисквиты, простые или с обезжиренными сливками (пахтой), приготовленные по рецепту;353;7;16,3;43,1
Бисквиты, простые или с обезжиренными сливками (пахтой), сухая смесь;428;8;15,4;61,3
Блины, обычные, замороженные, готовые к выпечке (включая блины из пахты);233;5,23;6,83;36,75
Блины, обычные, замороженные, готовые к выпечке, разогретые в микроволновке (включая блины из пахты);239;5,88;4,73;40,83
Блины, по 2-174;189;5,1;3,1;32,6
Бостонский пирог, готовый;252;2,4;8,5;41,5
Бублики простые;276;9,1;1,1;57,1
Бублики, обычные, необогащенные, не содержат пропионат кальция (с луком, маком, кунжутом);275;10,5;1,6;51,1
Бублики, обычные, необогащенные, содержат пропионат кальция (с луком, маком, кунжутом);275;10,5;1,6;51,1
Бублики, обычные,обогащенные, не содержат пропионат кальция (с луком, маком, кунжутом);275;10,5;1,6;51,1
Бублики, украинские с маком;316;8,1;6,2;56
Булка с молочной сывороткой;260;7,8;3;49,2
Булка черкизовская;286;7,9;5,5;50,1
Булка ярославская;294;7,6;5,3;53,7
Булки городские;265;7,7;2,4;52,9
Булочка калорийная;337;7,6;10;53,8
Булочки молочные;257;8,8;2,2;50,3
Булочки сдобные;339;7,9;9,4;55,5
Булочки столичная с молочной сывороткой;269;8,4;2,2;53,7
Булочки столичные;269;8,4;2,2;53,7
Вареники, по 2-174;172;12;6,4;16,2
Ватрушка, по 2-194;256;11,9;6,4;37,5
Ватрушки картофельные по 1-246;165;6,2;7,6;17,7
Вафли, на пахте, замороженные, готовые к выпечке;273;6,58;9,22;38,85
Вафли, на пахте, замороженные, готовые к выпечке, поджаренные в тостере;309;7,42;9,49;45,79
Вафли, на пахте, замороженные, готовые к выпечке, разогретые в микроволновке;289;6,92;9,4;41,76
Вафли, обычные, замороженные, готовые к выпечке;285;6,47;9,7;40,78
Вафли, обычные, замороженные, готовые к употреблению, разогретые в микроволновке;298;6,71;9,91;43,01
Вафли, обычные, приготовленные по рецепту;291;7,9;14,1;32,9
Вафли, с шоколадной крошкой, замороженные, готовые к выпечке;297;5,8;10,1;44,18
Галушки, по 1-126;106;3,9;1;20,3
Гренки, обычные;407;11,9;6,6;68,4
Гренки, приправленные специями;465;10,8;18,3;58,5
Жареный хлеб, приготовленный на сале (Апачи);309;8,38;10,14;44,31
Ирландский содовый хлеб, приготовленный по рецепту;290;6,6;5;53,4
Исскуственная сухая смесь для черничных кексов;407;4,7;8,7;77,45
Итальянский хлеб;259;9,49;2,73;46,01
Клейковина сырая из муки 1 сорта;135;26,2;0,3;7,4
Кофейный пирог с сыром;339;7;15,2;43,3
Кофейный пирог, с корицей и крошкой, промышленного изготовления, необогащенный;418;6,8;23,3;44,7
Кофейный пирог, с корицей и крошкой, промышленного изготовления, обогащенный;418;6,8;23,3;44,7
Кофейный пирог, с корицей и крошкой, сухая смесь, подготовленный;318;5,5;9,6;51,6
Кофейный пирог, с кремом и шоколадной глазурью;331;5;10,8;51,8
Кофейный пирог, фруктовый;311;5,2;10,2;49
Крекеры с отрубями;416;9,2;14,1;63,2
Крекеры солёные из цельной пшеницы (включая другие злаки);398;7,14;10,71;61,55
Крекеры, из цельной пшеницы;427;10,58;14,13;59,25
Крекеры, из цельной пшеницы, с низким содерж. соли;443;8,8;17,2;58,1
Крекеры, из цельной пшеницы, с пониж. содерж. жира, 7.6%;416;11,34;7,59;64,62
Крекеры, молочные;446;7,6;13,77;68,33
Крекеры, пшеничные, обычные;455;7,3;16,4;63,83
Крекеры, пшеничные, с низким содерж. соли;473;8,6;20,6;60,4
Крекеры, пшеничные, с пониж. содерж. жира, 13.37%;444;9,34;13,37;68,12
Крекеры, сырные, обычные;489;10,93;22,74;57,12
Крекеры, сырные, с низким содерж. соды;503;10,1;25,3;55,8
Крекеры, сырные, типа сэндвича, с начинкой из арахисового масла;496;12,41;25,12;53,34
Крекеры, сырные, типа сэндвича, с сырной начинкой;490;8,92;24,41;56,86
Круассаны, сливочные;406;8,2;21;43,2
Круассаны, сырные;414;9,2;20,9;44,4
Круассаны, яблочные;254;7,4;8,7;34,6
Кулебяка с рыбой и рисом, по 2-196;206;10,5;4,1;31,8
Лаваш армянский тонкий (пшеничная мука 1 сорта);277;9,1;1,1;56,8
Лаваш белый, обогащенный;275;9,1;1,2;53,5
Лаваш, из цельного зерна;262;9,8;1,71;49,79
Маффины кукурузные, промышленного изготовления;305;5,9;8,4;47,6
Маффины с черникой, промышленного изготовления, (включая мини-маффины);375;4,49;16,07;51,9
Маффины с черникой, промышленного изготовления, маложирные, 4.22% жира;255;4,23;4,22;45,85
Маффины, кукурузные, для приготовления в тостере;346;5,3;11,3;56,3
Маффины, кукурузные, сухая смесь, приготовленные;321;7,4;10,2;46,7
Маффины, с овсяными отрубями;270;7;7,4;43,7
Маффины, с пшеничными отрубями, с изюмом, поджаренные в тостере;313;5,5;9,4;47,3
Маффины, с пшеничными отрубями, сухая смесь;396;7,1;12;73
Маффины, с черникой, для приготовления в тостере;313;4,6;9,5;51,5
Маффины, с черникой, для приготовления в тостере, поджаренные в тостере;333;4,9;10,1;54,8
Маффины, с черникой, сухая смесь;293;3,48;3,25;59,6
Морковный пирог, сухая смесь, пудинг;415;5,1;9,8;79,2
Овсяный хлеб низкокалорийный;210;7,6;3,5;43,3
Овсяный хлеб с отрубями;236;10,4;4,4;35,3
Овсяный хлеб с отрубями, низкокалорийный;201;8;3,2;29,3
Овсяный хлеб с отрубями, низкокалорийный, тосты;239;9,5;3,8;34,9
Овсяный хлеб с отрубями, тосты;259;11,4;4,8;38,8
Овсяный хлеб, тосты;292;9,2;4,8;48,4
Оладьи из тыквы по 1-238;158;4;7;19,8
Оладьи, по 2-176;213;6,5;6,6;31,6
Пампушки, с чесноком, по 1-124;299;8,6;3,3;58,8
Панировочные сухари;395;13,35;5,3;67,48
Панировочные сухари с приправами;383;14,13;5,48;63,59
Паратха, индийская лепёшка из цельнозерновой пшеничной муки;326;6,36;13,2;35,75
Печенья, дамские пальчики, без лимонного сока и кожуры;363;10,6;9,1;58,7
Печенья, дамские пальчики, с лимонным соком и кожурой;365;10,6;9,1;58,7
Печенья, крекеры, в шоколадной глазури;500;4;25,8;64,58
Печенья, крекеры, обычные или медовые, (включаяя с корицей);430;6,69;10,6;74,26
Печенья, с шоколадной крошкой, сухая смесь;497;4,6;25,2;66,1
Печенья, шоколадные вафли;433;6,6;14,2;69,3
Пирог белый, приготовленный по рецепту с кокосовой глазурью;356;4,4;10,3;62,2
Пирог вишневый, промышленного изготовления;260;2;11;39
Пирог на завтрак, с пониженным содержанием жира;372;3,99;5,99;75,3
Пирог с заварным кремом из кокоса, промышленного изготовления;260;5,9;13,2;28,4
Пирог с кокосовым кремом, промышленного изготовления;298;2,1;16,6;36
Пирог с черникой, промышленного изготовления;232;1,8;10;33,9
Пирог с шоколадным кремом, промышленного изготовления;304;2,6;19,4;33,6
Пирог с яичным заварным кремом, промышленного изготовления;210;5,5;11,6;19,2
Пирог тыквенный, промышленного изготовления;243;3,9;9,75;33,03
Пирог яблочный, промышленного изготовления, из обогащенной муки;237;1,9;11;32,4
Пирог, белый, приготовленный по рецепту, без глазури;357;5,4;12,4;56,4
Пирог, белый, сухая смесь, диетический (с запахом лимона);397;3;8,4;79,6
Пирог, белый, сухая смесь, пудинг, необогащенный;423;3,9;9,5;80,3
Пирог, белый, сухая смесь, пудинг, обогащенный;423;3,9;9,5;80,2
Пирог, вишневая сливочная помадка с шоколадной глазурью;264;2,4;12,5;37,5
Пирог, вишневый, приготовленный по рецепту;270;2,8;12,2;38,5
Пирог, воздушный, приготовленный по рецепту;297;7,3;4,3;57,7
Пирог, воздушный, промышленного изготовления;290;5,4;2,7;60,5
Пирог, желтый, приготовленный по рецепту, без глазури;361;5,3;14,6;52,3
Пирог, желтый, промышленного изготовления, с ванильной глазурью;391;2,99;17,91;55,9
Пирог, желтый, промышленного изготовления, с шоколадной глазурью;379;3,16;17,75;53,86
Пирог, желтый, сухая смесь, легкий;404;4,7;5,5;82,8
Пирог, желтый, сухая смесь, пудинг;423;4;9,8;79,3
Пирог, желтый, сухая смесь, стандартный, необогащенный;432;4,4;11,6;77
Пирог, желтый, сухая смесь, стандартный, обогащенный;374;3,7;3,5;80,72
Пирог, из песочного теста, бисквит, приготовленный по рецепту;346;6,1;14,2;48,5
Пирог, имбирный, приготовленный по рецепту;356;3,9;16,4;49,2
Пирог, имбирный, сухая смесь;437;4,4;13,8;72,9
Пирог, мини, с кремом и шоколадной глазурью;399;3,63;15,93;57,11
Пирог, мини, с кремом, воздушный;374;3,47;11,54;63,03
Пирог, перевернутый ананас, приготовленный по рецепту;319;3,5;12,1;49,7
Пирог, персиковый;224;1,9;10;32,1
Пирог, с ванильным кремом, приготовленный по рецепту;278;4,8;14,4;32
Пирог, с черникой, приготовленный по рецепту;245;2,7;11,9;33,5
Пирог, тыквенный, приготовленный по рецепту;204;4,5;9,3;26,4
Пирог, фруктовый, промышленного изготовления;324;2,9;9,1;57,9
Пирог, фунтовый (мука, масло и сахар в равных пропорциях), промышленного изготовления, без жира;283;5,4;1,2;59,9
Пирог, фунтовый (мука, масло и сахар в равных пропорциях), промышленного изготовления, исключая все сливочные, необогащенный;389;5,2;17,9;51,5
Пирог, фунтовый (мука, масло и сахар в равных пропорциях), промышленого изготовления, с маслом;353;5;13,96;53,04
Пирог, фунтовый, (мука, масло и сахар в равных пропорциях), промышленного изготовления, без масла, обогащенный;389;5,2;17,9;51,5
Пирог, яблочный, приготовленный по рецепту;265;2,4;12,5;37,1
Пирожки жареные с капустой, по 2-188;230;5;10,5;28,8
Пирожки картофельные с морковью по 1-246;124;2,4;4,2;18,9
Пирожки печеные простые, по 2-188;250;12,7;7,3;33,2
Пластинки из цельно-молотой пшеницы;342;12,7;2,4;67,3
Пончики, на дрожжах, глазированные, необогащенные (включая медовые булочки);403;6,4;22,8;43,1
Пончики, на дрожжах, глазированные, обогащенные (включая медовые булочки);421;6,14;22,7;45,83
Пончики, на дрожжах, с желейной начинкой;340;5,9;18,7;38,1
Пончики, на дрожжах, с кремовой начинкой;361;6,4;24,5;29,2
Пшеничный хлеб;274;10,67;4,53;43,54
Пшеничный хлеб из пророщенных зерен;188;13,16;0;28,58
Пшеничный хлеб из пророщенных зерен, тосты;205;14,3;0;31,12
Пшеничный хлеб низкокалорийный;217;13,32;2,92;31,37
Пшеничный хлеб с отрубями;248;8,8;3,4;43,8
Пшеничный хлеб, тосты;313;12,96;4,27;51,07
Разрыхлитель пищевой, винный камень (смесь тартрата калия E336i с битартратом калия E336ii);258;0;0;61,3
Разрыхлитель пищевой, дрожжи, пекарные, активные, сухие;325;40,44;7,61;14,32
Разрыхлитель пищевой, дрожжи, пекарные, прессованные;105;8,4;1,9;10
Разрыхлитель пищевой, пекарный порошок (заменяющий дрожжи), двойного действия, straight phosphate;51;0,1;0;23,9
Разрыхлитель пищевой, пекарный порошок (заменяющий дрожжи), двойного действия, натрий, сульфат алюминия (Е-520);53;0;0;27,5
Разрыхлитель пищевой, пекарный порошок (заменяющий дрожжи), с низким содерж. натрия;97;0,1;0,4;44,7
Ржаной хлеб;259;8,5;3,3;42,5
Ржаной хлеб, низкокалорийный;203;9,1;2,9;28,5
Ржаной хлеб, тосты;284;9,4;3,6;46,7
Рисовый хлеб с отрубями;243;8,9;4,6;38,6
Рисовый хлеб с отрубями, тосты;264;9,7;5;42
Рогалики с изюмом и корицей;274;9,8;1,7;52,9
Рогалики с изюмом и корицей жареные;294;10,6;1,8;56,8
Рогалики с овсяными отрубями;255;10,7;1,2;49,7
Рогалики, простые, жареные, обогащенные, с пропионатом кальция (включает лук, мак, сезам),;287;11,14;1,43;55,59
Рогалики, простые, обогащенные пропионатом кальция (включает лук, мак, сезам);257;10,02;1,62;50,5
Рожки к чаю;312;8,4;5,6;56,8
Рожки обсыпные сдобные;314;7,8;5,6;57,2
Сдоба выборгская с маком;304;7,5;5,2;55,5
Сдоба выборгская с повидлом;293;6,5;4,2;57,1
Сдоба обыкновенная;301;8,1;5,3;54,9
Сладкая выпечка с фруктами и орехами, которую едят на Рождество, на дрожжах;367;9,42;11,58;54,08
Сладкие рулетики с корицей и изюмом, промышленного изготовления;372;6,2;16,4;48,5
Слойка;558;7,4;38,5;44,2
Слойка, замороженная, готовая к выпеканию;551;7,3;38,1;43,6
Сода пищевая, разрыхлитель для выпечки;0;0;0;0
