Продукт;Калорийность кКал;Белки г;Жиры г;Углеводы г
Абрикосовый джем;209,5561;0,4589;0,0551;51,4907
Варенье грушевое;214,6;0,1;0,1;56,8
Варенье из абрикосов по-венгерски;241,5;0,3;0,04;64
Варенье из айвы;221,8;0,1;0,1;58,7
Варенье из арбузных корок;219,9;0,2;0,03;58,4
Варенье из барбариса;203,7;0;0;54,3
Варенье из брусники;160,8;0,4;0,3;41,9
Варенье из брусники;244,3;0,2;0,1;64,6
Варенье из брусники и яблок;247,1;0,2;0,1;65,4
Варенье из брусники по-белорусски;191,1;0,2;0,1;50,4
Варенье из брусники с корицей и гвоздикой;243,7;0,2;0,1;64,4
Варенье из вишни без косточек;219,4;0,3;0,07;58
Варенье из водяники;217,8;0,06;0,05;57,9
Варенье из голубики и малины;229,1;0,2;0,1;60,5
Варенье из жимолости;218,2;0;0;58,2
Варенье из кишмиша;295,9;0;0;78,9
Варенье из спелых абрикосов;160,9;0,7;1,1;39,6
Варенье из цедры;174,3;0,4;0,04;45,9
Джем грушевый;211,7;0,2;0,2;55,9
Джем из айвы;222,8;0,2;0,1;58,9
Джем из боярышника и яблок;89,4;0,1;0,1;23,5
Джем из черной бузины;189;0;0;50,4
Засахаренный кишмиш протертый;257,1;0;0;68,6
Облепиховое варенье;164,6;0,7;3,7;34,4
Повидло из абрикосов;241,5;0,3;0,04;64
Повидло из айвы;216;0,3;0,2;56,8
Повидло из боярышника;167,8;0;0;44,7
Пюре из черной бузины;170,1;0;0;45,4
