Продукт;Калорийность кКал;Белки г;Жиры г;Углеводы г
Азу;177,62;9,3114;12,2569;7,2551
Антрекот;317,2565;21,536;25,0652;1,3686
Анчоусы и кильки с картофелем;156,5;12,3;7,9;9,7
Баклажаны панированные;236;2,9;23,1;4,4
Баклажаны по-украински;154,1;1,7;13,6;6,8
Баклажаны под майонезом;114,2;1,4;10,4;4,1
Баклажаны тушеные с помидорами;189,3;2,1;17,7;5,7
Баранина рубленая, запеченная в омлете (чувашское национальное блюдо);246,3;14;20,1;2,5
Баранина с рисом и изюмом (еврейское национальное блюдо);265,4;12,4;18;14,4
Беляш;139,3;8,8;6,2;12,8
Беляши (казахское национальное блюдо);260,6;14,6;14,7;18,7
Береки (мучное изделие с мясом - калмыцкое национальное блюдо);289;15,4;18,9;15,3
Бефстроганов;355,4;21,9;27,4;5,7
Биточки или котлеты манные, рисовые;162,4;4;7,8;20,4
Биточки или котлеты пшенные, пшеничный, перловые, ячневые;151,9;3,9;7,4;18,6
Биточки паровые;281,4;20;19,5;7
Биточки по-селянски (украинское национальное блюдо);208,6;9,8;13,8;12
Биточки рубленые из птицы, дичи или кролика паровые под белым соусом с рисом;307,1;11,2;13,2;38,3
"Биточки рыбные, жаренные ""фри""";232,1;12,3;15;12,7
Биточки, котлеты из кальмаров и рыбы;363;14,4;12,5;51,4
Бифштекс;384,3;27,8;29,6;1,7
Бифштекс рубленый;497,3;27,1;43,2;0
Бифштекс с луком;337,7;25;25;3,4
Бифштекс с яйцом;326,4;26,1;24;1,6
Бифштексы рубленые;166;11,1;12,9;1,4
Бобовые с копченой грудинкой или корейкой;381,4;23;14,9;41,4
Бозбаш;87,9;4,6;3,7;9,6
Брюква запеченная;51,1;2,1;1,6;7,5
Брюква тушеная;113,5;1,2;8,5;8,6
Вареники ленивые (полуфабрикат);248,2;13,7;14,9;15,9
Вареники ленивые отварные;355,4;17,2;23,5;20
Вареники с брусникой и яблоками по-уральски;106,1;3,5;2,1;19,6
Вареники с капустой;79,1;4,2;2,9;9,7
Вареники с творожным, фруктовым или овощным фаршем;281,3;10,4;10,5;38,8
Волованы;435;7,9;29,9;35,9
Волованы с икрой;293,2;11,2;20,2;17,8
Волованы с курицей;410,8;14,1;30,8;20,7
Волованы с окороком;480,1;9,5;41,3;18,8
Волованы с салатом;326,6;8,3;24;20,5
Волованы с семгой или икрой;333,6;12,1;24,3;17,9
Вымя отварное в соусе;70,7;5,7;5,2;0,3
Галантин из рыбы;145,1;15,6;7,4;4,3
Говядина в кисло-сладком соусе;354,9;26,1;22;13,9
Говядина в луковом соусе запеченная;178,5;12,2;11,4;7,3
Говядина, запеченная с макаронами;359,4;18,4;22,2;22,9
Говядина, тушенная с луком, орехами и чесноком (адыгейское национальное блюдо);530,2;29,9;24,2;51,4
Говядина, фаршированная грибами;326,5;21,1;25,5;3,4
Голубцы овощные;190,9;3,4;16,7;7,3
Горбуша в сливках;129,5;8,8;9,5;2,4
Горячий паштет из печени;119,4;10,2;5,6;7,5
Грибная запеканка;145,2;4,7;10,1;9,5
Грибная икра;88,4;2,2;6,1;6,5
Грибные пельмени;185,8;5,5;13,3;11,8
Грибные ушки;341,7;17,2;20,4;23,8
Грибочки калевальские (рыба, фаршированная яйцом, - карельское национальное блюдо);185,7;11,8;9,2;14,8
Грибы в сметанном соусе;204,2;5;18,9;3,8
Грибы в сметанном соусе;230,5;4,8;21,8;3,9
Грибы жареные;162,1;4,6;11,5;10,7
Грибы по-деревенски;51,1;1,2;3,7;3,5
Грибы по-селянски;180;1,6;18,4;2,1
Грибы с квашеной капустой;138,9;2,8;10,9;8
Грибы с квашеной капустой;58,7;1,8;4,6;2,6
Грудинка, фаршированная кашей;283,8;16,4;18,5;13,7
Гуляш;326;24,9;22;7,7
Гуляш с капустой;81,3;5,9;5,4;2,5
Гусь, утка фаршированные;437,2;14,5;38,1;9,6
Драники;69,3;3;0,9;13
Драчена;196,7;11,4;14,5;5,5
Дрочена;253;7,7;22,3;5,8
"Еда ""Быстрая""";241,7;10,7;6,7;36,9
Ежики сибирские;184,7;10,1;9,6;15,5
Жал-баур (шашлык из печени - кабардино-балкарское национальное блюдо);383,5;10,4;36,4;3,8
Жареная курица и бульон;212;15,8;15,8;1,7
Жареная рыба под маринадом;215,4;19,5;11,4;9,4
Жаренный картофель с колбасой;83,9;2,8;5,4;6,5
"Жаркое ""Вкусное""";179,4;11,2;6,9;19,4
"Жаркое ""Казань"" (жаркое с черносливом - татарское национальное блюдо)";227,6;12,8;14,6;11,9
Жаркое из кролика (зайчатины);182,1;13,5;12,9;3,2
Жаркое из курицы по-русски;368,8;15,4;30,1;9,6
Жаркое из свинины;233,1;10,6;20,9;0,7
Жаркое из субпродуктов по-ингушски;121,3;16;3,3;7,3
Жаркое из фаршированной свинины;102;3,3;6,7;7,6
Жаркое из цыплят и субпродуктов кур;280,9;14,6;21,7;7,2
Жаркое по-гусарски;153,6;13,4;9,8;3,1
Жаркое по-домашнему;248;16,2;13,8;15,7
Жаркое с грибами по-русски;205,4;11,2;13,8;9,8
Запеканка из икры частиковых рыб (национальное блюдо народов Севера);122,8;8,3;5,1;11,7
Запеканка из кабачков;142,3;5,2;12,1;3,3
Запеканка из лапши со смородиной;164,4;4,5;6,1;24,3
Запеканка из макарон с творогом;241,8;11,6;9,2;30
Запеканка из отварного картофеля;133;2,8;10,5;7,2
Запеканка из риса с ревенем;155,3;3,3;6,2;23,1
Запеканка из спаржи и риса;137,5;2,7;9,2;11,7
Запеканка из творога;299,7;12,4;20,8;16,7
Запеканка из творога и гречневой крупы;168,3;7,2;7,3;19,6
Запеканка из тыквы;227,8;4,4;12,9;25
Запеканка из цветной капусты с сыром;160,7;6,4;12,3;6,6
Запеканка из черного хлеба;180,3;2,3;11,6;17,9
Запеканка из яблок;147,7;0,3;8;19,9
Запеканка капустная;161,6;6,8;12,9;4,9
Запеканка картофельная или рулет картофельный с мясом или субпродуктами;180,3;10,6;9,9;13,1
Запеканка морковная с творогом и без творога;192,6;6,9;13,4;12
Запеканка овощная;90;3;6,7;4,8
Запеканка рисовая с творогом;200,3;4,5;8,8;27,4
Запеканка рисовая, манная, пшенная, пшеничная;147,8;3,3;6,3;20,8
Запеканка со свежими плодами;157,8;3;2,6;32,6
Запеченная маринованная курица;201,9;10,3;16,8;2,6
Запеченная цветная капуста;99;3,8;7,9;3,4
Запеченные творожные клецки;214,1;10;17;5,6
Заячьи шкурки;35,9;1,6;0,5;6,6
Зразы донские;337,1;19,1;11,3;42,5
