Продукт;Калорийность кКал;Белки г;Жиры г;Углеводы г
Бабка из черного хлеба с яблоками;189,7;2,6;9;26,2
Бабушкины Рогалики;320,7;4,5;19,6;33,7
Буберт из пшеничной муки;123,1;4,4;6,2;13,3
Ватрушки (из дрожжевого теста);319,3;13,3;11,9;42,5
Воздушный пирог из черники;149,9;3,2;4,2;26,4
Картофельное печенье;69;2,9;2,5;9,3
Картофельное суфле;108,8;5,6;6,1;8,3
"Кекс ""Пока гости раздеваются""";286,5;4,6;13,1;40
Кекс кондитерский;276,2;6,2;13,6;34,4
Кекс молдавский;271,4;5,6;8,9;45
Кекс шоколадный;356,3;6,2;20,2;39,8
Крокеты из манной крупы;176,9;4,6;12,2;13,1
Крокеты из моркови с изюмом;134;3,6;2,8;25,3
Крупеник;204,4;8,3;12,1;16,7
Кулебяки (из дрожжевого теста);278,9;16,2;11,7;29
Кулич пасхальный;320,4;6,8;14,4;43,8
Лапшевник с творогом;165,9;6,9;9,5;14,1
Лекех;264,3;6,8;5,2;50,9
Лепешки из творога и картофеля;153,8;9,3;8,9;9,9
Макаронник;126,6;4,1;5,6;16
Манная запеканка с вишней;102,7;3,6;3,6;14,9
Манник;218,4;6,2;2,4;45,9
Манный пудинг с абрикосами;126,1;4,4;4,4;18,5
Манный пудинг с грушами;115,5;3,5;3,2;19,4
Манный пудинг с клубникой;119,5;4,1;5,2;15,1
Медовик;311,1;8,3;4,9;62,3
Миндальный пудинг с клубникой;178,5;4,1;8,6;22,5
Ореховое печение;268,5;6,7;12,1;35,5
Печенье из картофеля с яблоками;148;1,9;4,5;26,7
Печенье из кофе;366,6;6,2;21,3;40
Печенье из творога;380,9;9,3;26;29,3
Пирог летний;238,3;9,2;8,4;33,5
Пирог от Анюты;312,5;9,8;15,9;34,8
Пирог с бананами;115,6;2,3;0,7;26,8
Пирог с вишнями;313,9;2,9;20,7;31
Пирог с творогом и вишней;128,3;7,7;3,7;17
Пирог с черникой;298,4;2,9;11,5;48,8
Пирог яблочный открытый;193,6;2,1;7,3;32
Пироги закрытые;252,4;12,1;6,6;38,7
Пирожки жареные из дрожжевого теста (простые с фаршем массой 75г.);339,4;13,5;17,7;33,6
Пирожки печеные из дрожжевого теста (простые массой 75г.);285,8;14,4;9,2;38,7
Пирожки печеные из пресного слоеного теста ( массой 75г.);390,4;14,4;24,5;29,9
Пирожки с картофелем и творогом;98,6;8,6;0,9;15
Пицца с луком и сыром;198,9;5,2;15,4;10,4
Пицца с помидорами и сыром;221,6;4,1;17,5;12,6
Пончики;328,7;6,7;14,7;45,1
Пшенная запеканка;246,1;7,3;5,5;44,7
Расстегаи московские;264,4;13,7;10,2;31,3
Расстегаи с мясом или рыбой;266,9;13,2;9,5;34,3
Ржаные лепешки;390;5,2;17,8;55,8
Рисовые омлеты с вишней;153,6;4,4;7,1;19,1
"Рулет ""Мираж гурмана""";304,9;5,5;14,9;39,7
Саварен (французский рождественский кекс);175,3;3,7;3,7;33,9
Свежие ягоды черники в сахаре;241,5;0,4;0,2;63,4
Свекла с творогом;69,5;10,1;0,9;5,5
Соты;360,2;3,5;26,9;27,9
Сочни творожные;260,8;9,4;9,8;35,9
Сочники с творогом;244,1;9,6;7,9;35,8
Сырники из творога;300,2;13;19,4;19,6
Сырные палочки;314,5;13,7;27,9;2,4
Творожная запеканка;239,6;8,4;6,8;38,6
Творожная запеканка с макаронами;228,5;11,2;9,1;27,3
"Творожники ""Пряженые"" (с морковью и сыром)";320;10,8;23,4;17,6
Творожно-яблочная запеканка;93,8;8,5;3,7;7,2
Творожно-яблочный пирог;207,3;5,1;6,2;35
Творожные шарики с яблоками;321,2;7,2;23,8;20,8
Торт Муравейник;451,9;4,5;29,4;45,1
Тыквенно-яблочная запеканка;120,2;2,5;5,9;15,3
Шанежки наливные с яйцами;239,8;9,1;4;44,7
Шарлотка;145,7;3,1;1,8;31,3
Шарлотка с яблоками;197,7;3,5;5;37
Яблоки в слойке;238,3;3,9;9,9;35,7
Яблоки в тесте жареные;220,7;3,3;8;36,1
Яблоки или груши с сиропом;105,3;0,3;0,3;27,1
Яблоки, запеченные с творогом;171,4;3,7;2,9;34,7
Яблоки, фаршированные рисом и орехами;151,1;3,1;8,5;16,7
Яблочный каравай из черствого хлеба;147,5;4,7;6,8;18
