Продукт;Калорийность кКал;Белки г;Жиры г;Углеводы г
LOMA LINDA Большие сосиски, низкожирные, консервированные, неприготовленные;154;23,1;4,7;4,9
MORI-NU, Тофу, мягкий, шелковый;55;4,8;2,7;2,9
MORI-NU, Тофу, твердый, шелковый;62;6,9;2,7;2,4
MORI-NU, Тофу, экстра твердый, шелковый;55;7,4;1,9;2
Арахис;552;26,3;45,2;9,9
Арахис;567;25,8;49,24;7,63
Арахис валенсия;570;25,09;47,58;12,21
Арахис валенсия жаренный на масле, без соли;589;27,04;51,24;7,4
Арахис валенсия жареный на масле, с солью;589;27,04;51,24;7,4
Арахис вареный, с солью;318;13,5;22,01;12,46
Арахис вирджиния;563;25,19;48,75;8,04
Арахис вирджиния жареный на масле, без соли;578;25,87;48,62;10,96
Арахис вирджиния, жареный на масле, с солью;578;25,87;48,62;10,96
Арахис жареный;626;26;52;13,4
Арахис жареный без масла, без соли;587;24,35;49,66;12,86
Арахис жареный без масла, с солью;587;24,35;49,66;12,86
Арахис жареный на масле, без соли;599;28,03;52,5;5,86
Арахис жареный на масле, с солью;599;28,03;52,5;5,86
Арахис испанский;570;26,15;49,6;6,33
Арахис испанский, жареный на масле, без соли;579;28,01;49,04;8,55
Арахис испанский, жареный на масле, с солью;579;28,01;49,04;8,55
Арахисовая мука обезжиренная;327;52,2;0,55;18,9
Арахисовая мука с низким содерж. жира;428;33,8;21,9;15,47
Арахисовая паста без соли;598;22,21;51,36;17,31
Арахисовая паста обогащенная витаминами и минералами;591;25,72;50,81;13,15
Арахисовая паста с кусочками орехов, без соли;589;24,06;49,94;13,57
Арахисовая паста с кусочками орехов, обогащенное витаминами и минералами;593;26,06;51,47;11,99
Арахисовая паста с кусочками орехов, с солью;589;24,06;49,94;13,57
Арахисовая паста с омега-3;608;24,47;54,17;10,9
Арахисовая паста с пониж. содерж. жира, 34%;520;25,9;34;30,45
Арахисовая паста с пониженным содерж. натрия;590;24;49,9;15,23
Арахисовая паста с солью;598;22,21;51,36;17,31
Арахисовая паста, стандарт США;588;21,93;49,54;18,28
Арахисовое масло, паста-спред, с пониженным содерж. сахара;650;24,8;54,89;6,43
Бекон, из заменителя мяса (из бобовых);309;11,69;29,52;2,71
Боб садовый (конский) незрелый;72;5,6;0,6;7,5
Боб садовый (конский) незрелый, вареный, без соли;62;4,8;0,5;6,5
Боб садовый (конский) незрелый, вареный, с солью;62;4,8;0,5;10,1
Бобы (фасоль фава);341;26,12;1,53;33,29
Бобы (фасоль фава), вареные, без соли;110;7,6;0,4;14,25
Бобы (фасоль фава), вареные, с солью;110;7,6;0,4;14,25
Бобы (фасоль фава), консервированные;71;5,47;0,22;8,71
Бобы мунг (маш, фасоль золотистая), зрелые семена, вареные, без доб. соли;105;7,02;0,38;11,55
Голубиный горох, зрелый;343;21,7;1,49;47,78
Голубиный горох, зрелый, вареный, без соли;121;6,76;0,38;16,55
Голубиный горох, зрелый, вареный, с солью;121;6,76;0,38;16,55
Голубиный горох, неспелый;136;7,2;1,64;18,78
Голубиный горох, неспелый, вареный, без соли;111;5,96;1,36;15,29
Голубиный горох, неспелый, вареный, с солью;111;5,96;1,36;15,29
Горох колотый;364;23,12;3,89;39,43
Горох колотый, вареный, без соли;118;8,34;0,39;12,8
Горох колотый, вареный, с солью;116;8,34;0,39;12,21
Горох лущеный, крупа;299;23;1,6;48,1
Горох отварной по 1-296;130;10,5;0,8;20,4
Горох отварной с копченой грудинкой по 1-298;156;8,4;5,7;17,8
Горох стручковый, вареный, без соли;42;3,27;0,23;4,25
Горох стручковый, вареный, с солью;40;3,27;0,23;3,66
Горох стручковый, замороженный, вареный, без соли;52;3,5;0,38;5,92
Горох стручковый, замороженный, вареный, с солью;50;3,5;0,38;5,33
Горох стручковый, замороженный, неприготовленный;42;2,8;0,3;4,1
Горох стручковый, свежий;42;2,8;0,2;4,95
Горох, зерно цельное;298;20,5;2;49,5
Горох, проросшие семена;124;8,8;0,68;27,11
Горох, проросшие семена, вареный, без соли;98;7,05;0,51;17,08
Горох, проросшие семена, вареный, с солью;98;7,05;0,51;17,08
Горошек зелёный;81;5,42;0,4;8,75
Горошек зелёный с морковью, консервы;38;2,17;0,27;6,48
Горошек зеленый свежий;73;5;0,2;12,8
Горошек зеленый сушеный;305;35;0,4;40,5
Горошек зелёный, вареный, без соли;84;5,36;0,22;10,13
Горошек зелёный, вареный, с солью;84;5,36;0,22;10,13
Горошек зелёный, замороженный;77;5,22;0,4;9,12
Горошек зелёный, замороженный, вареный, без соли;78;5,15;0,27;9,76
Горошек зелёный, замороженный, вареный, с солью;78;5,15;0,27;9,76
Горошек зелёный, консервированный;58;3,01;0,48;7,3
Горошек зелёный, консервированный, без  соли;53;3,19;0,3;6,45
Горошек зелёный, консервированный, без соли, содержимое без жидкости;69;4,42;0,35;8,48
Горошек зелёный, консервированный, со специями;50;3,09;0,27;7,25
Горошек зелёный, консервированный, содержимое без жидкости;68;4,47;0,8;6,46
Горошек зелёный, консервированный, содержимое без жидкости, промытый водой;71;4,33;0,95;11,82
Горошек зеленый. Консервы;40;3,1;0,2;6,5
