Продукт;Калорийность кКал;Белки г;Жиры г;Углеводы г
Бобовые в соусе;347,7;26,2;7;48
Бобовые отварные;391,5;30,4;7,2;54,7
Бобовые отварные;276,8;24,2;1,8;43,6
Гарнир из овощей 1;167,1;8,4;7,7;17
Гарнир из овощей 2;18,8;1;0,2;3,6
Гарнир из овощей 3;65,2;1,5;3,4;7,6
Гарнир из овощей 4;180,5;4,3;12,9;12,7
Гарнир из овощей 5;42,4;1,8;0,3;8,6
Гарнир из овощей 6;73,5;5,9;0,6;11,9
Гарнир из овощей 7;62,3;8;1,8;3,8
Гарнир из овощей 8;47,1;0,6;0,4;10,9
Гарнир из овощей 9;102,4;10;1,5;13
Гарнир из овощей к сельди и отварной рыбе 1;58,9;2,5;0,4;12,2
Гарнир из овощей к сельди и отварной рыбе 2;44;2;0,3;9
Гарнир из овощей к сельди и отварной рыбе 3;44,6;2;0,3;9,1
Гарнир из овощей к сельди и отварной рыбе 4;57,1;3,5;1,9;7,1
Гарнир сложный 1;143,4;3,5;7,7;16,1
Гарнир сложный 10;189,8;3,5;11,3;19,8
Гарнир сложный 11;333,2;16,1;10,6;46,2
Гарнир сложный 12;201,9;9,9;5,6;29,9
Гарнир сложный 13;198,5;4,5;13,4;15,9
Гарнир сложный 15;257,5;4,2;16,3;25,2
Гарнир сложный 16;114,4;5,1;3,3;17,1
Гарнир сложный 17;182,7;7,2;5,8;27,1
Гарнир сложный 18;160,3;4,6;7,4;20
Гарнир сложный 19;122,7;7,1;0,9;23
Гарнир сложный 2;384,9;20,1;13;50
Гарнир сложный 3;216,1;6,1;9,5;28,2
Гарнир сложный 5;174,9;3,2;7,2;26
Гарнир сложный 6;212,9;6,3;9,5;27,4
Гарнир сложный 7;140,3;5,1;6,4;16,5
Гарнир сложный 8;176,2;3,4;11,5;15,8
Гарниры к сладким супам;243,9;6,2;6,9;41,8
"Капуста ""Невская""";28,3;1,7;0,1;5,5
Капуста жареная;60,6;2,8;3,3;5,3
Картофель в молоке;97,6;2,8;4,7;11,8
Картофель в молоке;133,6;3,4;4,8;20,6
Картофель в молоке;93,3;2,2;5;10,4
Картофель в фольге;73,5;1,9;2,8;10,8
Картофель жаренный во фритюре;279;4,7;17,8;26,6
Картофель жареный (из вареного);211,5;3,6;11,7;24,5
Картофель жареный (из сырого);203,3;3,7;10,6;24,8
Картофель молодой в сметане;161,1;2,1;14;7,2
Картофель по домашнему;247,7;5,3;18,4;16,3
Картофель, запеченный в сметанном соусе;245,2;3,7;19,5;14,5
Картофель, запеченный со свининой;299,5;7,8;22,9;16,6
Картофель, тушённый с грибами;171,3;3;14,2;8,4
Картофель, тушенный с грибами в сметане;153,6;4,3;10,1;12,2
Картофельная запеканка;79,8;2,9;4,3;7,9
Картофельная запеканка;0;0;0;0
Картофельная запеканка по-французски;96;5,9;4,7;8,1
Картофельная масса;89,4;4;1;17,2
Картофельное пюре;81,7;2,1;4,6;8,5
Картофельные крокеты;346;2,6;34,1;7,6
Картошка по Оксановски;150,1;4,7;10;11
Клецки;160,3;5;4,8;25,8
Клецки в лимонном соусе;87;1,9;4,3;10,8
Клецки из капусты;21,5;1,2;1,3;1,3
Лапша домашняя;255,9;9,7;3,1;50,5
Морковь, пассерованная в масле;127,4;0,9;10,2;8,5
Плов;150,7;4,1;7,3;18,3
Помидоры с рисом;0;0;0;0
Помидоры, баклажаны и другие овощи жареные;119,4;1,2;10,6;5,1
Профитроли;253;9,6;16;18,7
Пюре из кабачков;129,8;1,1;12,4;3,8
Пюре из картофеля и капусты;60,4;2,2;2,8;7
Пюре из картофеля и тыквы;75,4;1,8;4,8;6,6
Пюре из картофеля и шпината;70,6;1,9;4,8;5,2
Пюре из моркови;105,7;1,7;8,4;6,3
Пюре из репчатого лука;44,4;1,8;0,7;8,2
Пюре картофельное;112;2,7;5,9;12,9
Свекла пикантная;58,3;1,3;1,6;10,3
Суфле из брюквы;147,2;1,7;11,6;9,5
