Продукт;Калорийность кКал;Белки г;Жиры г;Углеводы г
Абрикосовое суфле;116,2208;5,6456;0,0347;23,1126
Апельсиновые корзиночки с кремом;118,9;3,1;8;9,2
Апельсиновый десерт;56,7;0,7;0,2;14
Апельсины в ванильном соусе;68,7;2,4;1,7;11,6
Безе;234,4;1;0;61,4
Безе;304,8;2,3;0;78,8
Бисквит из яичных белков;319,2;11,1;12,3;43,7
Блинчики из овсяных хлопьев;170,1;5,2;9,2;17,7
Блинчики с маком;214,3;7,4;10,6;23,7
Блинчики с морковью;105,4;4,2;5,3;11
Блинчики с мясным, ливерным, творожным, яблочным фаршем, джемом, повидлом или вареньем;278,3;13,7;18,1;16,1
Блинчики-полуфабрикат (оболочка);153;6,4;4,8;22,6
Блины;232,5;6,1;12,3;26
Блины гречневые;229,1;6,8;13,1;22,3
Блины гурьевские;178,6;6,5;8,6;19,9
Блины дехканские;210,2;7;1,1;45,8
Блины из вареного картофеля;189,3;4;11,9;17,6
Блины из капусты;154,4;4;12,2;7,7
Блины из тыквы;138,3;2,6;8,3;14,3
Блины красные;174,7;4,5;13,1;10,3
Блины кукурузные (чечено-ингушское национальное блюдо);221;6,1;11,8;24
Блины с квашенной капустой;106,6;3,4;3,3;16,8
Блины славянские;218;9,3;8,7;27,2
Блины со сладким соусом по-староелецки;291,7;6,6;20,7;21,1
Блины-скородумки;127,2;4,8;5,8;14,9
Брусника свежая с сахаром;146,9;0,5;0,3;37,8
Ванильный крем;190,6;4,5;12,8;15,2
Ванильный соус;72,1;3,5;2,8;8,8
Вафли;210,9;5,5;6,5;34,9
Вафли на вафельнице;319,3;4,8;18,6;35,5
Взбитый лимонный соус;112,4;2;1,2;25
Взбитый шоколадный соус;114,7;5;4,6;14,3
Взбитый яблочный соус;82,4;2,6;2,4;13,4
Вишневый мусс;150,7;5,9;0,1;33,7
Галушки яблочные;89,1;3,2;1,6;16,5
Груши, начиненные творогом;65,4;2,2;2,5;9,1
Густой шоколадный соус;316,6;2,1;18;39,1
"Десерт ""Птичье молоко""";288,9;5,1;13,8;38,5
"Десерт из сметаны ""Радуга""";185,6;3,9;14,7;10
Десерт молочный (чувашское национальное блюдо);222,4;5,1;5,5;40,7
Желе из барбариса;218,3;0;0;58,2
Желе из водяники;67,4;2,6;0,01;15,1
Желе из кишмиша;247;0;0;65,9
Желе из лимонов, апельсинов, мандаринов (лимон);69,4;2,6;0,03;15,6
Желе из молока;192,1;6,3;11,1;17,9
Желе из плодов или ягод свежих;69,1;2,5;0,04;15,6
Желе из сиропа плодового или ягодного;10,5;2,6;0,01;0,02
Желе из сливок;249;6,4;12;30,9
Желе из экстракта плодового или ягодного, или из сока плодового или ягодного натурального (сок);82,3;2,7;0,1;18,9
Желе лимонное;87,6;2,8;0,02;20,3
Желе мясное или рыбное;140;21,7;5,7;0,6
Желе с плодами свежими и консервированными;53,7;2,1;0,1;11,7
Изюм или чернослив, или курага в медовом желе (башкирское национальное блюдо);137,2;2,8;0,2;33,2
Клубника с творогом;77,6;6,5;1,1;11,1
