Продукт;Калорийность кКал;Белки г;Жиры г;Углеводы г
Арбуз консервированный;36,5;0,5;0,09;9
Брусника маринованная с яблоками;53,3;0,3;0,3;13,2
Брусника моченая;23,6;0,3;0,2;5,3
Засахаренный кишмиш;224,6;0;0;59,9
Икра баклажанная;74,3;1,9;4,7;6,5
Икра кабачковая;90,8;1,6;6,3;7,4
Икра свекольная или морковная;129,5;2,9;7,4;13,6
Икра щучья;87,1;17,3;2;0
Капуста маринованная;47;0,8;0,05;11,5
Квашеная капуста;27;1,6;0,1;5,2
Маринованная капуста;126,6;1,7;10;8,1
Маринованная морская капуста;12,5;0,9;0,2;1,9
Маринованная свекла;41,6;1,6;0,1;9,1
Маринованные стрелки чеснока;29,7;0,7;0,03;7,1
Маринованный крыжовник;0;0;0;0
Маринованный чеснок;42,4;1,8;0,1;9,1
Морковь по-корейски;112,6;1,2;8,2;9
Морковь по-корейски;232,5;0,9;23,5;4,8
Пюре из боярышника;29,9;0;0;8
Рольмопс;149,6;7,8;11,6;3,8
Слива маринованная;63,9;0,3;0,1;16,5
Соленые огурцы;11,2;0,6;0,08;2,2
Черника в собственном соку;38,3;1,1;0,6;7,6
