Продукт;Калорийность кКал;Белки г;Жиры г;Углеводы г
Ассорти;0;0;0;0
Ассорти в азиатском стиле;77,7;1,4;5;7,2
Ассорти из капусты и овощей;0;0;0;0
Ассорти мясное на хлебе;375,2;11,1;26,1;25,5
Ассорти рыбное на хлебе;257,9;14,6;12,9;22,2
Ассорти фруктовое;59,4;2,4;1,3;10,3
Бутерброд закрытый с говяжьими котлетами, по 1-54;224;11,1;6,2;30,2
Бутерброд из баклажан;97,8;4,3;2;16,8
Бутерброд из жареного мяса;267,4;9,4;25;1,2
Бутерброд из плавленого сыра;395,9;8,4;38,5;4,2
Бутерброд из сыра;403,2;16,9;35,8;3,6
Бутерброд из творога с сельдью;217,2;12,8;17,7;1,8
Бутерброд из хрена;433,2;4,6;44,9;3
Бутерброд пикантный;316,6;11,8;20,8;21,9
Бутерброд с  зернистой икрой кеты, по 1-50;278,6;13,1;9,3;35,7
Бутерброд с брынзой;235,9;8,1;4;44,8
Бутерброд с горчичным маслом;360,3;6,5;23,4;33
Бутерброд с икрой осетровой, зернистой;267;12,4;8,3;35,7
Бутерброд с килькой;307,8;7,3;20,3;25,6
Бутерброд с килькой и яйцом, по 1-52;233;10,9;10,6;23,4
Бутерброд с любительской колбасой, по 1-48;275;10,63;17,88;17,75
Бутерброд с морковью и сыром;206;7,1;11,6;19,4
Бутерброд с отварной говядиной, по 1-46;122;7,6;3,7;14,2
Бутерброд с селедочным маслом;341,8;6,4;22,3;30,7
Бутерброд с соленой горбушей, по 1-50;220;13,4;5,4;29,6
Бутерброд с творогом и изюмом;295,5;11,8;23,8;9,1
Горячий бутерброд;301,6;7,7;26,4;8,8
Гренки из пшеничного хлеба (1-й вариант);213,8;9,7;1,1;44
Гренки острые;269,3;15,4;13,2;23,6
Гренки с сыром;295,2;13,9;13,6;31,3
"Закуска ""Уральский рулет""";220,8;16,3;16,7;1,5
Закуска из плавленого сыра с яйцом и майонезом;355,3;17,3;31,1;1,6
Закуска овощная с чесноком (марийское национальное блюдо);166,4;1,7;12,5;12,5
Закуска свекольная с орехами;177,6;6,9;5,9;25,8
Заливное из птицы или дичи, или мясных продуктов в форме;213,6;18,7;14,4;2,4
Икра овощная закусочная;85,7;2;4,8;9,1
Икра осетровых рыб и икра кетовая;308,5;16,7;22,4;10,7
Канапе с бужениной и окороком;354,9;9,9;27,6;18
Канапе с икрой и севрюгой;253,5;11,5;15,1;19
Канапе с икрой, семгой и осетром;289,2;19;15,1;20,7
Канапе с килькой и яйцом;238,7;11,4;16,2;12,6
Канапе с паштетом;267,3;8,6;16,2;23,1
Канапе с паюсной икрой;233,3;10,2;14;17,7
Канапе с сыром;388,5;13,4;28,2;21,7
Канапе с сыром и окороком;364,9;12,8;27,1;18,5
Квашеная капуста с орехами;82,8;4,7;0,2;16,6
Колбаса русская, свадебная;160,9;13,1;11,8;0,5
Колбаски из сельдерея;114;5,3;5,1;12,6
Колбасные, мясные изделия, запеченные в тесте;265,1;11,6;14,3;23,9
Корзиночки (тарталетки) для закусок;342;9,4;15,9;43
Корзиночки с крабами, креветками, кальмарами или морским гребешком;360,4;11,5;25,6;22,4
Корзиночки с паштетом;318,6;11,8;20,8;22,3
Корзиночки с салатом;327,9;10,8;21,9;23,2
Корзиночки с языком или ветчиной;311,6;11,3;19,3;24,8
Лазанки из картофеля;60,7;3,4;3,6;3,9
Лососина, семга, кета малосоленые;218,6;33;9,1;1,4
Масса  из ветчины;327,3;17,4;28,5;0,3
Масса из брынзы;273,1;13,2;24;1
Масса из сыра для бутербродов;451,7;18,1;41,1;2,6
Острая закуска;32,6;1,7;0,1;6,5
Пикантная закуска из брынзы;0;0;0;0
Птичьи гнезда из сельди иваси;0;0;0;0
Расстегаи закусочные;266,4;13,3;9,6;33,8
Соленые фаршированные огурцы;65,3;3,6;3;6,4
Студень говяжий;209,3;26,6;9,9;3,7
Студень из субпродуктов птицы;347,4;30,2;24,4;1,9
Студень свиной;354,6;25,1;27,1;2,7
Творог с орехами и чесноком;358,2;16,4;20,5;28,9
Творожные шарики;316,3;13,6;26,4;6,5
Творожный бутерброд;242,7;9,5;11,2;27,6
"Фарш из пасты ""Океан""";177,5;14,8;10,9;5,3
Холодец по домашнему;257,8;26,1;15,5;3,6
Яйца фаршированные креветками;247,4;10,3;22,2;1,6
