Продукт;Калорийность кКал;Белки г;Жиры г;Углеводы г
Гречневая каша рассыпчатая;98,7;3,6;2,2;17,1
"Каша ""Янтарная""(из пшена я яблоками)";138,9;3,8;6,5;17,5
Каша боярская (из пшена с изюмом);221,7;4,8;14,4;19,5
Каша вязкая из пшена с тыквой;158;4,2;8;18,5
Каша гурьевская;151,2;4,4;5,4;22,6
Каша из тыквы с манкой;161,5;2,8;8,4;19,9
Каша манная коричневая;162,1;5,3;6;23,2
Каша пшенная с сушеными сливами;121,3;2,4;2,9;22,7
Каша рисовая с какао;146,2;4,1;6;20,3
Манная каша на клюквенном соке;112,7;1,9;4,6;17
Манная каша с морковью;97,3;2,7;5,6;9,7
Мучная каша;95,3;3,4;4,9;10,2
Рисовая каша с черносливом;128,5;1,9;2,4;26,4
Рисовая с абрикосами по-венгерски;119,7;2,6;0,3;28,5
Яблочно-манная каша;128,4;1,9;4,3;22
Яичная каша (натуральная);180,3;10,3;11;10,8
Яичная каша с овощами или грибами;261;15,9;13,2;20,9
Ячневая каша с картофелем;48,6;1,8;1;8,7
