Продукт;Калорийность кКал;Белки г;Жиры г;Углеводы г
Абрикосовый газированный коктейль;36,4;1;0,8;6,6
Абрикосовый гоголь-моголь;85,5;3,1;2,8;12,9
Абрикосовый десертный напиток;86,1;0,3;0,04;22,5
Абрикосовый коктейль с поплавком;70,8;2,7;2,7;9,4
Апельсиновое молоко;78,2648;3,0347;2,5187;10,6881
Апельсиновый компот;57,2;0,3;0,05;14,9
Бурятский чай;94;0,7;9,3;2,1
Горячий абрикосовый напиток;53,7;2,3;2,6;5,6
Какао с молоком;102,8;2,9;2,9;17,2
Какао с молоком сгущенным;86,6;2,2;2,4;15
Квас из ревеня;34;0,2;0,04;8,8
Квас клюквенный;40,4;0,1;0,03;10,6
Квас по-тобольски;35,8;0,6;0,1;8,6
Квас хлебный из экстракта;4,3;0,04;0,008;1,1
Квас яблочный;36,7;0,2;0,09;9,4
Кефир с ревенем;55;2,1;2,3;6,8
Кефир, ацидофилин, простокваша, ряженка;55,9;2,8;3,2;4,1
Кисель апельсиновый;97,8;2,7;2,1;18
Кисель брусничный;75,2;0,07;0,05;19,9
Кисель из абрикосов;53,7;0,1;0,01;14,2
Кисель из земляники;51,1;0,08;0,04;13,5
Кисель из клюквы (густой);55,4;0,05;0,02;14,7
Кисель из концентрата на плодовых или ягодных экстрактах;26,3;0;0;7
Кисель из овсяных хлопьев;130,6;4;7,5;12,6
Кисель из плодов и ягод свежих;55,2;0,06;0,02;14,6
Кисель из яблок (густой);62,1;0,09;0,08;16,3
Кисель молочный;33,5;0,9;1;5,5
Кисель молочный (густой);60,5;3;3,3;4,9
Кисель морковный;49,3;0,3;0,02;12,8
"Коктейль ""Юпитер""";82,5;2,5;4,7;8,1
Коктейль молочный;96,6;2,9;4,3;12,5
Коктейль с креветками;57,5;3,1;4,5;1,2
Компот из абрикосов;48,4;0,2;0,02;12,7
Компот из айвы;72,4;0,1;0,1;18,9
Компот из барбариса;111,7;0;0;29,8
Компот из вишни;53,5;0,3;0,08;13,7
Компот из моркови;34,1;0,3;0,02;8,8
Компот из плодов консервированных 2;41,3;0,3;0,07;10,5
Компот из свежих плодов;59,1;0,1;0,1;15,3
Компот из свеклы;49,2;1;0,07;11,8
Компот из смеси сухофруктов;55,6;0,3;0;14,5
Компот из тыквы и ревеня;36,5;0,3;0,03;9,4
Компот из черники;48,5;0,4;0,2;12
Компот из яблок и слив или из яблок и алычи;66,6;0,2;0,1;17,3
Костяничный кисель;37,5;0,003;0;10
Кофе на молоке;64,1;1,4;1,5;12,1
Кофе на молоке по-варшавски;72,5;2;3;10,2
Кофе на молоке сгущенном;254,3;2,3;2,4;59,5
Кофе по-восточному;61,7;1,1;1,2;12,5
"Кофе черный 1-ый вариант (для кофеварки типа ""Экспресс""";202,6;14;14,5;4,1
Кофе черный 2-ой вариант;10,7;0,7;0,8;0,2
Кофе черный с мороженым (глясе);111,7;1,9;4,1;17,9
Кофейный холодный напиток;131,9;1,9;10,9;7,1
Креольский напиток;0;0;0;0
Крыжовник с кефиром;79,5;3;4,7;6,6
Лимонный кисель;60,1;0,06;0,006;16
"Медовуха ""Зауральская""";64,5;1;0,2;15,6
Молоко кипяченое;60,5;3;3,3;4,9
Молочно-абрикосовый коктейль;62;2,7;2,8;7
Молочный кисель из моркови;60,8;2;1,9;9,5
Молочный напиток с абрикосами;125;1,8;6,3;16,2
Морс брусничный;41,4;0,06;0,04;10,9
"Напиток ""Лесная быль""";67,6;1,6;1,4;12,8
"Напиток ""Петровский""";14,9;0,2;0,02;3,7
"Напиток ""Фанта""";27,6;0,1;0,01;7,2
Напиток апельсиновый;43;0,03;0,006;11,4
Напиток апельсиновый или лимонный;41,7;0,08;0,02;11
Напиток из айвы со сливками;37,7;0,2;0,9;7,8
Напиток из айвы со сметаной;32,7;0,3;2,3;3
Напиток из боярышника;30;0;0;8
Напиток из боярышника с овсяным отваром;42,4;0,8;0,5;9,3
Напиток из брусники;79,6;0,3;0,2;20,5
Напиток из варенья;19,4;0;0;5,2
Напиток из вишни с изюмом;46,1;0,7;0,5;10,4
Напиток из кураги;47,4;0,4;0,02;12,1
Напиток из сиропа;0;0;0;0
Напиток из тыквы;39,7;0,2;0,02;10,3
Напиток клюквенный;40,3;0,05;0,02;10,6
Напиток Рябинушка;41,1;0,4;0,05;10,4
Напиток яблочный;42,1;0,05;0,05;11,1
Напиток яблочный с медом;70,7;0,3;0,1;18,3
Настой барбарисовый;178,7;0;0;47,7
Ногайский чай (карачаево-черкесский национальный напиток);105,4;2,6;9,2;3,3
Отвар из шиповника;18,8;0,3;0,1;4,4
Пинемень куслят (кисель овсяный - мордовское национальное блюдо);54,9;1,6;0,8;11,1
Сбитень;58,1;0,2;0,7;13,5
Сбитень по Новониколаевски;68,7;0,1;0,009;18,2
Студенческий напиток;13,9;1,2;0,03;2,3
Тыквенный кисель;101,5;1,9;5;13
Хлебный квас;27;0,2;0;5,2
Чай брусничный;26,4;0,02;0,02;7
Чай из душицы;27,1;0,01;0;7,2
Чай рябиновый;9,2;0,3;0,05;2
Чай с лимоном;41,1;0,2;0,05;10,6
Чай с молоком или сливками;52,9;0,9;0,8;11,3
Чай с сахаром, вареньем, джемом, медом, повидлом;41,7;0,2;0,05;10,8
Чай с яблоками;17,2;0,3;0,2;3,7
Чай фруктовый с абрикосами;169,8;4,7;0,4;39,4
Черника с молоком;60;2,2;2,3;8,2
Яблочный пунш;75;0,3;0,3;19,1
Ягодная наливка;124,1;0,6;0,4;31,6
