Продукт;Калорийность кКал;Белки г;Жиры г;Углеводы г
Борщ;57,7;3,8;2,9;4,3
Борщ из свежей капусты и картофеля по 1-110;36;1;1,1;5,4
Борщ кубанский с кабачками;88,2;4,9;5,7;4,7
Борщ летний (с ботвой свеклы);69;3,9;3,2;6,6
Борщ летний по 1-122;38;1,1;1,2;5,7
Борщ московский;115,5;8,3;7,2;4,6
Борщ по 1-110;29;0,8;1;4,1
Борщ по-вегетариански;34,7;0,5;2,7;2,2
Борщ с капустой и картофелем;61,6;3,8;2,9;5,4
Борщ с картофелем по 1-112;42;1,1;1,1;6,8
Борщ с черносливом и грибами;74;4,6;3,1;7,4
Борщ сибирский;76,7;5,4;3,4;6,5
Борщ украинский;90,2;4,4;4,4;8,7
Борщ украинский по 1-122;50;1,1;2,2;6,5
Борщ холодный;27,1;1,1;1,3;3
Борщ холодный;45,7;1,5;3,2;3
Говяжий суп;28,8;2,3;1,1;2,6
Голландский зеленый суп;65,3;4,8;1,4;8,8
Голландский зеленый суп;0;0;0;0
Гороховый суп;54,3;2,2;3;5
Грибной борщ;27,1;0,7;2,1;1,4
Грибной суп;50,9;0,8;3,4;4,6
Куриный суп по-индийски;0;0;0;0
Куриный суп с макаронами;59,7;4,5;3,3;3,1
Литовский холодный борщ;63,8;2,9;2,2;8,6
Лэпсытепх (бульон с жареными орешками из муки и зажаркой - адыгейское национальное блюдо);167,1;11,4;10,3;7,6
Молочный суп с морковью;33,6;1,6;1,5;3,7
Окрошка мясная на кефире с говядиной, по 1-194;39;2,8;1,1;4,3
Окрошка мясная со сметаной и говядиной,  по 1-192;52;2,1;1,7;6,3
Окрошка овощная по 1-192;39;0,9;0,8;6,8
Похлебка грибная (карельское национальное блюдо);81,6;3,1;4,1;8,5
Похлебка из сардин в горшочке;115,8;6,4;6,9;7,5
Похлебка по-суворовски;70,4;8,7;2,4;3,8
Похлебка рыбная по-сибирски;57,8;4,8;1,5;6,7
Похлебка старомосковская;94,1;3,6;7,1;4,2
Рассольник;40,4;0,9;1,6;5,9
Рассольник;0;0;0;0
Рассольник домашний;38,4;0,9;1,6;5,4
Рассольник домашний по 1-136;36;1;1;5,8
Рассольник ленинградский;53,3;1,3;1,7;8,8
Рассольник по-кубански;100,8;4,9;5,7;7,9
Рисовый грибной суп;62,7;2;2,2;9,3
Свекольник холодный;62,6;1,8;3,6;6,2
Свекольник холодный по 1-198;30;0,8;0,2;6,1
Сладкий суп из черники с клецками;75,8;1,4;1,3;15,6
Солянка грибная по 1-172;18;0,5;1,2;1,3
Солянка рыбная, по 1-170;25;2,4;1,2;1,2
Солянка сборная мясная, по 1-168;39;2,1;2,8;1,3
"Суп ""Ереванский""";54,1;3,1;1,9;6,5
"Суп ""Хинкал"" (суп с мясом и ракушками - дагестанское национальное блюдо)";125,1;10,2;6,1;7,8
Суп вишневый с клецками;79,3;2;1,1;16,4
Суп гороховый с яблоками;44;2,5;2,3;3,6
Суп грибной картофельный;45,5;0,8;3,7;2,6
Суп грибной с пирожками;60,3;1,3;5,2;2,2
Суп из белых грибов с макаронами;58,1;1,4;4,7;2,8
Суп из говядины;41,9;2,4;2,5;2,6
Суп из клюквы и яблок;51;0,4;1,9;8,7
Суп из моркови и кефира;58;2,3;2,1;8
Суп из овощей;36,7;1,7;1,6;4,2
Суп из овсяной крупы с яблоками;62,4;1,7;1,4;11,5
Суп из овсяных хлопьев с яблоками;48,1;1,7;1,5;7,4
Суп из плодов свежих;63,2;0,2;0,2;16,2
Суп из свежих помидоров;37,4;0,9;2,1;4
Суп из свежих фруктов по 1-200;50;0,1;0,1;11,9
Суп из свекольной ботвы и щавеля;46,6;1,7;3,8;1,6
Суп из смеси сухофруктов;80,5;0,5;0;20,9
Суп из спаржи;78;2,6;4,8;6,6
Суп из утки;283;10,9;23;8,6
Суп из фасоли с орехами;67;2,3;4,8;3,8
Суп из цветной капусты;36,8;1;3,2;1,1
Суп из черники с клецками;105,4;4,6;2,3;17,6
Суп из черники с макаронами;34,2;0,5;0,8;6,6
Суп из чечевицы;67,8;2,5;4,2;5,2
Суп картофельный;50,6;1,3;1,1;9,4
Суп картофельный по 1-142;45;1,1;1,2;7,8
Суп картофельный с бобовыми;73,3;2,7;2,4;10,8
Суп картофельный с грибами;42,2;1,7;1,2;6,5
Суп картофельный с кальмарами;62,4;4;2,4;6,5
Суп картофельный с крупой;53,6;1,3;1,2;10
Суп картофельный с макаронными изделиями;47,7;1,3;1;8,8
Суп картофельный с мясными фрикадельками;57,6;3,3;2,2;6,5
Суп картофельный с перловой крупой по 1-146;37;1;1,1;6,5
Суп картофельный с рыбными фрикадельками;48,9;2,5;1,6;6,6
Суп картофельный со сладким перцем;55,9;0,9;3,7;4,9
Суп лапша грибная;41,3;1,6;2,1;4,1
Суп молочный рисовый;99,2;3,1;5;11,1
Суп молочный с белокочанной капустой, по 1-180;54;2;2;6,8
Суп молочный с грибами;67,2;2,5;3,3;7,3
"Суп молочный с картофельными ""стружками""";51,3;1,4;3,6;3,5
Суп молочный с клецками;110,9;3,8;5,2;13
Суп молочный с крупой;68,2;2,6;2,8;8,7
Суп молочный с макаронами, по 1-172;58;2,2;1,9;7,9
Суп молочный с макаронными изделиями;64,6;2,8;2,7;7,7
