Продукт;Калорийность кКал;Белки г;Жиры г;Углеводы г
Винегрет;130,1;1,7;10,3;8,2
Винегрет из овощей;176,9;1,9;13,9;11,7
Винегрет из овощей и фруктов;137,4;1,9;9,5;11,9
Винегрет из овощей, яблок и зелени;104,2;1,6;7,3;8,6
Винегрет из перца с картофелем;97,4;3;6,2;7,9
Винегрет из фруктов и овощей;128,5;2,1;8,2;12,4
Винегрет овощной;76,6;1,7;4,9;6,8
Винегрет овощной;158,7;5,7;8,4;16,2
Винегрет по-румынски;208,1;6,2;16,8;8,7
Винегрет с консервированным мясом;215;10,3;15,4;9,5
Винегрет с селедкой;119,1;4,5;6,9;10,5
Винегрет с сельдью;179,2;9,1;13;6,8
Диетический салат из свеклы и яблок;94,2;0,8;3;17
"Жареный салат ""Универсал""";26,6;1;0,2;5,5
Морковный салат;88,2;0,8;7,5;4,7
Морковь с помидорами и яблоками;44,4;0,8;1,6;7
Огуречный салат;131,5;3,7;12;2,2
Окрошка;75,7;3,7;5,1;4
Окрошка;57,2;2,4;3,2;5
Окрошка мясная;89,1;7;4,8;4,6
Окрошка овощная;48,1;1,9;1,9;6,4
Окрошка сборная мясная;95,1;5,1;6,4;4,6
Оригинальный салат;0;0;0;0
Пестрый летний салат;0;0;0;0
Пестрый салат;73,9;3,7;1,9;11,2
Печеночный салат;104,7;8,2;7,5;1,1
Пикантный салат;0;0;0;0
Помидоры с огурцами и перцем;30,7;1;0,9;5
Помидоры с огурцами и яблоками;65,7;0,8;4,9;4,8
Помидоры с чесночной заправкой;70,9;3,9;1,9;10,1
Помидоры, фаршированные  салатом из яблок и огурцов;0;0;0;0
Помидоры, фаршированные салатом из яблок и огурцов.;53,5;0,7;3,2;5,8
Редиска со сметаной;103,5;2,7;9;3
Редька в сметане;111,8;2;9,2;5,5
Рыбный салат;145,6;5,1;12;4,5
Рыбный салат;207;9,3;18,3;1,4
"Салат ""Ак-идель"" (рыбный с рисом по-башкирски)";368,8;18,4;29,6;7,5
"Салат ""Архиерейский""";221,5;5,9;20,8;3
"Салат ""Весна""";90,3;3;7,4;3,1
"Салат ""Гнездо глухаря""";0;0;0;0
"Салат ""Гранат""";225,9;4,7;18;12
"Салат ""Гранатовый браслет""";166,6;3,9;14,2;6,1
"Салат ""Грибки""";77,6;6,5;4,7;2,6
"Салат ""Золушка""";0;0;0;0
"Салат ""Киевский""";160,9;5;12;8,8
"Салат ""Копенгагенский""";75,7;3;4,8;5,4
"Салат ""Кремлевский""";252,3;5,8;22,1;7,9
"Салат ""Летний""";102,5;3,6;7,5;5,4
"Салат ""Матрешки""";125,9;11,4;8,4;1,2
"Салат ""Мимоза""";296,6;6,3;28,3;4,4
"Салат ""Молдова""";283,5;5,5;20,4;20,7
"Салат ""Московский""";280,3;4,7;24,7;10,5
"Салат ""Невеста""";218,7;4,3;18,5;9,4
"Салат ""Нежность""";211;5,1;8,7;30
"Салат ""Обжарка""";132,6;3,8;11,9;2,7
"Салат ""Осенний"" из свежих овощей с рыбой";123;8,3;7,7;5,5
"Салат ""Острый"" из картофеля с ветчиной и чесноком";175;5,9;10,3;15,5
"Салат ""Петровский"" грибной с квашеной капустой и огурцами";110,5;1,5;10,3;3,1
"Салат ""Приятное с полезным""";101,7;8,5;0,7;16,5
"Салат ""Тихая заводь""";259,9;7,8;23,5;4,6
