Продукт;Калорийность кКал;Белки г;Жиры г;Углеводы г
Взбитый Крем [Campina];232;2,1;20;11
Взбитый Сливочный Крем [Campina];242;2,5;20;12
Йогурт [Campina];85;2,5;1,2;16
Йогурт Натуральный [Campina];70,1;3,5;2,9;7,5
Йогурт Нежный Крем-Карамель [Campina];85;2,5;1,2;16
Йогурт Нежный Латте Макиато [Campina];95;2,5;1,2;18
Йогурт Нежный Лёгкий с Соком Клубники [Campina];75;2,5;0,1;16
Йогурт Нежный Легкий с Соком Лесных Ягод [Campina];85;2,5;0,1;18
Йогурт Нежный Легкий с Соком Персика [Campina];75;2,5;0,1;16
Йогурт Нежный Натуральный [Campina];70;3,5;2,9;7,5
Йогурт Нежный с Кусочками Персика и Маракуйи [Campina];100;2,5;2,5;17
Йогурт Нежный с Пюре Клубники [Campina];82;2,4;0,1;17,8
Йогурт Нежный с Пюре Клубники и Банана [Campina];82;2,4;0,1;17,8
Йогурт Нежный с Пюре Яблока и Абрикоса [Campina];82;2,4;0,1;17,8
Йогурт Нежный с Соком Абрикоса и Манго [Campina];85;2,5;1,2;16
Йогурт Нежный с Соком Абрикоса и Манго 1,2% [Campina];85;2,5;1,2;16
Йогурт Нежный с Соком Арбуза [Campina];64;1,4;0,1;14
Йогурт Нежный с Соком Банана и Клубники [Campina];85;2,5;1,2;16
Йогурт Нежный с Соком Вишни [Campina];50;1,5;0,1;11
Йогурт Нежный с Соком Вишни 1,2% [Campina];85;2,5;1,2;16
Йогурт Нежный с Соком Граната и Малины [Campina];50;1,5;0,1;11
Йогурт Нежный с Соком Клубники 0,1% [Campina];75;2,5;0,1;16
Йогурт Нежный с Соком Лесных Ягод 0,1% [Campina];75;2,5;0,1;16
Йогурт Нежный с Соком Лесных Ягод 1,2% [Campina];85;2,5;1,2;16
Йогурт Нежный с Соком Малины и Земляники [Campina];85;2,5;1,2;16
Йогурт Нежный с Соком Персика [Campina];85;2,5;1,2;16
Йогурт Нежный с Соком Персика 0,1% [Campina];75;2,5;0,1;16
Йогурт Нежный с Ягодами Черники [Campina];100;2,5;2,5;17
Йогурт Нежный Сливочный с Соком Абрикоса и Манго [Campina];120;2,4;5;16
Йогурт Нежный Сливочный с Соком Клубники [Campina];120;2,4;5;16
Йогурт Нежный Сливочный с Соком Персика [Campina];120;2,4;5;16
Йогурт Нежный Ягодное Мороженое [Campina];85;2,5;1,2;16
Йогурт Питьевой [Campina];64;1,4;0,1;14,1
Йогурт Питьевой Нежный с Соком Клубники [Campina];50;1,5;0,1;11
Йогурт с Соком Клубники [Campina];60;1,4;0,1;14
Йогурт с Соком Лесных Ягод [Campina];64;1,4;0,1;14,1
Йогурт Суперэкстра [Campina];146;2,1;8;16,4
Молоко Питьевое Стерилизованное для Кофе 5% [Campina];73;2,6;5;4,5
"Напиток Йогуртный ""Нежный"" [Campina]";60;1,4;0,1;14
Нежный Груша в Карамели [Campina];85;2,5;1,2;16
Нежный Йогурт [Campina];75;2,5;0,1;16
Нежный Пудинг Ванильный [Campina];97;1,9;2,4;17
Нежный Пудинг Шоколадный [Campina];100;2,2;2,5;17
Нежный с Пюре Яблока и Абрикоса [Campina];82;2,4;0,1;17,8
Нежный с Соком Абрикоса и Манго [Campina];50;1,5;0,1;11
Нежный с Соком Арбуза [Campina];50;1,5;0,1;11
Нежный с Соком Вишни [Campina];85;2,5;1,2;16
Нежный с Соком Граната и Малины [Campina];64;1,4;0,1;14,2
Нежный с Соком Клубники [Campina];85;2,5;1,2;16
Нежный с Соком Лесных Ягод [Campina];50;1,5;0,1;11
Нежный с Соком Малины и Земляники [Campina];50;1,5;0,1;11
Нежный Сливочный с Соком Малины и Земляники [Campina];120;2,4;5;16
Питьевой Йогурт Нежный [Campina];60;1,4;0,1;14
"Продукт Йогуртный ""Нежный"" с Соком Клубники [Campina]";94;2,5;1,2;18,1
Продукт Йогуртный Нежный [Campina];95;2,5;1,2;18
Продукт Йогуртный с Соком Лесных Ягод Нежный [Campina];85;2,5;1,2;16
Пудинг Молочный Ванильный со Взбитыми Сливками [Campina];94;3;1,2;18
Пудинг Молочный Шоколадный со Взбитыми Сливками [Campina];97;3,1;1,3;18
Пудинг Нежный Карамельный [Campina];108;2,9;2,3;19
Сливки 10% [Campina];120;2,8;10;4,4
Сливки 10% [Campina];12;0,3;1;0,4
Сливки 5% [Campina];73;2,6;5;4,5
Сливки 8% [Campina];100;2,6;8;4,5
Сливки для Кофе [Campina];120;2,8;10;4,4
Сливки для Кофе 10% [Campina];12;0,3;1;0,4
Сливки для Кофе Light 5% [Campina];73;2,6;5;4,5
"Сливки для Кофе со Вкусом ""Корица"" [Campina]";100;2,6;8;4,5
Сливки Питьевые Стерилизованные [Campina];12;0,3;1;0,5
Сливки Порционные [Campina];12;0,3;1;0,5
Шоколадный Пудинг [Campina];100;2,2;2,5;17
