Продукт;Калорийность кКал;Белки г;Жиры г;Углеводы г
Айвовый сок;51;0,5;0,1;11,2
Ананасовый и апельсиновый сок напиток, консервированный;50;1,3;0;11,7
Ананасовый и грейпфрутовый сок-напиток, консервированный;47;0,2;0,1;11,5
Апельсиновый и абрикосовый сок-напиток, консервированный;51;0,3;0,1;12,6
Апельсиновый напиток, консервированный, с доб витамина C;49;0;0,07;12,34
Апельсиновый напиток, с соком и мякотью, замороженный концентрат, приготовленный на воде;45;0,12;0;11,32
Апельсиновый сок-напиток;54;0,2;0;13,21
Арзни;0;0;0;0
Боржоми;0;0;0;0
Виноградный напиток, консервированный;61;0;0;15,72
Виноградный сок-напиток, консервированный;57;0;0;14,45
Вода;0;0;0;0
"Вода ""Ливония"" (г. Владивосток)";0;0;0;0
"Вода ""Перье"" (PERRIER)";0;0;0;0
Вода водопроводная питьевая;0;0;0;0
Вода водопроводная, городская;0;0;0;0
Вода колодезная (из подземного источника);0;0;0;0
Вода, бутилированная, POLAND SPRING;0;0;0;0
Вода, бутилированная, в общем;0;0;0;0
Вода, бутилированная, негазированная, CALISTOGA;0;0;0;0
Вода, бутилированная, негазированная, CRYSTAL GEYSER;0;0;0;0
Вода, бутилированная, негазированная, DANNON;0;0;0;0
Вода, бутилированная, негазированная, DANNON Fluoride To Go;0;0;0;0,03
Вода, бутилированная, негазированная, DASANI;0;0;0;0
Вода, бутилированная, негазированная, EVIAN;0;0;0;0
Вода, бутилированная, негазированная, NAYA;0;0;0;0
Вода, бутилированная, негазированная, PEPSI,(пепси), AQUAFINA;0;0;0;0
Вода, бутилированная, Перье, PERRIER;0;0;0;0
Вода, негазированная, бутылированная, с натуральным фруктовым вкусом, с низкокалорийным подсластителем;1;0;0;0,13
Вода, с доб. витаминов и минералов, бутилированная, подслащенная, со вкусом фруктового ассорти;22;0;0;5,49
Вода, с кукурузным сиропом и/или сахаром и низкокалорийным подсластителем, с фруктовым вкусом;18;0;0;4,5
Газированный напиток, апельсиновый;48;0;0;12,3
Газированный напиток, виноградная сода;43;0;0;11,2
Газированный напиток, Имбирный эль;34;0;0;8,76
Газированный напиток, кола, без кофеина;41;0;0;10,58
Газированный напиток, кола, с высоким содерж. кофеина;42;0;0,25;10,36
Газированный напиток, кола, с кофеином;37;0,07;0,02;9,56
Газированный напиток, Корневое пиво, Саспарилла;41;0;0;10,6
Газированный напиток, крем-сода;51;0;0;13,3
Газированный напиток, лимон-лайм сода, с кофеином;41;0,09;0;10,42
Газированный напиток, низкокалорийный, исключая кола или пеппер, без кофеина;0;0,1;0;0
Газированный напиток, низкокалорийный, исключая кола или пеппер, с добавками: аспартам, с кофеином;0;0,1;0;0
Газированный напиток, низкокалорийный, исключая кола или пеппер, с натриевым сахарином, без кофеина;0;0;0;0,1
Газированный напиток, низкокалорийный, кола или пеппер, с добавками: аспартам, без кофеина;1;0,12;0;0,12
Газированный напиток, низкокалорийный, кола или пеппер, с добавками: аспартам, с кофеином;2;0,11;0,03;0,29
Газированный напиток, низкокалорийный, кола или пеппер, с натриевым сахарином, с кофеином;0;0;0;0,1
Газированный напиток, пеппер, с кофеином;41;0;0,1;10,4
Газированный напиток, с уменьшенным содерж. сахара, кола, с кофеином и подсластителями;20;0;0;5,16
Газированный напиток, сода со вкусом шоколада;42;0;0;10,7
Газированный напиток, содовая вода;0;0;0;0
Газированный напиток, СПРАЙТ, с лимонно-лаймовым вкусом, без кофеина;40;0,05;0,02;10,14
Газированный напиток, тоник;34;0;0;8,8
Ессентуки №4;0;0;0;0
Заменитель кофе, напиток из злаков, порошок;360;6,01;2,52;55,12
Заменитель кофе, напиток из злаков, порошок, приготовленный на воде;6;0,1;0,04;0,9
Заменитель кофе, напиток из злаков, порошок, приготовленный на цельном молоке;65;3,3;3,3;5,5
Какао смесь, без добавления сахара, порошок;377;15,49;3;64,43
Какао смесь, НЕСТЛЕ, Hot Cocoa Mix Rich Chocolate с Маршмэллоу;400;2,8;15;71,3
Какао смесь, НЕСТЛЕ, Rich Chocolate Hot Cocoa Mix;400;3;15;71
Какао смесь, порошок;398;6,67;4;80,03
Какао смесь, порошок, приготовленный на воде;55;0,92;0,55;11,04
Какао смесь, с аспартамом, низкокалорийный, порошок, с доб кальция фосфора, без доб натрия или витамина A;359;25,1;3;56,9
Какао смесь, с аспартамом, порошок, приготовленный на воде;29;1,21;0,23;5,01
Квас хлебный;27;0,2;0;5,2
Кисель из вишневого сока по 2-132;78;0,2;0;18,9
Кисель из клюквы по 2-126;53;0;0;13
Кисель из кураги по 2-130;54;0,4;0;12,9
Кисель из сливового варенья по 2-134;63;0,1;0;15,5
Кисель из сушеных яблок по 2-130;66;0,1;0;16,3
Кисель из яблок по 2-128;97;0,1;0,1;23,7
Клюквенно-абрикосовый сок-напиток, бутилированный;64;0,2;0;16,1
Клюквенно-виноградный сок-напиток, бутилированный;56;0,2;0,1;13,9
Клюквенно-яблочный сок-напиток, бутилированный;63;0;0,11;15,85
Клюквенно-яблочный сок-напиток, низкокалорийный, с доб. витамина C;19;0,1;0;4,6
Клюквенный сок-коктейль, бутилированный;54;0;0,1;13,52
Клюквенный сок-коктейль, бутилированный, низкокалорийный, с кальцием, сахарином и кукурузным подсластителем;19;0,02;0,01;4,6
Клюквенный сок-коктейль, замороженный концентрат;201;0,05;0;51,25
Клюквенный сок-коктейль, замороженный концентрат, приготовленный на воде;47;0,01;0;11,81
Коктейль микс, без доб сахара, концентрированный, замороженный;287;0,08;0,01;71,6
Коктейль, виски сауэр, микс, бутилированный;87;0,1;0,1;21,4
Коктейль, виски сауэр, микс, порошок;383;0,6;0,1;97,3
Коктейль, виски сауэр, микс,, бутилированный, с доб. калия и натрия;84;0,1;0,1;21,4
Компот вишневый по 2-120;57;0,2;0,1;13,8
Компот грушевый по 2-118;55;0,1;0,1;13,4
Компот из абрикосов по 2-122;56;0,2;0;13,6
Компот из айвы по 2-118;56;0,1;0,1;13,7
Компот из крыжовника и черной смородины по 2-124;58;0,3;0,1;13,9
Компот персиковый по 2-122;88;0,2;0;21,8
Компот черешневый по 2-120;58;0,2;0,1;14
Компот яблочный по 2-118;55;0,1;0,1;13,6
Кофе жареный в зернах;331;13,9;14,4;29,5
Кофе и какао (мокка) порошок, с забеливателем и и низкокалорийным подсластителем, без кофеина;440;9;13,21;66,6
Кофе молотый, сваренный на водопроводной воде;1;0,12;0,02;0
Кофе молотый, сваренный на водопроводной воде, без кофеина;0;0,1;0;0
Кофе на молоке;58;0,7;1;11,2
Кофе на сгущёном молоке;55;0,7;0,9;10,9
Кофе натуральный, молотый;200,6;13,9;14,4;4,1
Кофе растворимый с цикорием, приготовленный на воде;3;0,09;0;0,75
Кофе растворимый, без кофеина, порошок;351;11,6;0,2;76
Кофе растворимый, без кофеина, приготовленный на воде;2;0,12;0;0,43
Кофе растворимый, обычный, порошок, с половинным содерж. кофеина;352;14,42;0,5;73,18
Кофе растворимый, порошок;353;12,2;0,5;75,4
Кофе растворимый, приготовленный на воде;2;0,1;0;0,34
Кофе растворимый, с сахаром, с ароматом мокка, порошок;460;5,29;15,87;72,14
Кофе растворимый, с цикорием, порошок;355;9,3;0,2;78,4
Кофе растворимый, сухой;118,7;15;3,6;7
Кофе чёрный без сахара;7;0,2;0,5;0,2
Кофе эспрессо, приготовленный в ресторане;9;0,12;0,18;1,67
Кофе эспрессо, приготовленный в ресторане, без кофеина;9;0,1;0,18;1,69
Краинская;0;0;0;0
Лимонад, замороженный концентрат, белый;196;0,22;0,7;49,59
Лимонад, замороженный концентрат, белый, приготовленный на воде;40;0,07;0,04;10,42
Лимонад, замороженный концентрат, розовый;192;0,22;0,69;48,56
Лимонад, замороженный концентрат, розовый, приготовленный на воде;43;0,05;0,15;10,71
Лимонад, замороженный концетрат, приготовленный на воде;52;0;0;13,79
