Продукт;Калорийность кКал;Белки г;Жиры г;Углеводы г
Aquarius [Coca-Cola];18;0;0;4,4
Aquarius Lemon [Coca-Cola];14;0;0;3,3
Cacaolat [Coca-Cola];40;2,7;0,5;4,3
Cherry (Банка) [Coca-Cola];150;0;0;42
Cherry [Coca-Cola];150;0;0;42
Cherry Zero [Coca-Cola];0;0;0;0
Cherry без Сахара [Coca-Cola];0;0;0;0
Coca-Cola;42;0;0;10,6
Coca-Cola Cherry без Сахара;0;0;0;0
Coca-Cola Cinnamon;0;0;0;0
Coca-Cola Energy;42;0;0;10,3
Coca-Cola Life;90;0;0;24
Coca-Cola Light;0;0;0;0
Coca-Cola Orange без Сахара;1;0;0;0
Coca-Cola Zero;0;0;0;0
Coca-Cola Лайм;43;0;0;10,6
Energy без Сахара [Coca-Cola];1;0;0;0
Fanta Apple [Coca-Cola];51;0;0;13,5
Sprite [Coca-Cola];19;0;0;4,5
Sprite Вкус Огурец [Coca-Cola];39;0;0;9,7
Sprite со Вкусом Арбуз-Огурец [Coca-Cola];1;0;0;0
Vanilla [Coca-Cola];150;0;0;42
Vanilla [Coca-Cola];45;0;0;11,2
Вода [Coca-Cola];0;0;0;0
Кока-Кола Ванилла [Coca-Cola];45;0;0;11,2
Кока-Кола Зеро [Coca-Cola];0;0;0;0
Кола [Coca-Cola];42;0;0;10,6
Кола Лайт [Coca-Cola];0;0;0;0
Напиток [Coca-Cola];42;0;0;10,6
