Продукт;Калорийность кКал;Белки г;Жиры г;Углеводы г
1 Кусок [Ростик'c - KFC];130;9,8;6,8;7,5
1 КУСОК КУРИЦЫ 1/53г (порция 53 гр) [Ростик'c - KFC];130,2;9,8;6,8;7,5
2 КУСКА КУРИЦЫ 2/53г (порция 106 гр) [Ростик'c - KFC];260,3;19,6;13,6;14,9
2 Стрипса Оригинальные [Ростик'c - KFC];162;13,7;8,5;7,7
2 СТРИПСА оригинальные 2/28г (порция 56 гр) [Ростик'c - KFC];162,2;13,7;8,5;7,7
2 Стрипса Острые [Ростик'c - KFC];137;12,5;5,8;8,8
2 Стрипса Острые [Ростик'c - KFC];245;22,3;10,3;15,8
2 СТРИПСА острые 2/28г (порция 56 гр) [Ростик'c - KFC];137,3;12,5;5,8;8,8
3 Крылышка [Ростик'c - KFC];254;13,4;16,8;12,5
3 КУСКА КУРИЦЫ 3/53г (порция 159 гр) [Ростик'c - KFC];390,5;29,4;20,4;22,4
3 Стрипса Оригинальные [Ростик'c - KFC];243;20,6;12,8;11,5
3 СТРИПСА оригинальные 3/28г (порция 84 гр) [Ростик'c - KFC];243,3;20,6;12,8;11,5
3 СТРИПСА острые 3/28г (порция 84 гр) [Ростик'c - KFC];205,9;18,7;8,7;13,3
3 Стрипса Острых [Ростик'c - KFC];206;18,7;8,7;13,3
5 За 300 [Ростик'c - KFC];796;25,5;142;99
5 Крыльев [Ростик'c - KFC];424;22,4;27,9;20,8
5 СТРИПСОВ оригинальные 5/28г (порция 140 гр) [Ростик'c - KFC];405,4;34,3;21,3;19,2
5 СТРИПСОВ острые 5/28г (порция 140 гр) [Ростик'c - KFC];343,1;31,2;14,4;22,1
6 Стрипса Острых [Ростик'c - KFC];412;37,5;17,3;26,5
6 Стрипсов Оригинальные [Ростик'c - KFC];388;40,8;14,4;23,8
7Up Мохито [Ростик'c - KFC];45;0;0;11
8 Крылышек [Ростик'c - KFC];678;35,9;44,7;33,3
I-Twister [Ростик'c - KFC];267;10,5;12,3;28,7
I-Twister Cheese [Ростик'c - KFC];256;9,7;13,7;23,3
KFC БАСКЕТ ФРИ (порция 240 гр) [Ростик'c - KFC];662,4;9,1;37,2;72,2
KFC ВАФЛЯ БЕЛЬГИЙСКАЯ (порция 90 гр) [Ростик'c - KFC];402,3;4,1;21,2;49,1
KFC ВАФЛЯ БЕЛЬГИЙСКАЯ С МОРОЖЕНЫМ (порция 130 гр) [Ростик'c - KFC];416;5,3;20,2;53,2
KFC ВАФЛЯ БЕЛЬГИЙСКАЯ С МОРОЖЕНЫМ И ТОППИНГОМ клубничным (порция 140 гр) [Ростик'c - KFC];480,2;5,6;22,8;63,4
KFC ВАФЛЯ БЕЛЬГИЙСКАЯ С МОРОЖЕНЫМ И ТОППИНГОМ мокка-карамель (порция 140 гр) [Ростик'c - KFC];487,2;5,6;22,8;65,1
KFC ВАФЛЯ БЕЛЬГИЙСКАЯ С МОРОЖЕНЫМ И ТОППИНГОМ шоколадным (порция 140 гр) [Ростик'c - KFC];484,4;5,7;22,8;64
KFC ВАФЛЯ БЕЛЬГИЙСКАЯ С ТОППИНГОМ:клубничным (порция 100 гр) [Ростик'c - KFC];425;4,1;21,2;54,5
KFC ВАФЛЯ БЕЛЬГИЙСКАЯ С ТОППИНГОМ:мокка-карамель (порция 100 гр) [Ростик'c - KFC];432;4,1;21,2;56,3
KFC ВАФЛЯ БЕЛЬГИЙСКАЯ С ТОППИНГОМ:шоколадным (порция 100 гр) [Ростик'c - KFC];428;4,2;21,3;55,1
KFC ГЛЯСЕ (порция 260 гр) [Ростик'c - KFC];83,2;2,3;2,3;13,3
KFC ГОРЯЧИЙ ШОКОЛАД (порция 230 гр) [Ростик'c - KFC];73,6;2,1;2,1;11,7
KFC КАПУЧИНО (порция 200 гр) [Ростик'c - KFC];64;4,4;2,2;6,6
KFC КАРТОФЕЛЬ ФРИ мал. (порция 70 гр) [Ростик'c - KFC];193,2;2,7;10,9;21,1
KFC КАРТОФЕЛЬ ФРИ станд. (порция 120 гр) [Ростик'c - KFC];331,2;4,6;18,6;36,1
KFC КОКА-КОЛА ЛАЙТ/ ПЕПСИ-КОЛА ЛАЙТ Большой 0,75л (порция 750 гр) [Ростик'c - KFC];1,5;0;0;0,8
KFC КОКА-КОЛА ЛАЙТ/ ПЕПСИ-КОЛА ЛАЙТ Детский 0,3л (порция 300 гр) [Ростик'c - KFC];0,6;0;0;0,3
KFC КОКА-КОЛА ЛАЙТ/ ПЕПСИ-КОЛА ЛАЙТ Малый 0,4л (порция 400 гр) [Ростик'c - KFC];0,8;0;0;0,4
KFC КОКА-КОЛА ЛАЙТ/ ПЕПСИ-КОЛА ЛАЙТ Стандарт 0,5л (порция 500 гр) [Ростик'c - KFC];1;0;0;0,5
KFC КОКА-КОЛА/ПЕПСИ-КОЛА Большой 0,75л (порция 750 гр) [Ростик'c - KFC];315;0;0;82,5
KFC КОКА-КОЛА/ПЕПСИ-КОЛА Детский 0,3л (порция 300 гр) [Ростик'c - KFC];126;0;0;33
KFC КОКА-КОЛА/ПЕПСИ-КОЛА Малый 0,4л (порция 400 гр) [Ростик'c - KFC];168;0;0;44
KFC КОКА-КОЛА/ПЕПСИ-КОЛА Стандарт 0,5л (порция 500 гр) [Ростик'c - KFC];210;0;0;55
KFC КОФЕ ГЛЯСЕ 0,2 ЗЕРНОВОЙ (порция 260 гр) [Ростик'c - KFC];83,2;2,3;2,3;13,3
KFC КОФЕ КАПУЧИНО 0,2 ЗЕРНОВОЙ (порция 150 гр) [Ростик'c - KFC];61,5;2,9;3,5;4,7
KFC КОФЕ КАПУЧИНО 0,3 ЗЕРНОВОЙ (порция 190 гр) [Ростик'c - KFC];74,1;3,4;4,2;5,7
KFC КОФЕ ЛАТТЕ 0,3 ЗЕРНОВОЙ (порция 250 гр) [Ростик'c - KFC];122,5;5,5;7;9,5
KFC КУКУРУЗА (порция 94 гр) [Ростик'c - KFC];104,3;1,8;4,2;14,9
KFC ЛАТТЕ (порция 300 гр) [Ростик'c - KFC];129;9;4,5;13,2
KFC МОРОЖЕНОЕ (порция 120 гр) [Ростик'c - KFC];168;4,7;4,8;26,5
KFC МОРОЖЕНОЕ В РОЖКЕ (порция 85 гр) [Ростик'c - KFC];130,9;3,7;3,3;21,5
KFC САЛАТ ВЕДЖИ (порция 200 гр) [Ростик'c - KFC];54;2;2,6;5,4
KFC Салат Коул Слоу (порция 130 гр) [Ростик'c - KFC];158,6;1,8;10,3;14,7
KFC САЛАТ ЦЕЗАРЬ (порция 211 гр) [Ростик'c - KFC];335,5;22,2;19,2;18,4
KFC Салат ЦЕЗАРЬ овощной (порция 155 гр) [Ростик'c - KFC];173,6;8,5;10,7;10,7
KFC СПРАЙТ/ 7UP Большой 0,75л (порция 750 гр) [Ростик'c - KFC];217,5;0;0;52,5
KFC СПРАЙТ/ 7UP Детский 0,3л (порция 300 гр) [Ростик'c - KFC];87;0;0;21
KFC СПРАЙТ/ 7UP Малый 0,4л (порция 400 гр) [Ростик'c - KFC];116;0;0;28
KFC СПРАЙТ/ 7UP Стандарт 0,5л (порция 500 гр) [Ростик'c - KFC];145;0;0;35
KFC топпинг клубничный (порция 15 гр) [Ростик'c - KFC];33,5;0;0;8,2
KFC топпинг мокка-карамель (порция 15 гр) [Ростик'c - KFC];43,1;0;0;10,8
KFC топпинг шоколадный (порция 15 гр) [Ростик'c - KFC];38,6;0,2;0,2;9,1
KFC ФАНТА/ МИРИНДА Большой 0,75л (порция 750 гр) [Ростик'c - KFC];232,5;0;0;56,3
KFC ФАНТА/ МИРИНДА Детский 0,3л (порция 300 гр) [Ростик'c - KFC];93;0;0;22,5
KFC ФАНТА/ МИРИНДА Малый 0,4л (порция 400 гр) [Ростик'c - KFC];124;0;0;30
KFC ФАНТА/ МИРИНДА Стандарт 0,5л (порция 500 гр) [Ростик'c - KFC];155;0;0;37,5
KFC ЧИЗКЕЙК С ИЗЮМОМ (порция 104 гр) [Ростик'c - KFC];283,9;7,7;13,4;32,7
KFC ЧИЗКЕЙК С КЛУБНИЧНЫМ ТОППИНГОМ (порция 114 гр) [Ростик'c - KFC];304,4;7,8;13,5;38,1
KFC ЧИЗКЕЙК С ТОППИНГОМ МОККА-КАРАМЕЛЬ (порция 114 гр) [Ростик'c - KFC];311,2;7,8;13,5;39,9
KFC ЧИЗКЕЙК С ШОКОЛАДНЫМ ТОППИНГОМ (порция 114 гр) [Ростик'c - KFC];307,8;7,9;13,6;38,6
Азиатский Твистер [Ростик'c - KFC];462;21,8;18;53,1
Ай-Твистер Новый [Ростик'c - KFC];230;10,8;9,7;24,8
Ай-Твистер Русс [Ростик'c - KFC];259;10,4;13,3;24,3
Ай-Твистер Терияки [Ростик'c - KFC];224;9,7;7,6;29,4
Ай-Твистер Чиз [Ростик'c - KFC];245;11,4;11,9;23,1
Ай-Твистер Чизз-BBQ [Ростик'c - KFC];229;11,5;8,8;25,9
Американо [Ростик'c - KFC];17;0,2;0,5;2,9
Американо [Ростик'c - KFC];78;0,6;1,5;15,6
Байтс [Ростик'c - KFC];268;23,5;11,9;16,6
Байтс Терияки [Ростик'c - KFC];296;19;11,3;29,8
Байтсы [Ростик'c - KFC];220;20,8;11,5;8,4
Байтсы [Ростик'c - KFC];220;20,8;11,5;8,4
Байтсы Большие [Ростик'c - KFC];767;61,7;39,9;40,2
Байтсы из Куриного Филе [Ростик'c - KFC];256;20,6;13,3;13,4
Байтсы из Куриного Филе Острые [Ростик'c - KFC];804;70,5;35,7;49,8
Байтсы из Куриного Филе с Соусом Барбекю [Ростик'c - KFC];240;17,5;8,9;22,3
Байтсы Малые [Ростик'c - KFC];243;19,5;12,6;12,7
Байтсы Средние [Ростик'c - KFC];220;20,8;11,5;8,4
Байтсы Терияки [Ростик'c - KFC];301;16,9;12,3;30,7
Баскет 16 Крыльев [Ростик'c - KFC];1432;88,8;79,9;88,9
Баскет 25 Крыльев [Ростик'c - KFC];2029;118,5;131,2;93,5
Баскет L [Ростик'c - KFC];2280;147;156;73,5
Баскет S [Ростик'c - KFC];1064;68,6;72,8;34,3
Баскет Дуэт [Ростик'c - KFC];1625;111,8;95,6;78,9
Баскет Дуэт Оригинальный [Ростик'c - KFC];1310;70;75;89
Баскет Дуэт с Оригинальными Стрипсами [Ростик'c - KFC];309;21,2;17,6;16,6
Баскет Дуэт с Острыми Стрипсами [Ростик'c - KFC];1170;76,3;62,6;75,1
Баскет От Шефа [Ростик'c - KFC];681;49,4;38,4;34,4
Баскет Фри [Ростик'c - KFC];552;7,6;31;60,2
Бельгийская Вафля [Ростик'c - KFC];402;4,1;21,2;49,1
БИГГЕР оригинальный (порция 258 гр) [Ростик'c - KFC];619,2;33;28,4;58,3
Биггер Оригинальный [Ростик'c - KFC];622;32,9;28,2;58,5
БИГГЕР острый (порция 258 гр) [Ростик'c - KFC];580,5;31,2;24,3;59,9
Биггер Острый [Ростик'c - KFC];583;31,1;24,1;60,1
Блинчики [Ростик'c - KFC];205;8;4,7;32,9
Боксмастер без Соуса [Ростик'c - KFC];285;20,6;10;50,7
БОКСМАСТЕР ИЗ ТОСТЕРА оригинальный (порция 253 гр) [Ростик'c - KFC];690,7;21,5;41,7;57,4
Боксмастер из Тостера Оригинальный [Ростик'c - KFC];614;23,4;38,4;43,8
БОКСМАСТЕР ИЗ ТОСТЕРА острый (порция 253 гр) [Ростик'c - KFC];708,4;22,8;44,5;53,9
Боксмастер из Тостера Острый [Ростик'c - KFC];653;21,8;42,2;46,9
Боксмастер Оригинальный [Ростик'c - KFC];629;27;38,4;43,9
Боксмастер Оригинальный [Ростик'c - KFC];620;9,3;12,5;20,8
Боксмастер Острый [Ростик'c - KFC];267;9,9;15,1;22,8
Боксмастер Терияки [Ростик'c - KFC];250;10,8;12,8;22,9
Боксмастер Утренний [Ростик'c - KFC];224;11,4;11,1;19,8
Боксмастер Чизз-Бекон [Ростик'c - KFC];633;24,3;40,3;43,4
Брейкер [Ростик'c - KFC];322;15,6;15,4;30,5
Бургер Русс [Ростик'c - KFC];319;19;13,9;29,6
Бустер [Ростик'c - KFC];219;12,6;10,1;19,5
Ванильный Дюшес [Ростик'c - KFC];182;0;0;45,5
Дабл Чикен [Ростик'c - KFC];324;26,8;14,5;21,3
Дабл Чикен Кентукки BBQ [Ростик'c - KFC];222;18,9;10,4;13,2
Дабл Шефбургер [Ростик'c - KFC];569;37,6;24,9;48,7
Двойной Тёмный Бургер [Ростик'c - KFC];1033;57,9;54,5;77,6
Донат Клубничный [Ростик'c - KFC];417;4,8;24;47
Донат Яблоко-Корица [Ростик'c - KFC];378;4,7;18;48
Зингер [Ростик'c - KFC];363;18,2;16,8;34,9
ЗОЛОТОЙ ФАЗАН 0,3л (порция 300 гр) [Ростик'c - KFC];138;0;0;14,1
Итальянский Салат Ролл [Ростик'c - KFC];431;19;19;45,4
Капучино [Ростик'c - KFC];49;1,9;1,1;7,8
Капучино 0,4 [Ростик'c - KFC];128;5,1;2,8;19,9
Картофель по-Деревенски [Ростик'c - KFC];265;3;17,4;24,2
Картофель по-Деревенски Малый [Ростик'c - KFC];212;2,4;13,9;19,4
Картофель Фри [Ростик'c - KFC];276;3,8;15,5;30,1
Картофель Фри Маленькая [Ростик'c - KFC];193;2,7;10,9;21,1
Картофель Фри Малый [Ростик'c - KFC];166;3,8;15,5;30,1
Картофель Фри Стандартный [Ростик'c - KFC];331;4,6;18,6;36,1
Картофельные Кранчи Фри [Ростик'c - KFC];233;2,6;18,8;13,1
Картофельный Хашбраун [Ростик'c - KFC];534;2,4;52;14,1
Картошка Фри [Ростик'c - KFC];276;3,8;15,5;30,1
Кекс Апельсиновый [Ростик'c - KFC];414;4,9;22,8;47,4
