Продукт;Калорийность кКал;Белки г;Жиры г;Углеводы г
Max Мясо на Углях [Lay's];510;6;30;54
Maxx Куриные Крылышки Барбекю [Lay's];520;6;32;53
Oven Baked [Lay's];443;5;14;71
"Stax ""Колбаски Чоризо"" [Lay's]";500;6;27;57
Stax Копченый Лосось [Lay's];500;6;28;56
Stax Краб [Lay's];490;5;27;57
Stax Рёбрышки Барбекю [Lay's];500;6;25;62
Stax Ребрышки Барбекю [Lay's];490;6;27;56
Stax с Луком [Lay's];520;5,5;30;57
Stax с Солью [Lay's];530;5;31;57
Stax Сливочный Сыр [Lay's];500;6;28;55
Stax Сметана и Лук [Lay's];490;6;27;56
Stix Кетчуп [Lay's];510;6;30;53
Stix Сыр Чеддер [Lay's];520;6;32;53
Strong Королевская Креветка [Lay's];510;6;30;53
Strong Охотничьи Колбаски [Lay's];500;6;30;52
Strong Холодец с Хреном [Lay's];500;6,2;30;52
Strong Чипсы К Пиву Чеснок [Lay's];510;6,5;30;53
Белые Грибы со Сметаной [Lay's];520;6;32;51
Грибы в Сливочном Соусе [Lay's];520;6;31;53
из Печи Ароматный Укроп [Lay's];450;5;17;68
Итальянская Фокачча [Lay's];510;6,5;30;53
Картофельные Чипсы со Вкусом Ароматный Укроп [Lay's];450;5;17;69
Картофельные Чипсы со Вкусом Сыра [Lay's];520;6,5;31;53
Картошечка с Маслом и Укропом [Lay's];520;6;32;52
Лосось в Сливочном Соусе [Lay's];520;6;32;53
Мега Бекон [Lay's];510;6,5;30;53
Пикантная Паприка [Lay's];490;5;27;57
Рёбрышки Гриль [Lay's];520;6;32;53
Сметана и Лук [Lay's];510;6;30;53
Соломка из Натурального Картофеля [Lay's];510;6;30;53
Чипсы «Красная Икра» [Lay's];530;6;32;54
Чипсы [Lay's];520;6;32;53
Чипсы Black Star Burger BBQ [Lay's];510;6;30;53
Чипсы Strong Королевская Креветка [Lay's];510;6;30;53
Чипсы Strong Острый Чили [Lay's];500;6,5;30;52
Чипсы Strong Охотничьи Колбаски [Lay's];500;6,4;30;52
Чипсы Аргентинские Ребрышки [Lay's];510;6;30;53
Чипсы Белые Грибы со Сметаной [Lay's];520;6;32;51
Чипсы Донер [Lay's];510;6;30;53
Чипсы Зелёный Лук [Lay's];510;6,5;30;53
Чипсы Зеленый Лук [Lay's];510;6,5;30;53
Чипсы из Печи Королевский Краб [Lay's];440;5,5;16;69
Чипсы из Печи Лисички в Сметане [Lay's];450;6;17;68
Чипсы из Печи Нежный Сыр с Зеленью [Lay's];440;5,5;16;69
Чипсы из Печи Сметана и Ароматные Травы [Lay's];440;5,5;16;69
Чипсы Итальянская Лазанья [Lay's];510;6,2;30;53
Чипсы Итальянская Фокачча [Lay's];510;6,5;30;53
Чипсы Итальянские Колбаски [Lay's];520;6;32;52
Чипсы К Пиву [Lay's];500;6,5;30;52
Чипсы Краб [Lay's];520;6;32;53
Чипсы Куриные Крылышки Барбекю [Lay's];510;6;30;53
Чипсы Лосось в Сливочном Соусе [Lay's];520;6;32;53
Чипсы Малосольные Огурчики [Lay's];510;6;30;53
Чипсы Малосольные Огурчики с Укропом [Lay's];520;6,5;31;53
Чипсы Мексиканский Буррито [Lay's];510;6;30;53
Чипсы Нежный Сыр с Луком [Lay's];530;6,5;32;53
Чипсы Пицца 4 Сыра [Lay's];510;6,5;30;53
Чипсы Рифленые Нежный Сыр с Луком [Lay's];510;6,5;30;53
Чипсы Рифлёные Сметана и Лук [Lay's];520;6;32;53
Чипсы Рифленые Сметана и Лук [Lay's];510;6;30;53
Чипсы Рифленые со Вкусом Лобстера [Lay's];510;6;30;53
Чипсы с Беконом [Lay's];510;6;30;53
Чипсы с Крабом [Lay's];510;6;30;53
Чипсы с Красной Икрой [Lay's];510;6;30;54
Чипсы с Паприкой [Lay's];520;6;32;51
Чипсы с Солью [Lay's];510;6;31;52
Чипсы с Сыром [Lay's];520;6;31;53
Чипсы с Чесноком [Lay's];510;6,5;30;53
Чипсы Сметана и Зелень [Lay's];520;6;32;53
Чипсы Сметана и Лук [Lay's];510;6;30;53
Чипсы со Вкусом Бекона [Lay's];510;6,5;30;53
Чипсы со Вкусом Краба [Lay's];520;6;32;53
Чипсы со Вкусом Лосося [Lay's];520;6;31;53
Чипсы со Вкусом Сметаны и Лука [Lay's];510;6;30;53
Чипсы со Вкусом Сыра [Lay's];520;6;32;53
Чипсы Сыр и Лук [Lay's];510;6,5;30;53
Чипсы Сыр Чеддер с Луковым Мотивом [Lay's];510;6;30;53
Чипсы Томаты с Нотками Ароматных Пряностей [Lay's];510;6;30;53
Чипсы Французский Сыр с Травами [Lay's];520;6;31;53
