Продукт;Калорийность кКал;Белки г;Жиры г;Углеводы г
Celebrations [Mars];493;5,5;24;62
Choc Brownie [Mars];452;4,6;18,3;66
Cookies [Mars];454;5,4;20,1;61,3
Dessert Sauce [Mars];326;1,3;8;62
Hi Protein Salted Caramel [Mars];209;20;4,9;23
Ice Cream [Mars];330;3,5;17,1;40,3
M&Ms [Mars];481;4,3;19,2;71,5
Mars;230;2,2;9;34
Mars;455;3,9;17,7;70
Mars Max;454;4,1;17,4;69,6
Mars Milk;70;3;2,1;9,6
Mars Milk;244;10,7;7,3;33,6
Mars Mini;80;0,6;2,8;12,8
Mars Minis;59;0,5;2,2;9,1
Mars Minis;452;3,8;17,1;70
Mars Protein;351;33;8,1;39
Mars Protein;200;19;4,6;22
Milkyway [Mars];120;0,9;4,4;19,3
Milkyway Minis [Mars];448;2,8;15,6;73,5
Xtra Choc Protein [Mars];188;18,1;4,2;21,8
Горячий Шоколад [Mars];175;7,9;4,1;26
Молочное Мороженое [Mars];330;3,5;17,1;40,3
Мороженное [Mars];170;2,1;9,1;19,9
Мороженное Сникерс [Mars];209;4;11,4;22,3
Мороженое [Mars];263;3,5;14,2;29,8
Мороженое [Mars];139;1,7;7,5;15,8
Мороженое Praline [Mars];339;3,5;17,6;41,3
Мороженое Баунти [Mars];348;4;21;36
Мороженое Сникерс [Mars];209;4;11,4;22,3
Печенье [Mars];435;4,6;16,3;66,2
Протеиновый Батончик [Mars];351;33;8,1;39
Протеиновый Батончик [Mars];231;22;5,3;25,7
Протеиновый Батончик Баунти [Mars];192;18,7;5,7;17,3
Сникерс Пломбир [Mars];509;8,2;27,5;56,3
Шоколадная Паста [Mars];573;3,1;36,4;57,6
Шоколадный Батончик [Mars];454;4,1;17,4;69,6
