Продукт;Калорийность кКал;Белки г;Жиры г;Углеводы г
Fitness Батончик с Цельными Злаками [Nestle (Нестле)];88;1,3;1,6;16,4
Fitness Батончик с Цельными Злаками и Клубникой [Nestle (Нестле)];87;1,4;1,6;16,2
Fitness Батончик с Цельными Злаками и Шоколадом [Nestle (Нестле)];88;1,3;1,7;16,3
Fitness Хлопья из Цельной Пшеницы [Nestle (Нестле)];352;9,2;2,2;73,9
Nuts [Nestle (Нестле)];247;3;12;31
Батончик Nestle Fitness с цельными злаками и клубникой [Nestle (Нестле)];369;5,8;6,7;68,9
Готовый завтрак Nestle Kosmostars звездочки и галактики медовые [Nestle (Нестле)];400;7,2;5;76,2
Гречневая каша Nestle безмолочная [Nestle (Нестле)];377;11;3;76,5
Гречневая каша Nestle безмолочная с черносливом [Nestle (Нестле)];377;11;3;76,5
Гречневая каша Nestle молочная [Nestle (Нестле)];410;14;10;66
Гречневая каша Nestle молочная с курагой [Nestle (Нестле)];410;14;10;66
Каша 3 злака Nestle молочная с яблоком и грушей [Nestle (Нестле)];416;14;10;67,5
Каша 5 злаков Nestle молочная с яблоком и бананом [Nestle (Нестле)];418;14;10;68
Кукурузные Хлопья Хрутка [Nestle (Нестле)];375;6,5;0,9;85,4
Мороженое Maxibon Страчателла [Nestle (Нестле)];314;3,4;15;40,5
Мороженое Nestle Extreme Пломбир с чёрной смородиной [Nestle (Нестле)];262;2,6;12,6;35,5
Мороженое Nestle Extreme Тропик [Nestle (Нестле)];236;2,4;7,5;39
Мороженое Nestle Maxibon с печеньем и орехами [Nestle (Нестле)];307;3,6;15;39,2
Мороженое Nestle Maxibon Страчателла [Nestle (Нестле)];307;3,6;15;39,4
Овсяная каша Nestle безмолочная [Nestle (Нестле)];382;10;6;72
Овсяная каша Nestle молочная с грушей и бананом [Nestle (Нестле)];406;14;10;65
Овсяная каша Nestle молочная с яблоком и абрикосом [Nestle (Нестле)];406;14;10;65
Пломбир 48 Копеек [Nestle (Нестле)];221;2,7;13,5;21,7
Пшеничная каша Nestle молочная с бананом [Nestle (Нестле)];414;15;10;66
Пшеничная каша Nestle молочная с тыквой [Nestle (Нестле)];414;15;10;66
Пшеничная каша Nestle молочная с яблоком [Nestle (Нестле)];414;15;10;66
Рисовая каша Nestle безмолочная [Nestle (Нестле)];381;6,5;1;86,5
Рисовая каша Nestle молочная с бананом [Nestle (Нестле)];422;12;10;70,9
Рисовая каша Nestle молочная с яблоком [Nestle (Нестле)];422;12;10;70,9
Фитнес Батончик [Nestle (Нестле)];87;1,4;1,6;16,2
Хлопья Fitness [Nestle (Нестле)];106;2,6;0,6;22,53
Хлопья Fitness с Фруктами [Nestle (Нестле)];364;6,4;2,8;75,5
Хлопья Fitness Темный Шоколад [Nestle (Нестле)];380;8,2;7,3;70,3
Хлопья Fitness Фрукты, Ягоды и Орехи [Nestle (Нестле)];350;6,5;2,9;74,6
Хлопья Nestle Fitness из цельной пшеницы [Nestle (Нестле)];357;8,3;2;76,4
Хлопья Nestle Fitness с тёмным шоколадом [Nestle (Нестле)];384;8;6,7;72,9
Хлопья Nestle Fitness с фруктами [Nestle (Нестле)];352;6,4;2,6;75,7
Хлопья Фитнесс [Nestle (Нестле)];353;8,6;0,9;17,1
Шоколад Nestle After Eight [Nestle (Нестле)];428;2,5;12,8;74,4
Шоколад Nestle for Men [Nestle (Нестле)];555;7,5;33,8;54,9
Шоколад Nestle for Men с фундуком [Nestle (Нестле)];572;8,6;36,5;47,8
Шоколад Nestle for Men с цельным миндалем [Nestle (Нестле)];560;8,6;35,8;51,1
Шоколад Nestle Nesquik [Nestle (Нестле)];485;5,9;22,1;65,6
