Продукт;Калорийность кКал;Белки г;Жиры г;Углеводы г
БМТ [Subway (Сабвей)];450;22;20;47
Индейка и Ветчина [Subway (Сабвей)];325;14;13,3;37
Кукис [Subway (Сабвей)];97;0,9;4,5;13,5
Курица Терияки [Subway (Сабвей)];305;21;6,4;40,5
Овощной [Subway (Сабвей)];220;6,1;5;37,2
Ролл с Куриной Грудкой [Subway (Сабвей)];438;22,8;9,8;64,8
Саб Куриная Грудка [Subway (Сабвей)];305;20,6;6,3;41,2
Саб Ростбиф [Subway (Сабвей)];269;12,4;7,7;37,2
Саб с Индейкой [Subway (Сабвей)];280;18;3,5;47
Саб с Тунцом [Subway (Сабвей)];362;15,6;15,9;38,8
Саб с Тунцом [Subway (Сабвей)];362;15,6;15,9;38,8
Салат с Куриной Грудкой [Subway (Сабвей)];117;15,7;2,3;8,6
Сэндвич Курица Терияки [Subway (Сабвей)];380;26;5;59
Сэндвич Острый Итальянский [Subway (Сабвей)];520;22;28;46
Сэндвич с Индейкой и Ветчиной [Subway (Сабвей)];326;14;13,3;37,2
