Продукт;Калорийность кКал;Белки г;Жиры г;Углеводы г
Arome Framboise [Ашан];37;4,3;0,1;4,7
Cannelloni [Ашан];324;12;1;67
Caramchoc [Ашан];396;8,4;5,2;76
Choco Crac [Ашан];506;8,2;26;59
Crousty [Ашан];414;5,4;11,3;71,1
Fromage Blanc [Ашан];110;7;7,8;2,9
Fromage Blanc 0% [Ашан];46;8;0;3,4
Fromage Blanc Vanille 0% [Ашан];76;7,1;0,1;12
Fromage Frais [Ашан];46;8;0,1;3,4
Galletas Fondants [Ашан];513;7,5;24;65
Golden Crack [Ашан];379;6,5;2;81
Lait Fourre [Ашан];569;8,3;37;50
Minicookies [Ашан];392;8,1;4;78
Noir Degustation 72% [Ашан];555;8,4;42,1;29,7
Noir Degustation 74% [Ашан];569;8;44,4;28,6
Noir Degustation 85% [Ашан];591;8;51,6;16,8
Pastina Gemmine [Ашан];350;12;1,2;71
Petit Brie [Ашан];355;19;31;0,1
Pomme Fraise [Ашан];69;0,5;0,5;14
Puffed Heart [Ашан];386;9,8;1,9;79
Up To Go A Grignoter [Ашан];474;5,8;18;71
Абрикос [Ашан];44;0,9;0,1;9
Абрикос Сушеный [Ашан];230;5;0,5;51
Абрикосы Сушёные [Ашан];220;1,5;0,5;52
Авокадо Хасс [Ашан];144;2;16;2,6
Азиатский Соус Wok с Грибами Шиитаке [Ашан];150;2;10;14
"Азу из Говядины ""Фермерская"" [Ашан]";240;14;20;0
Азу из Говядины [Ашан];123;19;5;0
Азу из Мяса Молодых Бычков [Ашан];240;14;20;0
Айва [Ашан];40;0,6;0,5;9,8
Алыча [Ашан];27;0,2;0;6,9
Ананас [Ашан];38;0,4;0,2;11,5
Ананас в Сиропе Кусочки [Ашан];70;0;0;17
Ананас Кольцо [Ашан];356;0,7;0,8;83,4
Ананас Кольцо Вес [Ашан];120;1,5;0,3;30
Ананас Листики Микс (Сушеный) [Ашан];350;0;0;87
Ананас Сушеные Язычки [Ашан];339;0,8;0,4;82,2
Ананас Сушеный Кубик [Ашан];339;0,8;0,4;82,2
Ананас Сушеный Язычки [Ашан];339;0,8;0,4;82,2
Антрекот из Говядины [Ашан];131;17;7;0
Антрекот из Телятины [Ашан];85;19;1;0
Антрекот на Кости из Мяса Молодых Бычков [Ашан];160;17;10;0
Апельсин [Ашан];43;0,9;0,2;8,1
Апельсин Темный Шоколад со Стевией [Ашан];453;5,2;31,8;37,1
Арахис в Кокосовой Глазури [Ашан];339;10;26;60
Арахис в Кунжуте [Ашан];480;14;28;52
Арахис в Молочном Шоколаде [Ашан];488;8,3;23,2;64,5
Арахис в Сахаре [Ашан];460;7,5;15;75
Арахис в Сырной Корочке [Ашан];498;13;32,8;37,7
Арахис в Хрустящей Корочке Васаби [Ашан];498;13;32,8;37,7
Арахис Жареный Солёный [Ашан];640;25;52;17
Арахис Необжаренный Несоленый [Ашан];561;27,9;47,9;4,5
Арахис с Васаби [Ашан];225;16;31;39
Арахис Соленый Жареный [Ашан];640;25;52;17
Арахис Сырой Очищенный [Ашан];550;26;45;8,5
Ассорти из Морепродуктов [Ашан];54;8,6;1,4;1,6
Ассорти из Морепродуктов с/М [Ашан];69;7,9;0,9;7,4
Ассорти из Тропических Фруктов [Ашан];60;0;0;14
Ассорти Куриное [Ашан];197;14,2;10,3;11,6
Багет 8 Злаков [Ашан];253;13;5;39
Багет Ароматный с Солодом и Кориандром [Ашан];229;6,1;1,1;43
Багет Гурман [Ашан];240;8;1;48
Багет Гурман Фитнес [Ашан];200;6;1;41
Багет Здоровье [Ашан];200;6;1;41
Багет Луковый [Ашан];245;7;1;50
Багет Мексиканский [Ашан];253;8,2;1,2;51,3
Багет Парижский [Ашан];267;8,2;0,9;54,9
Багет Пряный Аромат [Ашан];231;8,3;0,9;46,5
Багет Пшенично-Ржаной [Ашан];283;9,5;4,9;49,3
Багет Пшеничный с Кунжутом [Ашан];267;8,2;0,9;54,9
Багет Пшеничный с Луком [Ашан];267;8,2;0,9;54,9
Багет Ржано-Пшеничный [Ашан];212;6,6;1,4;39,1
Багет с Курицей [Ашан];215;23;11;42
Багет с Луком [Ашан];225;8,3;1,3;48,1
Багет с Отрубями [Ашан];254;8,8;4,2;49,8
Багет с Травами [Ашан];300;6,5;10,4;45,1
Багет с Чесноком [Ашан];303;6,7;11;45
Багет со Злаками и Чесноком [Ашан];300;6,5;10,4;45,1
Багет Традиционный [Ашан];314;9,6;1,8;68,6
Багет Французский [Ашан];255;8,1;1;53,3
Багет Французский с Чесночным Маслом [Ашан];321;7;13;43,7
Багет Чико [Ашан];328;7;12,7;46,4
Багет Шпинатный [Ашан];80;1;2;14
Баклажаны По-Гречески [Ашан];45;1,1;1;7,8
Баклажаны по-Итальянски [Ашан];65;1;3;9
Баклажаны по-Корейски [Ашан];96;1,3;7,1;6,7
Баклажаны с Паприкой [Ашан];96;1,2;7;7,6
Балык Свиной [Ашан];158;17;10;0
Бальзамический Уксус [Ашан];122;0,8;0,1;29,2
