Продукт;Калорийность кКал;Белки г;Жиры г;Углеводы г
Ассорти из фасоли с ананасами в соусе Карри [Бондюэль];62;3,8;1,1;9,3
Ассорти из цветной капусты, романеско и брокколи [Бондюэль];66;1,8;2,7;8,6
Баклажаны Гриль [Бондюэль];43;2;0,3;5,6
Баклажаны по-Тоскански [Бондюэль];100;1,2;7,2;5,8
Белая Фасоль [Бондюэль];66;7;0,4;6
Белая Фасоль в Пряном Карри [Бондюэль];100;4;7,5;3,1
"Белая Фасоль в Томатном Соусе ""Пикантная"" [Бондюэль]";124;5,8;2,8;19
Белая Фасоль в Томатном Соусе [Бондюэль];78;5,5;0,4;13,2
Белая фасоль консервированная [Бондюэль];99;6,7;0,3;17,4
Белая фасоль Пикантная в томатном соусе [Бондюэль];125;5,5;3;19
Брокколи [Бондюэль];30;2,6;0,2;5
Брокколи замороженная [Бондюэль];23;2,7;0,1;4,9
Брюссельская капуста замороженная [Бондюэль];31;4;0,5;8
Букетики из Зеленой Фасоли [Бондюэль];18;1,6;0,2;1,3
Вок [Бондюэль];30;2,8;0,2;4,5
Галеты Овощные [Бондюэль];83;4;4,2;6
Горошек Зелёный Быстрозамороженный [Бондюэль];70;5;0,2;13
Горошек Консервированный [Бондюэль];52;6,6;0;15,4
Грибное ризотто в томатном соусе [Бондюэль];82;2,4;0,8;16,3
Зелёная стручковая фасоль замороженная [Бондюэль];28;1,9;0,2;7,6
Зеленая Фасоль Резаная [Бондюэль];18;1,6;0,1;1,2
Зелёная фасоль резаная [Бондюэль];25;1,4;0,2;4,4
Зелёная Фасоль Целая [Бондюэль];33;1,8;0,2;7,6
"Зеленый Горошек ""Нежный"" [Бондюэль]";52;4,8;0,2;7,5
Зелёный Горошек [Бондюэль];52;4,8;0,2;7,5
"Зелёный Горошек в Овощном Салате ""Маседуан"" [Бондюэль]";43;2,2;0,7;4,9
Зелёный горошек замороженный [Бондюэль];85;6,9;0,4;19,4
Зелёный Горошек Консервированный [Бондюэль];74;5,5;0,7;7,4
Зелёный горошек Нежный [Бондюэль];66;5;0,3;10,7
Зелёный Горошек Нежный 0,2% [Бондюэль];52;4,8;0,2;7,5
Зелёный Горошек Нежный 0,7% [Бондюэль];52;4,8;0,2;7,5
Зелёный Горошек Нежный 0% [Бондюэль];89;6,6;0;15,4
Зелёный Горошек с Молодой Морковью [Бондюэль];48;2,7;0,4;6,5
Зелёный Горошек с Морковью [Бондюэль];49;3,2;0,5;5,4
Зелёный Горошек с Морковью в Кубиках [Бондюэль];49;2,5;0,7;5,8
Икра Баклажанная [Бондюэль];102;1,7;7;8,1
Икра из Баклажанов Запеченных на Гриле [Бондюэль];102;1,7;7;8,1
Икра из Кабачков [Бондюэль];97;1;7;7
Италия Микс [Бондюэль];76;2;3,5;6,8
Кабачки по-Тоскански [Бондюэль];72;1,5;3,4;8
Капуста Брокколи [Бондюэль];30;2,3;0,3;3,2
