Продукт;Калорийность кКал;Белки г;Жиры г;Углеводы г
Бекон с Луком [Крошка-Картошка];300;15;23,2;8,2
Болгарский Наполнитель [Крошка-Картошка];100;4,5;7,2;4,2
Большой Бутерброд с Куриной Грудкой [Крошка-Картошка];560;20,5;33;45,3
Борщ [Крошка-Картошка];39;2,4;1,2;4,8
Брускетта с Моцареллой и Томатами [Крошка-Картошка];167;9,1;11,8;6,3
Брынза с Растительным Маслом [Крошка-Картошка];212;12,3;18;0,2
Брынза с Укропом [Крошка-Картошка];288;9,3;27,8;0,1
Бутерброд с Ветчиной и Сыром [Крошка-Картошка];310;12,8;16,7;27,3
Бутерброд с Красной Рыбой [Крошка-Картошка];452;19,4;24,6;38
Бутерброд с Куриной Грудкой [Крошка-Картошка];280;10,2;16,5;22,6
Вареники с Творогом [Крошка-Картошка];225;12,9;4,1;39,2
Гороховый Суп с Копченостями [Крошка-Картошка];46;1,8;2,2;4,7
Гратен с Курицей и Картофелем [Крошка-Картошка];522;19,2;43,6;13,2
Гренки Восемь Злаков [Крошка-Картошка];277;4;16,4;28,2
Греческий Салат [Крошка-Картошка];68;1,9;5,2;3,4
Грибочки Маринованные [Крошка-Картошка];52;1,9;2,3;5,8
Деревенский [Крошка-Картошка];236;5,3;21,7;4,9
Дольки Картофельные [Крошка-Картошка];78;2;0,4;16,7
Закусочный с Опятами [Крошка-Картошка];51;1,1;4,4;1,6
Картофель Печеный с Сыром [Крошка-Картошка];290;17,1;7,8;37,7
Картофель Печеный с Сыром [Крошка-Картошка];115;6,6;3;14,5
Картофель Печеный с Сыром и Маслом [Крошка-Картошка];158;7,9;8;13,5
Картофель Премиум с Моцареллой и Томатами [Крошка-Картошка];116;5,3;6,7;8,8
Картофель с Укропом и Растительным Маслом [Крошка-Картошка];129;1,9;6,9;14,7
Клубенёк по-Французски с Жульеном с Курицей и Грибами [Крошка-Картошка];84;3,1;1;15,7
Клубенёк с Деревенской Сметаной [Крошка-Картошка];128;3,4;8,4;9,6
Клубенёк с Красной Рыбкой [Крошка-Картошка];142;8;8,6;8,1
Клубничный Фреш [Крошка-Картошка];72;0,8;0,2;16,8
Краб Ролл [Крошка-Картошка];292;5,5;17,8;27,5
Крошка-Картошка с Сыром;130;6,1;6;10,6
Куриный [Крошка-Картошка];328;7,4;31;4,9
Куриный Пай [Крошка-Картошка];448;16;30;28
Лапша Куриная [Крошка-Картошка];60;2,8;4,8;1,5
Мини Биф Ролл [Крошка-Картошка];232;7,8;9;28,6
Молочный Коктейль [Крошка-Картошка];112;3,9;3;18
Морс Ягодный [Крошка-Картошка];28;0,2;0;6,9
Наполнитель Брынза с Укропом [Крошка-Картошка];352;7,5;34;3,9
Наполнитель Грибной Микс [Крошка-Картошка];215;1,5;20,6;5,9
Наполнитель Закусочный [Крошка-Картошка];38;1,4;2,8;1,8
Наполнитель Закусочный С Грибами [Крошка-Картошка];66;1,5;4,2;5,4
Наполнитель Крабовое Мясо [Крошка-Картошка];338;3,4;30,4;12,8
Наполнитель Крабовый [Крошка-Картошка];355;10,5;34;1,9
Наполнитель Красная Рыба [Крошка-Картошка];78;2;7,7;0
Наполнитель Красная Рыбка [Крошка-Картошка];235;17;18,5;0
Наполнитель Куриный [Крошка-Картошка];197;4,4;18,6;2,9
Наполнитель Курица Барбекю [Крошка-Картошка];178;10,8;10,2;10,8
Наполнитель Мясное Ассорти [Крошка-Картошка];251;9,1;23,5;0,9
Наполнитель Мясо-Барбекю [Крошка-Картошка];167;5,6;12,3;8,4
Наполнитель Салат Домашний [Крошка-Картошка];237;12;20,5;1,2
Наполнитель Сосиски в Горчичном Соусе [Крошка-Картошка];158;4,5;13,8;3,8
Наполнитель Сырный [Крошка-Картошка];433;19,1;38,7;2,3
Наполнитель Сырный с Ветчиной [Крошка-Картошка];202;12,3;16,5;0,9
Наполнитель Сырный с Морковью [Крошка-Картошка];447;13,9;42,4;2,5
Наполнитель Тунец Васаби [Крошка-Картошка];262;10,1;17,6;16
Наполнитель Фета со Сладким Перцем [Крошка-Картошка];370;8;35,2;5,4
Окрошка на Айране [Крошка-Картошка];47;3;2,7;2,7
Патата Грибы [Крошка-Картошка];83;1,6;5,7;6,4
Печёные Баклажаны [Крошка-Картошка];105;1,5;5,3;12,7
Печеный Картофель с Грибами [Крошка-Картошка];284;6;11,2;40,8
Печеный Картофель с Мясом и Маслом [Крошка-Картошка];130;5,2;6;13,5
Ролл с Креветками [Крошка-Картошка];193;9,3;8,6;19,7
Ролл с Курицей и Овощами [Крошка-Картошка];634;17,4;61,6;2,8
Салат Закусочный [Крошка-Картошка];75;2,8;5,5;3,6
Салат Куриный [Крошка-Картошка];328;7,4;31;4,9
Салат с Брынзой и Свежими Овощами [Крошка-Картошка];242;4;22,4;6,2
Салат с Фермерской Курочкой [Крошка-Картошка];154;8,1;10,9;5,8
Салат Цезарь [Крошка-Картошка];154;8,1;10,9;5,8
Солянка Мясная [Крошка-Картошка];49;2,9;2,5;3,9
Сосиски в Горчичном Соусе [Крошка-Картошка];255;7,3;22,3;6,2
Сырники с Вишневым Соусом [Крошка-Картошка];262;10,1;8,7;35,7
Сырники со Сметаной [Крошка-Картошка];245;10,9;14,8;16,9
Сырный с Ветчиной [Крошка-Картошка];336;20,5;27,5;1,5
Сэндвич Классический с Ветчиной [Крошка-Картошка];267;8,3;9,4;37,2
Сэндвич с Ветчиной и Сыром [Крошка-Картошка];310;12,8;16,7;27,3
Сэндвич с Красной Рыбкой [Крошка-Картошка];226;10,4;15,5;21,2
Сэндвич с Куриной Грудкой [Крошка-Картошка];300;9,7;12,8;36,7
Тарт Бисквитный с Вишней [Крошка-Картошка];584;8,7;47;31,7
Тарт Лесная Ягода [Крошка-Картошка];150;1,7;4,8;24,8
Тост Мясной [Крошка-Картошка];314;12,8;18;25,2
Тост с Сыром [Крошка-Картошка];420;16,3;17,5;38,8
Хлеб с Чесночным Маслом [Крошка-Картошка];137;2,1;9,4;11
Холодец [Крошка-Картошка];43;6,9;2,2;0,6
Чизкейк [Крошка-Картошка];328;5;21,3;29,3
