Продукт;Калорийность кКал;Белки г;Жиры г;Углеводы г
Айс Кофе [Макдоналдс];130;3,6;3,7;21
Айс Кофе [Макдоналдс];42;1,2;1,4;6,3
Айс Кофе Гранд [Макдоналдс];358;4,5;20;39
Американо [Макдоналдс];10;0,9;0,3;0,9
Апельсиновый Сок (0,25 L) [Макдоналдс];153;3,8;0,6;30
Апельсиновый Сок (0,3 L) [Макдоналдс];150;0;0;33
Апельсиновый Сок (0,4 L) [Макдоналдс];190;3;1;41
Апельсиновый Сок (0,47 L) [Макдоналдс];235;0;0;52
Апельсиновый Сок (0,5 L) [Макдоналдс];240;4;1;52
Биг Брекфаст Ролл [Макдоналдс];583;25;31;48
Биг Маг [Макдоналдс];495;27;25;40
Биг Мак [Макдоналдс];522;27;27;42
Биг Мак без Соуса [Макдоналдс];234;12,8;11,6;19,3
Биг Мак Бекон-Томат-Салат [Макдоналдс];549;29;29;42
Биг Тейсти [Макдоналдс];800;43;47;49
Биг Тейсти Бекон [Макдоналдс];854;47;51;50
Биг Тейсти Джуниор [Макдоналдс];573;31;33;36
Биг Тейсти Острый [Макдоналдс];801;44;46;52
Биг Тейсти Ролл [Макдоналдс];521;26;30;36
Биг Тейсти с Беконом [Макдоналдс];854;47;51;50
Биг Тейсти Чураско [Макдоналдс];807;44;46;51
Билли Бекон [Макдоналдс];659;40;33;48
Биф а-ля Рус [Макдоналдс];580;25;33;41
Биф А-Ля Рус с Беконом [Макдоналдс];579;30;32;42
Биф Ролл [Макдоналдс];520;20;29;43
Биффер [Макдоналдс];258;12;13;23
Бифштекс Рубленный [Макдоналдс];220;19;16;0
Блинчики [Макдоналдс];241;7,5;3,2;45
Блины (Стандартные) [Макдоналдс];235;7;3;45
Блины с Джемом [Макдоналдс];285;7;3;57
Блины с Мёдом [Макдоналдс];315;10;11;44
Большие Креветки (4) [Макдоналдс];180;9,9;9;15
Большие Креветки (4) [Макдоналдс];180;9,9;9;15
Большие Креветки (6) [Макдоналдс];271;15;14;22
Большие Креветки (9) [Макдоналдс];406;22;20;34
Большой Завтрак [Макдоналдс];550;28;30;40
Большой завтрак McDonalds [Макдоналдс];640;30;30;62
Большой завтрак McDonalds с джемом [Макдоналдс];675;30;35;58
Большой завтрак McDonalds с мёдом [Макдоналдс];685;30;35;60
Ванильное Печенье с Кусочками Шоколада [Макдоналдс];360;4;18;44
Ванильный Сироп [Макдоналдс];62;0;0;15
Вафельный Рожок [Макдоналдс];164;3,8;3,6;29
Венская Вафля [Макдоналдс];309;5,9;15;43
Вестерн Гурмэ [Макдоналдс];667;34;36;51
Вишневый Пирожок [Макдоналдс];249;2,8;12;32
Гамбургер [Макдоналдс];251;13;8,8;29
Гляссе [Макдоналдс];125;4;3;19
Гранд Биф [Макдоналдс];610;34;30;49
Гранд Капучино (0,4 L) [Макдоналдс];136;6,3;7,6;10
Гранд Чизбургер [Макдоналдс];474;25;21;46
Грик Мак [Макдоналдс];486;24;26;39
Грикмак [Макдоналдс];476;21;30;29
Гриль Гурмэ [Макдоналдс];896;47;55;51
Гурме Вестерн [Макдоналдс];667;34;36;51
Дабл Макфреш [Макдоналдс];481;31;25,6;30,7
Дабл Чизбургер [Макдоналдс];448;27;24;31
Дакуаз с Малиной [Макдоналдс];318;5;15;41
Двойной Биг Мак [Макдоналдс];686;42;38;42
Двойной Биг Тейсти [Макдоналдс];1114;71;69;50
Двойной Гранд Чизбургер [Макдоналдс];619;37;32;46
Двойной Кантрибургер [Макдоналдс];442;24;22;37
