Продукт;Калорийность кКал;Белки г;Жиры г;Углеводы г
Азу из говядины, по 1-432;103;6,3;4;10,2
Антрекот из говядины, по 1-404;220;29,6;11,2;0
Бедро, целиком, говядина, только мясо, обрезь до 1/4'' жира, отборная, жаренное на открытом огне;191;29,21;7,31;0
Бедро, целиком, говядина, только мясо, обрезь до 1/4'' жира, первый сорт, жаренное на открытом огне;172;29,25;5,22;0
Бефстроганов из говядины, по 1 -406;193;16,7;11,3;5,9
Биточки из говядины с рисом, по 1 -446;144;5;5,5;18,5
Биточки паровые из говядины,  по 1-454;192;14,5;10,8;9,1
Бифштекс из говядины с яйцом, по 1-402;275;21,5;20,8;0,4
Бифштекс из говядины, по 1-400;216;29,2;11,2;0
Бифштекс рубленый из говядины, по 1-438;306;18,4;25,6;0
Бульон говяжий;13;1,97;0,09;1,2
Вилочковая железа телячья;101;17,21;3,07;0
Вилочковая железа телячья, тушеная;125;22,67;3,11;0
Вымя говяжье;173;12,3;13,7;0
Говядина  отборная, вырезка, постное мясо, жареная на огне;206;29,01;9,1;0
Говядина  отборная, вырезка, постное мясо, сырая;158;22,17;7,07;0
Говядина  отборная, короткий филей,постное мясо, сырая;155;22,78;6,43;0
Говядина  отборная, мякоть верхней части бедра, постное мясо, жареная на огне;193;32,04;6,25;0
Говядина  отборная, мякоть верхней части бедра, постное мясо, сырая;140;22,69;4,78;0
Говядина  отборная, плечевая мякоть, постное мясо , сырая;139;21,96;5,05;0
Говядина  отборная, плечевая мякоть, постное мясо , тушеная;224;34,72;8,37;0
Говядина  отборная, щуп, постное мясо, обжаренная;175;29,87;5,3;0
Говядина  отборная, щуп, постное мясо, сырая;128;22,88;3,38;0
"Говядина  разных категорий, мякоть верхней части бедра, мясо с жиром убранным до уровня 0"", жареная";167;29,96;4,28;0
"Говядина  разных категорий, мякоть верхней части бедра, мясо с жиром убранным до уровня 1/8"", жареная";204;30,67;9;0
"Говядина  разных категорий, мякоть верхней части бедра, мясо с жиром убранным до уровня 1/8"", сырая";166;22,06;7,93;0
"Говядина  разных категорий, мякоть верхней части бедра, мясо с жиром убранным до уровня 1/8"", тешеная";238;34,34;10,13;0
Говядина 1 кат.;218;18,6;16;0
Говядина 2 кат.;168;20;9,8;0
Говядина жареная, по 1-396;168;28,4;6;0
"Говядина категории премиум, вырезка, мясо с жиром убранным до уровня 1/8"", жареная";308;25,26;22,21;0
"Говядина категории премиум, вырезка, мясо с жиром убранным до уровня 1/8"", обжаренная";343;24,04;26,67;0
"Говядина категории премиум, вырезка, мясо с жиром убранным до уровня 1/8"", сырая";274;18,15;21,83;0
"Говядина категории премиум, короткий филей, мясо с жиром убранным до уровня 1/8"", жареная";310;25,92;22,12;0
"Говядина категории премиум, короткий филей, мясо с жиром убранным до уровня 1/8"", сырая";281;19;22,17;0
