Продукт;Калорийность кКал;Белки г;Жиры г;Углеводы г
Cherry Fresh [Пятерочка];42;0;0;10,5
Choco Banana [Пятерочка];368;9;9;70
Easy Смузи [Пятерочка];50;0,6;0;12
Energy To Go [Пятерочка];4;0;0;0,5
Immuno Lakto Драконий Фрукт [Пятерочка];88;2,6;2,5;13,9
Jake Vitamincandy [Пятерочка];245;0,5;0,7;88,5
Kids Chocolate [Пятерочка];560;4,6;36,5;53,4
Koukou Roukou [Пятерочка];533;2,8;31;60
Абрикос [Пятерочка];44;0,9;0,1;9
Авокадо [Пятерочка];212;2;20;6
Апельсин [Пятерочка];36;0,9;0,2;8,1
Арахис [Пятерочка];610;30;50;10
Арахис Жареный Солёный [Пятерочка];608;26;50;13,4
Багет Барра [Пятерочка];288;10,9;1,2;57
Багет Пшенично-Ржаной [Пятерочка];278;9,3;5,9;46,1
Багет Суворовский [Пятерочка];226;13;3,5;36
Багет Традиционный [Пятерочка];267;8,4;1,2;54,3
Багет Французский [Пятерочка];272;8,3;2,1;54,9
Банан [Пятерочка];89;1,1;0,3;23
Батон Нарезной [Пятерочка];260;7,5;3;51
Батончик с Чесноком [Пятерочка];375;7,9;4,4;48
Батончик Сырный [Пятерочка];173;5,3;4;32
Блины Рестория [Пятерочка];246;5,4;14,4;23,7
Булочка Даллас [Пятерочка];406;9;16,9;54,5
Булочка из Пшеничной Муки с Кунжутом [Пятерочка];274;8,9;3,1;52,4
Булочка Техас [Пятерочка];416;8,4;16,2;59
Бульон из Баранины [Пятерочка];70;5;5;3
Буше Багет Летний [Пятерочка];277;9,3;1,6;56,5
Буше Гипфель с Начинкой Крем [Пятерочка];333;4,7;17,5;39,1
Буше Розан с Яблоком [Пятерочка];257;3;12;35
Буше Турновер с Сыром и Ветчиной [Пятерочка];370;8,1;25,5;27
Буше Хлеб Питерский [Пятерочка];210;7,4;1,2;42,6
Вино [Пятерочка];14;0;0;3,5
Виноград Сушеный Светлый [Пятерочка];296;2;0,5;72
Виноград Тайфи [Пятерочка];65;0,6;0,2;16,8
Гематоген с Витамином с [Пятерочка];250;7;3;54
Геркулес Хлопья Овсяные [Пятерочка];360;13;6;64
Гипфель с Клубникой [Пятерочка];361;4,7;17;47,2
Гипфель с Начинкой Смородина [Пятерочка];347;5;17;44
Грейпфрут [Пятерочка];29;0,7;0,2;6,5
Грейпфрут Свити [Пятерочка];58;0,7;0,2;9
Гречка [Пятерочка];334;12;2;67
Груша Желтая [Пятерочка];44;0,4;0,3;10,3
Груша Китайская [Пятерочка];42;0,5;0,2;7,1
Груша Конференция [Пятерочка];48;0,7;0,9;11,7
Груша Красная [Пятерочка];58;0,7;0,7;10
Груша Сезонная [Пятерочка];42;0,4;0,3;10,9
Дип из Тунца [Пятерочка];132;11,7;8,5;1,5
Донат с Клубничной Начинкой [Пятерочка];292;3,4;17;33
Дыня Эфиопка [Пятерочка];34;0,8;0,2;8
Запеканка из Творога [Пятерочка];199;18;5,4;19,6
Зефир Ванильный [Пятерочка];310;1;0;81
Йогурт [Пятерочка];75;2,8;2,5;10,2
Какао [Пятерочка];370;5;2;85
Капуста Квашеная по-Деревенски [Пятерочка];30;1,7;0,1;5
Кармашек с Грибной Начинкой [Пятерочка];330;5,7;20,6;30,2
Картошка [Пятерочка];76;2;0,4;16,1
Каша Быстрого Приготовления Овсяная с Клубникой [Пятерочка];290;9,5;4,5;54
Каша Овсяная [Пятерочка];299;9,5;5;54
Каша Овсяная с Абрикосом [Пятерочка];310;10;5;55
Кекс Маффин с Ванилином [Пятерочка];426;5,2;22,8;50
Кекс Маффин Шоколадный [Пятерочка];410;5,5;22;47,5
Кета [Пятерочка];184;24,3;9,6;0
Кефир [Пятерочка];28;3;0;4
Киви [Пятерочка];61;1,1;0,5;15
Колбаска Кондитерская [Пятерочка];300;5;13;40
Конвертик с Вишневой Начинкой [Пятерочка];403;5,2;19,2;52,4
Конвертик с Черничной Начинкой [Пятерочка];403;5;19;52
Крабовые Палочки [Пятерочка];97;5,6;0,4;17,7
Креветки Мелкие [Пятерочка];110;19;2;2,5
Круассан с Шоколадной Начинкой [Пятерочка];409;6,5;20;50
Крупа Гречневая Ядрица [Пятерочка];329;12,6;2,6;68
Крылья Куриные Гриль [Пятерочка];207;21,1;13,6;0
Кукурузные Палочки [Пятерочка];470;6;14;80
Курага [Пятерочка];234;5,2;0,5;55
Куриные Пупки Отварные [Пятерочка];81;14,6;2,5;0,4
Курица [Пятерочка];190;16;14;0
Курица Гриль [Пятерочка];170;19;10;0
Курник с Курицей и Картофелем [Пятерочка];300;10,5;12,5;35
Лаваш Армянский От Бадалова [Пятерочка];280;9;1;56
Лаваш Армянский Тонкий [Пятерочка];197;6,3;0,7;40,8
Лепешка с Соусом Песто [Пятерочка];467;14;22;53
Лепешка Узбекская [Пятерочка];217;12,3;5,4;29,7
Лимон [Пятерочка];34;0,9;0,1;3
Лук Красный [Пятерочка];42;1,4;0;9,1
Лук Репчатый [Пятерочка];41;1,4;0;10,4
Манго [Пятерочка];60;0,8;0,4;13,4
Манка [Пятерочка];328;10,3;1;67,4
Мармелад [Пятерочка];320;0;0;81
Масло Сливочное [Пятерочка];661;0,8;82,5;1,3
Матнакаш [Пятерочка];225;8,1;1;46
Медальон со Льном [Пятерочка];370;7,8;17,1;46,4
Мини Багет [Пятерочка];270;8,4;1,2;54,9
Мини Багет с Луком [Пятерочка];263;8,5;1,2;53,3
Мини Багет с Чесночным Маслом [Пятерочка];279;7;8,4;43
Минтай [Пятерочка];72;15,9;0,9;0
Молоко [Пятерочка];60;3;3,2;4,7
Молоко 2,5% [Пятерочка];53;3;2,5;4,7
Молоко 3,2% [Пятерочка];60;3;3,2;4,7
Мороженое [Пятерочка];180;4;8;22
Нектар Морковно-Яблочный [Пятерочка];20;0,5;0;5
Нектар Морковный с Мякотью [Пятерочка];25;0,5;0;5,5
Нектарин [Пятерочка];44;1,1;0,3;11
Овсяное Печенье [Пятерочка];400;6;11;69
Огурец Свежий [Пятерочка];15;0,8;0,1;2,8
Палочка Сырная [Пятерочка];441;10;26;40
Персик [Пятерочка];45;0,9;0,1;9,5
Печенье Roleo [Пятерочка];393;5;20;72
