Продукт;Калорийность кКал;Белки г;Жиры г;Углеводы г
Gold Роллтон;340;8;12;49
Бульон Домашний Грибной [Роллтон];85;1,5;1;17
Бульон Домашний Куриный [Роллтон];80;1,5;1,5;16
Бульон Домашний Мясной [Роллтон];91;1;3,3;14,4
Бульон Куриный Домашний [Роллтон];85;1,5;2;15
Вермишель [Роллтон];450;9;21;57
Вермишель Быстрого Приготовления [Роллтон];480;7,9;22,8;60,8
Вермишель из Твердых Сортов Пшеницы [Роллтон];344;10,4;1,1;71,5
Вермишель на Домашнем Бульоне с Белыми Грибами [Роллтон];420;7;21;51
Вермишель на Домашнем Бульоне с Говядиной [Роллтон];440;7;23;50
Вермишель на Домашнем Бульоне с Грибами [Роллтон];440;7;23;50
Вермишель на Домашнем Бульоне с Курицей [Роллтон];440;7;23;50
Вермишель на Домашнем Бульоне с Овощами [Роллтон];420;7;21;51
Вермишель с Острой Курицей [Роллтон];452;8,7;21,1;56,7
Вермишель с Сыром и Беконом [Роллтон];420;7;21;50
Витки [Роллтон];344;10,4;1,1;71,5
Гнезда [Роллтон];340;11;2;70
Горячая Порция Лапша с Говядиной [Роллтон];390;7;17;53
Горячая Порция Лапша с Курицей [Роллтон];440;7;23;50
Горячая Порция с Курицей [Роллтон];400;6;17;54
Грибная Лапша по-Домашнему [Роллтон];431;7,7;19,5;56,1
Жареный Картофель с Луком и Беконом [Роллтон];93;2,2;2,3;14,6
Камчатский Краб [Роллтон];400;7;17;54
Картошка [Роллтон];410;8,5;11;68
Куриная Лапша по-Домашнему [Роллтон];410;7,5;19;52
Куриная Лапша по-Домашнему Острая [Роллтон];370;6;16;50
Лагман с Бараниной [Роллтон];308;5,4;15,5;36,8
Лазанья [Роллтон];326;10;1,1;69,1
Лапша [Роллтон];320;6;14;43
Лапша без Масла [Роллтон];338;10;2;70
Лапша Быстрого Приготовления [Роллтон];410;7,5;19;52
Лапша Лагман с Бараниной [Роллтон];310;5,5;16;37
Лапша Лагман с Бараниной по-Домашнему [Роллтон];400;7;17;54
Лапша по-Домашнему с Белыми Грибами [Роллтон];400;7;18;52
Лапша по-Домашнему с Овощами [Роллтон];400;7;18;52
Лапша Рисовая [Роллтон];332;8;0;75
Лапша с Говядиной [Роллтон];390;7;17;53
Лапша с Говядиной по-Домашнему [Роллтон];388;6,9;17,6;50,5
Лапша с Говядиной по-Домашнему [Роллтон];395;7;17;53
Лапша с Говядиной по-Домашнему Острая [Роллтон];360;7;16;50
Лапша с Курицей Цезарь [Роллтон];448;8,8;20,7;56,7
Лапша с Сыром и Беконом [Роллтон];420;7;21;50
Лапша Яичная для Бешбармака [Роллтон];326;10;1,1;69,1
Лапша Яичная Классическая [Роллтон];300;10;2;60
Лапша Яичная Отварная [Роллтон];107;3,5;0,4;21,4
Лапша Яичная по-Домашнему [Роллтон];300;10;2;60
Макароны [Роллтон];340;11;1;71
Макароны Гнезда [Роллтон];344;10,4;1,1;71,5
Макароны Перья [Роллтон];344;10,4;1,1;71,5
Макароны Рожки [Роллтон];344;10,4;1,1;71,5
Макароны Спирали [Роллтон];340;11;1;72
Перья Из Твёрдых Сортов Пшеницы [Роллтон];340;11;1;71
Пикантная Заправка [Роллтон];375;6;18;47
Постное Меню [Роллтон];420;7;21;51
Пюре Быстрого Приготовления [Роллтон];377;10,5;3,8;75,3
"Пюре Картофельное ""Готовить Легко"" [Роллтон]";330;7,9;0,3;73,8
Пюре Картофельное Жареные Лисички со Сметаной [Роллтон];370;6;8;67
Пюре Картофельное Классическое [Роллтон];320;7;0,5;73
Пюре Картофельное с Говядиной [Роллтон];380;10;7;69
Пюре Картофельное с Жареным Луком [Роллтон];390;8,5;9;69
Пюре Картофельное с Куриным Вкусом [Роллтон];370;6;8;67
Пюре Картофельное с Курицей [Роллтон];380;10;7;69
Пюре Картофельное с Молоком [Роллтон];350;9;4,5;68
Пюре Картофельное с Мясным Вкусом [Роллтон];370;6;8;67
Пюре Картофельное с Сухариками [Роллтон];370;6;8;67
Пюре Картофельное со Вкусом Ветчины и Сыра [Роллтон];370;9;6;70
Пюре Картофельное со Вкусом Жареных Лисичек со Сметаной [Роллтон];370;6;8;67
Пюре Картофельное со Вкусом Томленой Курочки с Сыром [Роллтон];360;6;8;66
Пюре Картофельное со Сливочным Вкусом [Роллтон];360;6;6;70
Пюре с Мясным Вкусом [Роллтон];377;10,5;3,8;75,3
Пюре с Сухариками [Роллтон];377;10,5;3,8;75,3
Ракушки [Роллтон];344;10,4;1,1;71,5
Ребрышки Барбекю [Роллтон];400;6;17;54
Рожки [Роллтон];340;11;1;72
Рожки Яичные [Роллтон];340;13;1;70
Рожки Яичные [Роллтон];340;13;1;70
Соевый Соус [Роллтон];25;4;0;2
Спагетти [Роллтон];340;11;1;71
Спагетти из Тсп [Роллтон];340;11;1;71
Спагетти Яичные [Роллтон];340;13;1;70
Спирали [Роллтон];340;11;1;71
Спирали с Томатами и Шпинатом [Роллтон];343;10,4;1,1;71,2
Трубки с Томатами и Шпинатом [Роллтон];343;10,4;1,1;71,2
