Продукт;Калорийность кКал;Белки г;Жиры г;Углеводы г
Азу из Мяса Индейки [Черкизово];220;10;20;0
Ассорти Сырокопченых Колбас [Черкизово];513;22;45;5
Балык из Куриных Грудок [Черкизово];115;18;3;4
Бастурма из Индейки [Черкизово];220;46;3,5;1
Бекон по-Английски Охлажденный [Черкизово];353;14;33;0
Бекон по-Английски Свиной [Черкизово];353;14;35;0
Бекон Столичный Сырокопчёный [Черкизово];378;13,5;36;0
Бекон Сырокопченый [Черкизово];252;15;20;3
Бекон Фермерский [Черкизово];384;12;36;3
Брауншвейгская Колбаса Сырокопченая [Черкизово];445;24;37;4
Буженина [Черкизово];252;16;20;2
Буженина по-Русски [Черкизово];145;14;9;2
Ветчина из Индейки [Черкизово];100;16;2;5
Ветчина Миланская [Черкизово];120;21,5;3;2
Ветчина по-Черкизовски [Черкизово];236;11;20;3
Ветчина с Индейкой [Черкизово];83;9;3;5
Ветчина со Свиным Окороком [Черкизово];92;9;4;5
Ветчина Тост Хэм [Черкизово];127;11;7;5
Ветчина Швейцарская [Черкизово];110;18;3;3
Вырезка Свиная [Черкизово];135;18;7;0
Говядина Черкизовская [Черкизово];118;16;6;0
Грудинка [Черкизово];228;12;20;0
"Грудинка в Маринаде ""по-Домашнему"" [Черкизово]";350;16;30,5;2
Грудинка по-Черкизовски [Черкизово];228;12;20;0
Грудинка Столичная [Черкизово];280;15;24;1
Грудинка Фермерская [Черкизово];248;15;20;2
Докторская Оригинальная [Черкизово];172;10;12;6
Докторская по-Черкизовски [Черкизово];240;12;20;3
Карбонад Берлинский [Черкизово];140;19;6,5;2
Карбонад в Маринаде [Черкизово];240;14;20;2
Карбонад Кремлевский [Черкизово];96;15;4;0
Карбонад Свиной [Черкизово];217;16;17;0
Карбонад Фермерский [Черкизово];121;15;5;4
Карпаччо из Индейки [Черкизово];169;35;3;0,5
Карпаччо из Курицы [Черкизово];170;38;2;0
Колбаса Балыковая [Черкизово];250;17;20;0,5
Колбаса Брауншвейгская [Черкизово];464;24;40;1
Колбаса Вареная Докторская [Черкизово];240;12;20;3
Колбаса Варёная по-Черкизовски [Черкизово];199;12;15;4
Колбаса Вареная Русская [Черкизово];149;10;9;7
Колбаса Вареная Фермерская [Черкизово];233;10;19;5,5
Колбаса Варёно Копченая Сервелат Столичный [Черкизово];382;12;34;7
Колбаса Варено-Копченая Астория [Черкизово];271;14;23;2
Колбаса Ветчинно-Рубленая из Индейки [Черкизово];190;15;12;5
Колбаса Докторская [Черкизово];198;11;14;7
Колбаса Имперская [Черкизово];321;15;29;0
Колбаса Краковская Традиционная [Черкизово];343;15;27;10
Колбаса Ливерная Украинская с Печенью [Черкизово];285;11;21;13
Колбаса Московская [Черкизово];419;17;39;0
Колбаса Онежская [Черкизово];450;22;38;5
Колбаса Полукопчёная Фермерская [Черкизово];282;11;22;10
Колбаса Праздничная в Специях [Черкизово];511;26;43;5
Колбаса Русская [Черкизово];149;10;9;7
Колбаса Русская по-Черкизовски [Черкизово];281;11;25;3
Колбаса Салями Астория [Черкизово];390;25;30;5
Колбаса Свиная [Черкизово];506;21;46;2
Колбаса Сыровяленая Фелино [Черкизово];542;23;50;0
Колбаса Сыровяленая Фуэт Экстра [Черкизово];397;26;29;8
Колбаса Сырокопченая Богородская [Черкизово];450;22;38;5
Колбаса Сырокопченая Бородинская [Черкизово];450;22;38;5
Колбаса Сырокопченая Деликатесная по-Черкизовски [Черкизово];498;25;42;5
Колбаса Сырокопченая Кремлевская [Черкизово];445;24;37;4
Колбаса Сырокопченая Онежская [Черкизово];405;23;33;4
Колбаса Сырокопченая Посольская [Черкизово];421;20;37;2
Колбаса Сырокопченая Преображенская [Черкизово];450;22;38;5
Колбаса Сырокопченая Салямини [Черкизово];450;23;38;4
Колбаса Сырокопченая Свиная Черкизовская [Черкизово];506;21;46;2
Колбаски «для Жарки» со Вкусом Сыра [Черкизово];298;14;26;2
Колбаски Печеночные [Черкизово];260;11;20;9
Колбаски по-Домашнему с Чесноком [Черкизово];306;14;26;4
"Колбаски Рубленые ""для Жарки"" [Черкизово]";296;15;26;2
Колбаски Рубленые из Свинины и Говядины [Черкизово];276;15;24;0
Корейка [Черкизово];121;15;5;4
Корейка по-Домашнему [Черкизово];196;13;16;0
Корейка по-Черкизовски [Черкизово];151;17;7;4
Корейка Столичная [Черкизово];214;13;18;0
Корейка Фермерская [Черкизово];121;15;5;4
Котлета на Косточке Свиная [Черкизово];258;15;22;0
Котлеты Домашние [Черкизово];281;14;25;0
Котлеты из Говядины Охлажденные [Черкизово];144;17;8;1
Котлеты Рубленые из Говядины [Черкизово];330;15;30;0
Котлеты Рубленые из Свинины и Говядины [Черкизово];348;15;32;0
Котлеты Рубленые с Белыми Грибами [Черкизово];258;15;22;0
Котлеты Рубленые с Сыром [Черкизово];335;14;33;0
Купаты [Черкизово];310;15;26;4
Купаты для Гриля [Черкизово];202;15;14;4
Купаты с Луком [Черкизово];373;15;33;4
Лопатка в Пряном Соусе с Яблоками [Черкизово];180;16;12;2
Лопатка В Чесночном Маринаде Для Запекания [Черкизово];119;12;7;2
Лопатка Свиная [Черкизово];203;17;15;0
Лопатка Столичная [Черкизово];113;13;5;4
Лопатка Фермерская [Черкизово];113;13;5;4
Медальоны из Свиной Вырезки [Черкизово];135;18;7;0
Мясной Орех из Куриных Грудок [Черкизово];123;15;7;0
Окорок в Маринаде [Черкизово];270;16;22;2
Окорок по-Тамбовски [Черкизово];265;18;21;1
Окорок Свиной Охлажденный [Черкизово];130;19;6;0
Паштет [Черкизово];229;11;17;8
Паштет Нежный с Грибами [Черкизово];309;10;29;2
Поджарка Свиная [Черкизово];303;15;27;0
Прошутто [Черкизово];366;22;30;2
"Рёбрышки ""Сытные"" для Запекания [Черкизово]";416;13;40;1
"Рёбрышки в Маринаде ""Аппетитные"" [Черкизово]";292;17;24;2
Рёбрышки в Маринаде [Черкизово];220;19;14,5;3,5
Ребрышки из Корейки Свиные [Черкизово];223;13;19;0
Ребрышки по-Бельгийски [Черкизово];220;17;15,5;3
Рёбрышки по-Бельгийски в Шоколадно-Пивном Соусе [Черкизово];219;17;15,5;3
Рулет из Индейки Варено-Копченый [Черкизово];90;18;1,5;4
Рулет по-Царски [Черкизово];340;12;32;1
Рулька в Пиве по-Немецки [Черкизово];140;16;7;3
Рулька в Специях [Черкизово];375;13;35;2
Рулька Свиная [Черкизово];322;13;30;0
Сальчичон Колбаса Сырокопченая [Черкизово];366;17;34;1
Салями [Черкизово];450;23;38;4
Салями из Индейки [Черкизово];388;27;28;7
Салями по-Черкизовски [Черкизово];434;25;34;7
Салями Фламенко [Черкизово];416;22;35;4
Сардельки Сытные [Черкизово];196;10;12;12
Свинина для Жарки [Черкизово];363;12;35;0
Свинина Домашняя в Специях [Черкизово];521;11;53;0
Свинина Фермерская [Черкизово];192;18;12;3
Сервелат Венский [Черкизово];207;10;15;8
Сервелат Гост [Черкизово];487;16;47;0
Сервилат Премиум [Черкизово];487;16;47;0
Сосиска Молочная [Черкизово];249;10;21;5
Сосиски Аппетитные Классические [Черкизово];216;10;16;8
Сосиски Венские [Черкизово];239;11;19;6
Сосиски Докторские [Черкизово];204;10,5;18;0
Сосиски Докторские Пмо [Черкизово];225;10;17;8
Сосиски Классические со Свининой ПМО [Черкизово];193;11;13;8
Сосиски Копчёные по-Черкизовски [Черкизово];226;11;18;5
Сосиски Кремлёвские [Черкизово];248;12;20;5
Сосиски Куриные [Черкизово];180;12;12;6
Сосиски Молочные [Черкизово];296;11;28;0
Сосиски Молочные Гост [Черкизово];296;11;28;0
Сосиски Молочные Оригинальные [Черкизово];176;10;12;7
Сосиски Молочные по-Черкизовски [Черкизово];249;10;21;5
Сосиски Мясные по-Черкизовски [Черкизово];287;12;25;3,5
Сосиски Особенные с Говядиной [Черкизово];225;11;17;7
Сосиски Сливочные [Черкизово];211;10;19;0
Сосиски Сливочные по-Черкизовски [Черкизово];249;10;21;5
Сосиски Фермерские [Черкизово];187;9,5;13;8
Стейк из Корейки [Черкизово];143;20;7;0
Стейк из Шейки в Сливочно-Чесночном Маринаде [Черкизово];256;17;20;2
Стейк из Шейки Свиной [Черкизово];290;14;26;0
Стейк Свиной на Косточке Чалагач [Черкизово];175;19;11;0
Суджук Армянский с Коньяком [Черкизово];549;27;49;0
Уши Свиные с Чесноком [Черкизово];219;19;15;2
Фарш Говяжий [Черкизово];230;17;18;0
Фарш Деревенский [Черкизово];290;14;26;0
Фарш Домашний [Черкизово];303;15;27;0
Фарш Свиной [Черкизово];363;12;35;0
Фермерская Корейка [Черкизово];121;15;5;4
Филе Малое Грудки Индейки [Черкизово];130;22,5;4;0
Фрикадельки Домашние [Черкизово];363;12;35;0
Фрикадельки Классические [Черкизово];144;17;8;1
Фрикадельки Классические из Говядины [Черкизово];218;13;18;1
Шашлык из Вырезки Свиной [Черкизово];138;20;6;1
