Продукт;Калорийность кКал;Белки г;Жиры г;Углеводы г
Chocolate Молочный Шоколад с Карамелизованным Дробленным Фундуком [Яшкино];554;6,2;35,6;52,3
Elle [Яшкино];240;2,7;9,5;35,7
Impulse [Яшкино];447;2,6;16,5;73
Pro Чипсы [Яшкино];510;6;31;51
Zебра [Яшкино];460;5,4;26;52
Арахис в Какао [Яшкино];410;8;13;73
Арахис в Молочной Шоколадной Глазури [Яшкино];570;14;41;35
Батончик [Яшкино];485;7,2;24,3;59,2
Батончик Зебра [Яшкино];460;5,4;26;52
Белый Шоколад [Яшкино];575;7;37;54
Белый Шоколад Карамельный [Яшкино];550;8;33;56
Бельгийский Молочный Шоколад [Яшкино];530;5;29;60
Бельгийский Молочный Шоколад с Бисквитными Шариками [Яшкино];510;5,5;27;61
Бельгийский Молочный Шоколад с Черносливом и Кукурузными Хлопьями [Яшкино];490;5;25;60
Бельгийский Темный Шоколад 55% Какао [Яшкино];525;5,5;35;47
Бисквитное Печенье [Яшкино];295;3,5;4;61
Бисквитное Печенье Апельсин [Яшкино];360;3,5;6,5;72
Бретцель с Солью [Яшкино];410;9,5;11;69
"Вафельная Конфета ""Дивная Даренка"" Глазированная [Яшкино]";560;5,1;32;62
Вафельная Конфета [Яшкино];520;5;32;62
Вафельная Конфета Импульс [Яшкино];490;4;25;62
Вафельное Драже [Яшкино];529;7,5;32,3;54,3
Вафельные Кубики в Молочной Глазури [Яшкино];550;4,2;32;56
Вафельные Рулетики со Вкусом Сгущённого Молока [Яшкино];500;5;24;66
Вафельные Рулетики со Сгущенкой [Яшкино];510;5;25,2;66,2
Вафельные Трубочки [Яшкино];482;7;23,7;71,7
Вафельные Трубочки Лесной Орех [Яшкино];500;8;23;64
Вафельные Трубочки Ореховые [Яшкино];520;6;24;69
Вафельные Трубочки со Вкусом Сгущенного Молока [Яшкино];500;7;22;68
Вафельный Сэндвич [Яшкино];500;5,5;27;58
"Вафли ""Яшкинская Белочка"" [Яшкино]";470;6;25;56
Вафли Impulse [Яшкино];460;3,6;25;55
Вафли Белочка [Яшкино];510;7;28;60
Вафли в Шоколаде [Яшкино];530;5;31;57
Вафли Вафельный Сэндвич [Яшкино];480;5,5;26;55
Вафли Глазированные [Яшкино];490;5;29;53
Вафли Глазированные в Карамели [Яшкино];450;6;24;54
Вафли Глазированные с Орешками [Яшкино];500;5,5;30;51
Вафли Голландские [Яшкино];430;5,5;15;67
Вафли Голландские с Карамельной Начинкой [Яшкино];430;5,5;15;67
Вафли Голландские с Карамелью [Яшкино];449;6;15,5;61,6
Вафли Голландские с Начинкой из Вареной Сгущенки [Яшкино];430;6;16;66
Вафли Голландские со Сгущенкой [Яшкино];437;6,7;16,4;65,3
Вафли Зебра [Яшкино];520;5;27;63
Вафли Капуччино [Яшкино];515;4,9;27,6;60,1
Вафли Месье Шоколатье [Яшкино];510;5,5;28;58
Вафли Ореховые [Яшкино];480;6;25;57
Вафли с Варёной Сгущёнкой [Яшкино];480;5;24;60
Вафли с Карамельной Начинкой [Яшкино];430;6;15,2;67,9
Вафли с Карамелью Глазированные [Яшкино];450;4,5;24;56
Вафли с Мягкой Карамелью [Яшкино];460;3,6;25;55
Вафли с Мягкой Карамелью Глазированные Шоколадом [Яшкино];450;6;24;54
Вафли с Мягкой Карамелью, Арахисом и Изюмом [Яшкино];460;6,5;26;49
Вафли с Пористым Шоколадом [Яшкино];555;5,4;31,8;61,7
Вафли с Халвой [Яшкино];500;7,5;26;60
Вафли со Вкусом Лимона [Яшкино];550;5;31;63
Вафли со Сгущенкой [Яшкино];510;5;26;63
Вафли со Сливочным Вкусом [Яшкино];480;4,5;26;58
Вафли Топ-Топ [Яшкино];510;6,5;27;61
Вафли Хрустящие Шоколадные [Яшкино];540;6;29;63
Вафли Шоколадные [Яшкино];480;5,5;26;55
Вафли Шоколайт [Яшкино];510;5,5;27;60
Вафли Южная Страна [Яшкино];510;5,5;28;61
Венские Мягкие Вафли с Вишневым Джемом [Яшкино];390;4,7;15;60
Венские Мягкие Вафли с Кремом Вареная Сгущенка [Яшкино];400;5,9;20;50
Версаль [Яшкино];410;1,5;11;77
Галета [Яшкино];370;10;5,5;69
Глазированные Хрустящие Вафли [Яшкино];540;5,5;33;60
Глазированные Хрустящие Вафли с Орешками [Яшкино];530;6;32;55
Глазированный Вафельный Торт [Яшкино];530;6,3;32;55
Глазированный Вафельный Торт Ореховый [Яшкино];540;6;32;56
Горький Шоколад с Кусочками Какао-Бобов [Яшкино];560;8;48;25
Грановская Кунжутка [Яшкино];547;11;34;49,2
Дивная Даренка [Яшкино];530;4,5;32;57
Драже Арахис в Молочной Шоколадной Глазури [Яшкино];490;11;27;53
"Жевательные Конфеты ""Нота Бум"" [Яшкино]";420;5,3;13,1;82
Жевательный Мармелад [Яшкино];310;2;0;76
Зебра [Яшкино];490;7,5;27;54
Зебра Мини [Яшкино];430;6;23;52
Зефир в Кондитерской Глазури [Яшкино];380;2;10;71
Зефир в Шоколаде [Яшкино];390;1,5;9,5;74
Зефир Ванильный [Яшкино];330;1;0;76
Зефир Ванильный Belucci [Яшкино];320;1;0;79
Зефир с Малиной [Яшкино];320;1;0;79
Золотая Рыбка Крекер [Яшкино];430;8,5;13;69
Изюм в Сахарной Глазури [Яшкино];330;0,5;0,1;88
Импульс [Яшкино];485;7,2;24,3;59,2
Ирис Нота Бум [Яшкино];411;3,8;8,7;81,9
Ирис с Арахисом [Яшкино];460;8;18;66
Ирис с Шоколадным Вкусом [Яшкино];400;3;8,5;79
Ирис Сливочный [Яшкино];420;2,1;8,5;84
Ирис Тираженный с Арахисом [Яшкино];460;8;18;66
Итальянский Кекс [Яшкино];380;5,5;18;49
