Продукт;Калорийность кКал;Белки г;Жиры г;Углеводы г
Белый гриб;34;3,7;1,7;1,1
Белый гриб сушеный;286;30,3;14,3;9
Белый гриб, быстро обжаренный (стир-фрай);26;3,58;0,33;2,24
Белый гриб, вареный, без соли;28;2,17;0,47;3,09
Белый гриб, вареный, с солью;28;2,17;0,47;3,09
Белый гриб, выращенный под ультрафиолетом;22;3,09;0,34;2,26
Белый гриб, приготовленный в микроволновке;35;3,91;0,46;3,54
Белый гриб, сырой;22;3,09;0,34;2,26
Вешенки;33;3,31;0,41;3,79
Грибы жареные (сушеные) по 1-268;270;11,3;24,4;1,2
Грибы жареные в сметанном соусе по 1-242;172;6,7;14,5;3,5
Грибы жареные с картофелем по 1-242;114;3,9;5,2;12,7
Грибы, запеченные в сметанном соусе по 1-260;188;6,5;16,6;3,2
Грибы, консервированные, содержимое без жидкости;25;1,87;0,29;2,69
Грибы, тушенные с картофелем по 1-228;117;4;6,4;10,7
Груздь;16;1,8;0,8;0,5
Лисички;32;1,49;0,53;3,06
Лисички;19;1,5;1,1;1
Маслята;9;2,4;0,7;0,5
Опенок;22;2,2;1,2;0,5
Подберезовик;20;2,3;0,9;1,2
Подберезовик сушеный;231;23,5;9,2;14,3
Подосиновик;22;3,3;0,5;1,2
Подосиновик сушеный;299;35,4;5,4;12,9
Портобелло, грибы;22;2,11;0,35;2,57
Портобелло, грибы приготовленные на гриле;29;3,28;0,58;2,24
Портобелло, грибы, выращенные под ультрафиолетом;22;2,11;0,35;2,57
Портобелло, грибы, выращенные под ультрафиолетом, приготовленные на гриле;29;3,28;0,58;2,24
Рыжик;22;1,9;0,8;0,5
Сморчок, гриб;31;3,12;0,57;2,3
Сморчок, гриб;22;2,9;0,4;0,2
Соломенные грибы, консервированные, содержимое без жидкости;32;3,83;0,68;2,14
Сыроежки;19;1,7;0,7;1,5
Чернушка;0;0;0;0
Шампиньоны;27;4,3;1;0,1
Шампиньоны, выращенные под ультрафиолетом;22;2,5;0,1;3,7
Шампиньоны, сырые;22;2,5;0,1;3,7
Шиитаке, грибы;34;2,24;0,49;4,29
Шиитаке, грибы быстро обжаренные (стир-фрай);39;3,45;0,35;4,08
Шиитаке, грибы приготовленные, без соли;56;1,56;0,22;12,29
Шиитаке, грибы приготовленные, с солью;56;1,56;0,22;12,29
Шиитаке, грибы сушеные;296;9,58;0,99;63,87
Эноки (опёнок зимний, энокитаки), грибы;37;2,66;0,29;5,11
