Продукт;Калорийность кКал;Белки г;Жиры г;Углеводы г
Детское питание, Банан, без тапиоки, пюре;91;1;0,2;19,74
Детское питание, Горошек и коричневый рис;64;3,4;0,5;8,99
Детское питание, Груши, кубики, для детей, начинающих ходить;57;0,3;0,1;12,4
Детское питание, Десерт, банан с яблоком, пюре;68;0,3;0,2;15,3
Детское питание, Десерт, банановый йогурт, пюре;78;1,1;0,52;16,85
Детское питание, Десерт, банановый пудинг, пюре;68;1;0,8;13,34
Детское питание, Десерт, вишневый пудинг, с ванилью, пюре;68;0,2;0,3;17,5
Детское питание, Десерт, голландские яблоки, пюре;75;0,2;0,4;18,34
Детское питание, Десерт, заварной крем, ванильный, пюре;85;1,6;2;16
Детское питание, Десерт, персиковый йогурт;77;0,9;0,18;17,2
Детское питание, Десерт, персиковый коблер (фруктовый пирог с толстой верхней коркой), пюре;65;0,3;0;17,1
Детское питание, Десерт, фруктовый пудинг, ананас, пюре;81;1,3;0,3;19,6
Детское питание, Десерт, фруктовый пудинг, апельсиновый, пюре;80;1,1;0,9;17,1
Детское питание, Десерт, фруктовый, без доб. аскорбиновой кислоты, пюре;59;0,3;0;15,4
Детское питание, Десерт, черничный йогурт, пюре;77;0,5;0,7;16,65
Детское питание, Йогурт, цельное молоко, с фруктами, со злаками, с доб. DHA-Докозагексаеновая кислота;98;3,4;3,53;12,92
Детское питание, Йогурт, цельное молоко, с фруктами, со злаками, с доб. железа;92;3,05;3,08;12,4
Детское питание, Картофельное пюре, чеддер и брокколи, для детей, начинающих ходить;48;1,11;1,47;6,27
Детское питание, Картошка, для детей, начинающих ходить;52;1;0,1;10,83
Детское питание, Каша, коричневый рис, сухая, быстрого приготовления;406;8,7;3;79,48
Детское питание, Каша, овсяная, приготовленная на цельном молоке;116;5;4,1;14,2
Детское питание, Каша, овсяная, с бананом, приготовленная на цельном молоке;86;3,82;3,46;9,6
Детское питание, Каша, овсяная, с бананом, сухая;399;6,67;6,67;72,87
Детское питание, Каша, овсяная, с медом, приготовленная на цельном молоке;115;5;3,9;15,3
Детское питание, Каша, овсяная, с медом, сухая;391;13,5;7;69,3
