Продукт;Калорийность кКал;Белки г;Жиры г;Углеводы г
Арахисовое масло (жидкое) для заправки салатов или готовки;884;0;100;0
Арахисовое масло жидкое;899;0;99,9;0
Горчичное масло;898;0;99,8;0
Горчичное масло;884;0;100;0
Жир бараний топленый;897;0;99,7;0
Жир говяжий;902;0;100;0
Жир говяжий топленый;896;0;99,6;0
Жир гусиный;900;0;99,8;0
Жир индейки;900;0;99,8;0
Жир кондитерский (шортенинг) для изготовления тортов и глазури, на основе гидрогенизированного соевого масла;884;0;100;0
Жир кондитерский (шортенинг), на основе гидрогенизированного кокосового и/или гидрогенизированного пальмоядрового масла;884;0;100;0
Жир кондитерский (шортенинг), на основе фракционированного пальмового масла;884;0;100;0
Жир кондитерский 71% для изделий из слоёного теста, на основе хлопкового и частично гидрогенизированного соевого масел;628;0;71;0
Жир кондитерский 80% для выпечки, изготовления соусов и конфет, на основе частично гидрогенизированного соевого масла;714;0,18;80;0,71
Жир кондитерский 80% для изделий из слоёного теста, на основе хлопкового и частично гидрогенизированного соевого масел;714;1,9;80,2;0
Жир костный топленый;897;0;99,7;0
Жир кулинарный;897;0;100;0
"Жир кулинарный ""Прима""";897;0;99,7;0
Жир кулинарный «Белорусский»;897;0;99,7;0
Жир кулинарный «Восточный»;897;0;99,7;0
Жир кулинарный «Новинка»;897;0;99,7;0
Жир кулинарный «Украинский»;897;0;99,7;0
Жир кулинарный (шортенинг) для выпечки и кондитерских изделий, на основе частично гидрогенизированного соевого масла;884;0;100;0
Жир кулинарный (шортенинг) для выпечки хлеба, на основе соевого (гидрогенизированного) и хлопкового масел;884;0;100;0
Жир кулинарный (шортенинг) для выпечки, на основе гидрогенизированного соевого, пальмового и хлопкового масел;884;0;100;0
Жир кулинарный (шортенинг) для жарки на основе гидрогенизированного соевого масла, безлинолиевый (менее 1%);884;0;100;0
Жир кулинарный (шортенинг) для жарки, жидкий, на основе частично гидрогенизированного соевого масла;884;0;100;0
Жир кулинарный (шортенинг) для жарки, на основе говяжьего жира и хлопкового масла;900;0;100;0
Жир кулинарный (шортенинг) для жарки, на основе пальмового гидрогенизированного масла;884;0;100;0
