Продукт;Калорийность кКал;Белки г;Жиры г;Углеводы г
Агар (*в т. ч. НПВ-75,6);12;2;0;0,8
Агар пищевой;16;4;0;0
Батончики на кондитерском жире;527;3,3;30,5;62,5
Вафли с жировыми начинками;542;3,9;30,6;62,5
Вафли с фруктово-ягодными начинками;354;2,8;3,3;77,3
Галеты;393;9,7;10,2;65,6
Галеты, из муки высшего сорта;415;9,7;10,2;68,4
Галеты, из муки первого сорта;345;11;1,4;69,5
Глазурь жировая;547;3,9;37,2;48,9
Глазурь шоколадная;542;4,9;34,5;52,5
Десерт, хрустящие яблоки, приготовленные по рецепту;161;1,75;3,43;29,44
Десерт, шоколадный мусс, приготовленный по рецепту;225;4,14;16;15,47
Драже сахарное;393;0;0;97,7
Драже, ореховое;547,5;11,9;38,3;41,4
Драже, фруктово-ягодное в шоколаде;389;3,7;10,2;73,1
Жвачка, 360 ккал;360;0;0,3;94,3
Жвачка, без сахара, 268 ккал;268;0;0,4;92,4
Желатин пищевой;355;87,2;0,4;0,7
Желатин, сухой порошок, неподслащенный;335;85,6;0,1;0
Желе, десерт, сухая смесь, малокалорийный, с добавками: аспаратам (E951);198;15,67;0;80,11
Желе, десерт, сухая смесь, малокалорийный, с добавками: аспаратам (E951), без доб. натрия;345;55,3;0;33,3
Желе, десерт, сухая смесь, малокалорийный, с добавками: аспаратам (E951), приготовленный на воде;20;0,83;0;4,22
Желе, десерт, сухая смесь, малокалорийный, с добавками: аспаратам (E951), фосфор, калий, натрий, витамин C;345;55,3;0;33,3
Желе, десерт, сухая смесь, приготовленный на воде;60;1,22;0;14,19
Желе, десерт, сухая смесь, с доб. аскорбиновой кислоты, цитрата натрия, и соли;381;7,8;0;90,5
Желе, сухая смесь;381;7,8;0;90,5
Жир кондитерский для шоколадных изделий;897;0;99,7;0
Жир кондитерский твердый;898;0;99,8;0
Заварные трубочки с кремом;329;5,9;10,2;55,2
Замороженный йогурт, шоколадный;131;3;3,6;19,3
Зефир;326;0,8;0,1;79,8
Зефир, глазированный шоколадом;396;2,2;12,3;68,4
Ирис полутвердый;408;3,3;7,6;81,5
Ирис тираженный;443;6,6;15,9;68,2
Какао-порошок;289;24,3;15;10,2
Какао-порошок, неподслащенный;228;19,6;13,7;20,9
Какао-порошок, неподслащенный, HERSHEY'S European Style Cocoa;410;20;10;40
Какао-порошок, неподслащенный, прошедший алкализацию;220;18,1;13,1;28,5
Какао-порошок, с высоким содерж. жира, или для завтрака, прошедший алкализацию;479;16,8;23,71;15,81
Какаовелла;147;15;4,5;11
Карамель глазированная;378;1;0,8;92,9
Карамель, леденцовая;384;0;0;95,8
Карамель, с ликерными начинками;358;0;0,1;92,6
Карамель, с молочными начинками;377;0,8;1;91,2
Карамель, с ореховыми начинками;410;3,1;7,3;86,6
Карамель, с помадными начинками;366;0;0,1;94,7
Карамель, с прохладительными начинками;429;0;10;88
Карамель, с фруктово-ягодными начинками;371;0,1;0,1;92,4
Карамель, с шоколадно-ореховыми начинками;427;1,6;8;87,1
Конфеты глазированные шоколадом с желейными корпусами;359;1,4;8,2;69,4
Конфеты глазированные шоколадом, ассорти с пралиновыми начинками;533;6,9;30,8;56,9
Конфеты глазированные шоколадом, с грильяжными корпусами;489;7,8;22;64,9
Конфеты глазированные шоколадом, с комбинированными корпусами;414;3,9;14,6;69,7
Конфеты глазированные шоколадом, с кремово-сбивными корпусами;463;2,7;25,8;54,7
Конфеты глазированные шоколадом, с кремовыми корпусами;523;7,5;31,8;53,6
Конфеты глазированные шоколадом, с начинками между слоями вафель;535;5,8;32;57,9
Конфеты глазированные шоколадом, с помадными корпусами;399;1,5;7,2;81,8
Конфеты глазированные шоколадом, с пралине со слоями вафель;533;6,6;31;56,6
Конфеты глазированные шоколадом, с пралиновыми корпусами;533;6,9;30,8;56,9
Конфеты глазированные шоколадом, с фруктовыми корпусами;369;1,6;8,6;74,3
Конфеты глазированные шоколадом, с шоколадно-кремовыми корпусами;569;4;39,5;51,3
Конфеты глазированные шоколадом, с шоколадно-ореховыми корпусами;547;6,4;34,6;54,6
Конфеты глазированные шоколадом, со сбивными корпусами;413;3;15,5;65
Конфеты неглазированные шоколадные;491;4;26,3;59,2
Конфеты неглазированные, молочные;364;2,7;4,3;82,3
Конфеты неглазированные, помадные;445;3,7;16,2;70,9
Конфеты неглазированные, фруктово-помадные;346;0;0;90,6
Конфеты,  ALMOND JOY BITES;563;5,58;34,5;53,24
Конфеты, MASTERFOODS USA, MILKY WAY Карамель, в глазури из молочного шоколада;463;4,28;19,17;67,79
Конфеты, батончик  5TH AVENUE (произв: Корпорация Hershey);482;8,78;23,98;59,58
Конфеты, батончик ALMOND JOY (произв: Hershey);479;4,13;26,93;54,51
Конфеты, батончик BUTTERFINGER (произв: Нестле), NESTLE;459;5,4;18,9;70,9
Конфеты, батончик Сникерс, SNICKERS (произв: MASTERFOODS USA);491;7,53;23,85;59,21
Конфеты, баточник 3 MUSKETEERS (произв: Мастерфудз США);436;2,6;12,75;76,27
Конфеты, в шоколадной глазури, диетические или низкокалорийные;590;12,39;43,27;34,18
Конфеты, ирис;391;0,03;3,3;90,4
Конфеты, карамель;382;4,6;8,1;77
Конфеты, карамель с орехами в шоколадной глазури;470;9,5;21;56,37
Конфеты, Твикс, печенье с карамелью и шоколадом (произв: MASTERFOODS USA);502;4,91;24,85;63,7
Крекеры с цельнозерновой пшеничной мукой;463;7,29;17,84;63,47
Крекеры, из муки высшего сорта;439;9,2;14,1;66,1
Ксилит пищевой;367;0;0;97,9
Кукурузный сироп, светлый;283;0;0,2;76,79
Кукурузный сироп, темный;286;0;0;77,59
Лукум сбивной;316;0,8;0,7;79,4
Мармелад;321;0,1;0;79,4
Мармелад желейный;321;0,1;0;79,4
Мармелад, фруктово-ягодный глазированный шоколадом;349;1,5;9,2;64,2
Мед пчелиный;328;0,8;0;80,3
Меласса, черная патока;290;0;0,1;74,73
Мороженне, ванильное;207;3,5;11;22,9
Мороженое, ванильное, жирное, 16.2% жира;249;3,5;16,2;22,29
